Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
2D Echocardiography Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
2D Game Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
3D Game Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
3D Modeller,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
3D Printing Designer,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,Y,Digital Technology,,,,,,
4-Wheel Tractor Mechanic,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Abaca Fiber Stripper And Classifier,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Abaca Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,,
Academic Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Accounting Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,,
Accounting Professional (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,Yes,No,N,N,,,,,,
Accounting Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
Actuarial Assistant,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Higher Education,No,No,Y,Financial Services,,,,,,
Actuarial Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
Admin Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Admin Staff (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,,
Administrative Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,,
Advertising Clerk (Tourism),"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,N,N,,,,,,
Aesthetician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Agribusiness Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,,
Agricultural Data Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,Y,Digital Technology,,,,,,
Agricultural Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,,,,,,
Agricultural Extension Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,,,,,,
Agricultural Lab Technician,Agriculture,Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,N,3423.0,10014.0,3628.0,7144.0,34.18,50.78
Agricultural Laboratory Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,,
Agricultural Machinery Operator,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Agricultural RPA Pilot,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Agricultural Specialist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,,,,,,
Agriculture Clerk,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,,
Agriculture Program Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,,
Agronomy Technicians,"Agriculture, Forestry, and Fishing","Growing of non-perennial crops, Growing of perennial crops, Plant propagation",Higher Education,Yes,No,N,N,,,,,,
AI Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
AI Prompter,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology,,,,,,
Air Traffic Radio Communications Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,Tourism,Tourism,,,,,,
Aircraft Cleaning Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Airline Ground Staff,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,Tourism,Tourism,,,,,,
Airport Equipment Operator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Alimak Operators,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Ambulance Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,,
Ambulance Driver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,,
Analog / Digital Chip Analyst,Manufacturing,Manufacture of electronic components,Higher Education,No,No,Y,Digital Technology,,,,,,
Anatomy and Physiology Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,,
Animal Caretaker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Animal Health Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,N,,,,,,
Animal Production Assistant,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,N,N,,,,,,
Apparel Display Technician,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,N,N,,,,,,
Apparel Pattern Designer,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,No,N,N,,,,,,
Apparel Quality Technician,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,N,N,,,,,,
Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Aquaculture Business Assistant,Fisheries Technology,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,716.0,2124.0,1005.0,1509.0,33.71,66.6
Aquaculture Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Aquaculture Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,N,N,,,,,,
Aquaculture Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,,
Aquatic Ecology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Architectural Drafter,Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,61.12,62.14
Archivist,Library Science,"Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,62.64,48.77
Art Gallery Associate,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Art Gallery Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Articulated Truck Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Artisanal Weaver,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N,,,,,,
ASEAN Affairs Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Associate Data Engineer,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology,,,,,,
Astronomical Data Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,Y,Digital Technology,,,,,,
Audio Post Specialist,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,N,,,,,,
Audio Stagehand,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Auto-Electrical Diagnosis Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Automation Control Technician,Manufacturing,Manufacture of general purpose machinery,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Automotive Body Painting Specialist,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,N,,,,,,
Automotive Body Specialist,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,N,,,,,,
Automotive Chassis Mechanic,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Automotive Electrical Assembly Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Automotive Engine Specialist,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Automotive Maintenance Staff,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Automotive Mechanic Specialized In EV Power,Manufacturing,Manufacture of batteries and accumulators,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Automotive Mechanical Assembly Technician,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Automotive Painter (Transportation and Storage),Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Automotive Painting Machine Operator,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,N,N,,,,,,
Automotive Service Specialist (Chassis),Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Automotive Wiring Harness Assembler,Manufacturing,Manufacture of wiring and wiring devices,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Back End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Backend Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Backhoe Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Backstrap Warper,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N,,,,,,
Baggage Handlers,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Bamboo Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,,
Banking Associate,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,Y,Financial Services,,,,,,
Barangay Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Barangay Nutrition Action Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health,,,,,,
Barber,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Barista,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Bartender,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Basic Jewelry Fabricator,Manufacturing,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,N,N,,,,,,
Basket Weaver,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,N,N,,,,,,
Beach Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
