job_sector,year,passers,examinees,passing_rate,source
Accountancy,2024,3058,10136,30.17,"https://www.thesummitexpress.com/2024/12/cpale-results-december-2024-cpa-board-exam-list-of-passers-top-10.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20December,the%20last%20day%20of%20exam"
Agriculture,2024,3628,7144,50.78,"https://www.thesummitexpress.com/2024/11/full-results-november-2024-agriculturist-board-exam-list-of-passers-top-10.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20November,working%20days%20after%20the%20exam"
Architecture,2024,2094,3370,62.14,"https://mb.com.ph/2024/6/20/pup-tops-june-2024-architect-licensure-exam-prc#:~:text=According%20to%20Commission%20Resolution%20No,an%2080%20percent%20passing%20rate"
Chemical Engineering,2024,688,951,72.34,"https://www.philstar.com/banat/imong-kapalaran/exam-results/2024/11/27/2403351/chemical-engineers-licensure-examination#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,and%20Rosales%20this%20November%202024"
Chemistry,2024,592,1088,54.41,"https://mb.com.ph/2024/10/24/october-2024-chemists-chemical-technicians-exams#:~:text=A%20total%20of%20592%20examinees,PRC%29%20this%20October"
Civil Engineering,2024,6835,18436,37.07,"file:///home/oai/redirect.html#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,in%20November%20and%20December%202024"
Criminology,2024,11121,22539,49.34,"https://www.thesummitexpress.com/2024/08/cle-results-july-august-2024-criminologist-board-exam-list-of-passers-top-10.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20July,the%20last%20day%20of%20exams"
Customs Brokers,2024,1265,2871,44.06,"https://www.thesummitexpress.com/2024/11/list-of-passers-a-g-november-2024-customs-broker-board-exam-cble-result.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20November,working%20days%20after%20the%20exam"
Dentistry,2024,873,1287,67.83,"https://www.thesummitexpress.com/2024/12/dle-results-november-december-2024-dentist-board-exam-list-of-passers.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20November,the%20last%20day%20of%20exam"
Dental Medicine,2024,873,1287,67.83,"https://www.thesummitexpress.com/2024/12/dle-results-november-december-2024-dentist-board-exam-list-of-passers.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20November,the%20last%20day%20of%20exam"
Electrical Engineering,2024,1655,3058,54.12,"https://www.thesummitexpress.com/2024/08/ree-results-august-2024-electrical-engineering-board-exam-list-passers.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20August,working%20days%20after%20the%20exam"
Electronics Engineering,2024,999,2172,45.99,"https://www.thesummitexpress.com/2024/10/full-results-october-2024-electronics-engineer-ece-board-exam-list-of-passers-top-10.html#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20October,the%20last%20day%20of%20exam"
Environmental Planning,2024,258,348,74.14,"https://www.philstar.com/other-sections/exam-results/2024/08/22/2379819/environmental-planners-licensure-examination#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,and%20Lucena%20this%20August%202024"
Fisheries Technology,2024,1005,1509,66.6,"https://philnews.ph/2024/10/16/fisheries-technologist-board-exam-result-october-2024-just-released/#:~:text=The%20Professional%20Regulation%20Commission%20,Oro%20Cebu%2C%20Davao%2C%20Iloilo%2C%20Koronadal"
Food Technology,2024,510,995,51.26,"https://www.philstar.com/exam-results/2024/08/29/2381663/food-technologists-licensure-examination#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,and%20Davao%20this%20August%202024"
Forestry,2024,928,1574,58.96,"https://www.thesummitexpress.com/2024/11/pfle-results-october-2024-forester-board-exam-list-of-passers-top-10.html#:~:text=MANILA%2C%20Philippines%20%E2%80%93%20The%20October,working%20days%20after%20the%20exam"
Geodetic Engineering,2024,650,1343,48.4,"https://www.slu.edu.ph/2024/10/29/3-louisians-top-the-2024-geodetic-engineers-licensure-examination/#:~:text=Moreover%2C%20SLU%20attained%20a%2070,examinees%20successfully%20passing%20the%20exams"
Geology,2024,236,349,67.62,"https://www.thesummitexpress.com/2024/11/full-results-november-2024-geologist-board-exam-list-of-passers-top-10.html#:~:text=As%20announced%2C%20236%20out%20of,passed%20the%20exams"
Guidance and Counseling,2024,316,539,58.63,"https://www.philstar.com/campus/exam-results/2024/08/16/2378352/guidance-counselors-licensure-examination#:~:text=MANILA%2C%20Philippines%20%E2%80%94%20The%20Professional,this%20August%202024"
Interior Design,2024,119,400,29.75,"https://up.edu.ph/up-grads-top-july-2024-interior-design-licensure-exams/#:~:text=UP%20Diliman%20fielded%2018%20examinees,only%20119%20passed%20the%20examinations"
