,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N)_x,Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,AIOE,Complementarity,C-AIOE,Classification
0,2D Echocardiography Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,-0.1207078752623671,0.6288888888888889,-0.086842610258203,Protected
1,2D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
2,3D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
3,3D Modeller,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
4,3D Printing Designer,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,Y,Digital Technology,,,,,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
5,4-Wheel Tractor Mechanic,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,-1.049182638556866,0.7641666666666665,-0.6128975246903028,Protected
6,Abaca Fiber Stripper And Classifier,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,-0.8841484845166345,0.4858333333333333,-0.7625780678955973,Isolated
7,Abaca Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,-2.0896117392961986,0.4991666666666667,-1.7744286352856886,Isolated
8,Academic Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
9,Accounting Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
10,Accounting Professional (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,Yes,No,N,N,2740.0,8734.0,3058.0,10136.0,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
11,Accounting Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,Tourism,,,,,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
12,Actuarial Assistant,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Higher Education,No,No,Y,Financial Services,,,,,1.2970972393926237,0.538611111111111,1.0502884591193051,Displaced
13,Actuarial Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,1.4774993998129229,0.6063888888888888,1.0962224713611994,Augmented
14,Admin Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,Y,Tourism,,,,,0.9698125993622836,0.4805555555555555,0.8415818223354928,Displaced
15,Admin Staff (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
16,Administrative Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
17,Advertising Clerk (Tourism),"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,N,N,,,,,1.0117367283079466,0.5203728070175438,0.8376780740628624,Displaced
18,Aesthetician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,-0.1802445932619149,0.6108333333333333,-0.1329303875306622,Protected
19,Agribusiness Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,-1.826941747515469,0.495,-1.5589902912132003,Isolated
