Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC
2D Echocardiography Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3211.0,3211,29-2035 
2D Game Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024
3D Game Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024
3D Modeller,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024
3D Printing Designer,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,2166.0,2166,27-1024
4-Wheel Tractor Mechanic,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,7233.0,7233,49-9081
Abaca Fiber Stripper And Classifier,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,7318.0,7318,51-6041
Abaca Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6116.0,6111 p,45-2092
Academic Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2131.0,2131,19-1099
Accounting Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,4311.0,4311,43-3031
Accounting Professional (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,Yes,No,2411.0,2411,13-2082
Accounting Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4311.0,4311,43-3031
Actuarial Assistant,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Higher Education,No,No,3314.0,3314,43-9111
Actuarial Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,2123.0,2120,19-3022
Admin Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,4110.0,4110,43-9061 
Admin Staff (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,3343.0,3343,43-6011
Administrative Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011
Advertising Clerk (Tourism),"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,4419.0,4419,43-9199 
Aesthetician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5142.0,5142,39-5094
Agribusiness Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,5246.0,5246,35-9011 
Agricultural Data Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3512.0,3512,15-1151 
Agricultural Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2144.0,2144,17-2141 
Agricultural Extension Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,3143.0,3143,19-4093
Agricultural Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,3142.0,3142,19-4011
Agricultural Laboratory Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3359.0,3359,45-2011 
Agricultural Machinery Operator,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,8341.0,8341,45-4022
Agricultural RPA Pilot,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,3153.0,3153,53-2012
Agricultural Specialist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2132.0,2132,25-9021
Agriculture Clerk,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,4110.0,4110,43-9061 
Agriculture Program Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3343.0,3343,43-6011
Agronomy Technicians,"Agriculture, Forestry, and Fishing","Growing of non-perennial crops, Growing of perennial crops, Plant propagation",Higher Education,Yes,No,3142.0,3142,19-4011
AI Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
AI Prompter,Information and Communication,Other information service activities,Not Higher Education,No,No,2529.0,2529,15-1199
Air Traffic Radio Communications Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,3154.0,3154,53-2021
Aircraft Cleaning Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3153.0,3153,53-2012
Airline Ground Staff,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,5111.0,5111,53-6061
Airport Equipment Operator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3521.0,3521,27-4099 
Alimak Operators,Construction,Other specialized construction activities,Not Higher Education,No,No,8344.0,8344,53-7051 
Ambulance Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3258.0,3258,29-2041 
Ambulance Driver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,8322.0,8322 p,53-3011
Analog / Digital Chip Analyst,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,No,2152.0,2152,17-2072 
Anatomy and Physiology Instructor,Education,Higher education,Higher Education,No,No,2310.0,2310,25-1199
Animal Caretaker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,5164.0,5164,39-2021 
Animal Health Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,3240.0,3240,31-9096
Animal Production Assistant,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,3240.0,3240,31-9096
Apparel Display Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3432.0,3432,27-1027
