,0
1111,11-1031
1112,11-9161
1113,11-1031
1114,11-9199
1120,11-1021
1211,11-3031
1212,11-3131
1213,11-9199
1219,11-9199
1221,11-2022
1222,11-2031
1223,11-9121
1311,11-9013
1312,11-9013
1321,11-3051
1322,11-9199
1323,11-9021
1324,11-3071
1330,11-3021
1341,11-9031
1342,11-9111
1343,11-9111
1344,11-9151
1345,11-9039
1346,11-3031
1349,11-9199
1411,11-9081
1412,11-9051
1420,11-1021
1431,11-9199
1439,11-9199
2111,19-2012
2112,19-2021
2113,19-2032
2114,19-2043
2119,19-2099
2121,19-3022
2122,19-3022
2123,19-3022
2124,19-3022
2131,19-1099
2132,25-9021
2133,19-2041 
2141,17-2112
2142,17-2051 
2143,17-2081
2144,17-2141 
2145,17-2041
2146,19-2032
2149,17-2199
2151,17-2071
2152,17-2072 
2153,17-2072
2161,17-1011
2162,17-1012
2163,27-1029
2164,19-3051
2165,17-1022
2166,27-1024
2211,29-1069
2212,29-1069
2221,29-1171 
2222,29-1161 
2230,29-1199 
2240,29-1071
2250,29-1131
2261,29-1029
2262,29-1051
2263,29-9011 
2264,29-1128
2265,29-1031
2266,29-1181
2267,29-1041
2269,29-9092 
2310,25-1199
2320,25-2032
2330,25-2031
2341,25-2022
2342,25-2012
2351,25-9031
2352,25-2059 
2353,25-3099 
2354,25-3021
2355,25-3099 
2356,13-1151 
2359,25-9099
2411,13-2082
2412,13-2052
2413,13-2061
2421,13-1111
2422,13-1199
2423,21-1012 
2424,13-1151 
2431,27-3043 
2432,27-3031 
2433,41-4011
2434,41-9031
2511,15-1121
2512,15-1133
2513,15-1134 
2514,15-1131
2519,15-1199
2521,15-1141
2522,15-1142
2523,15-1143 
2529,15-1199
2611,23-1011
2612,23-1023
2619,23-1022
2621,25-4012
2622,25-9011
2631,19-3011
2632,19-3092
2633,19-3099
2634,19-3039
2635,21-1099
2636,21-2021 
2641,27-3043
2642,27-3041 
2643,27-3091
2651,27-1013
2652,27-2042
2653,27-2032
2654,27-4032 
2655,27-2011
2656,27-3021
2659,27-2099
3111,19-4099
3112,47-4011
3113,17-3024
3114,17-3023
3115,17-3029
3116,17-3029
3117,19-4041
3118,27-1013 
3119,53-6041
3121,47-1011 
3122,51-1011 
3123,47-1011
3131,51-8013
3132,53-7072
3133,51-8091
3134,53-7072
3135,51-4051
3139,51-4012
3141,19-4091
3142,19-4011
3143,19-4093
3151,53-5031
3152,53-5021
3153,53-2012
3154,53-2021
3155,17-3023
3211,29-2035 
3212,29-2012
3213,29-2052
3214,51-9082 
3221,29-2061
3222,29-9099
3230,29-9099
3240,31-9096
3251,31-9091
3252,29-2071 
3253,21-1094 
3254,29-2081
3255,31-9011 
3256,31-9092
3257,53-6051
3258,29-2041 
3259,31-9099
3311,41-3031
3312,13-2072 
3313,43-3031
3314,43-9111
3315,13-2021
3321,41-3021
3322,41-4011 
3323,13-1023
3324,43-5011 
3331,43-5071 
3332,13-1121
3333,13-1074 
3334,41-9022
3339,41-9099 
3341,43-1011 
3342,43-6012
3343,43-6011
3344,43-6013
3351,33-3051
3352,13-2081
3353,43-4061
3354,43-4031
3355,33-3021
3359,45-2011 
3411,33-9031
3412,21-1093
3413,21-2099
3421,
3422,
3423,39-9031
3424,
3431,27-4021
3432,27-1027
3433,27-1012 
3434,35-1012
3435,39-3099 
3511,43-9011
3512,15-1151 
3513,15-1152 
3514,15-1142
3521,27-4099 
3522,17-3023
4110,43-9061 
4120,43-6014
4131,43-9022
4132,43-9021
4211,43-5051 
4212,43-3041
4213,43-3099 
4214,43-3011
4221,43-4181
4222,43-4171 
4223,43-2021
4224,43-4081
4225,43-4171
4226,43-4171
4227,43-4111 
4229,43-4199 
4311,43-3031
4312,43-9041 
4313,43-3051
4321,43-5111
4322,43-5061 
4323,43-5032
4411,43-4121
4412,43-9051
4413,43-9081
4414,39-9021 
4415,43-9071 
4416,43-4161 
4419,43-9199 
5111,53-6061
5112,53-6061
5113,39-7012
5120,35-2019
5131,35-3041 
5132,35-3011
5141,39-5012
5142,39-5094
5151,37-1011 
5152,39-9099 
5153,37-2011
5161,27-2099
5162,39-9099
5163,39-4031
5164,39-2021 
5165,25-3021 
5169,39-9099
5211,41-9091
5212,41-9091
5221,11-1021
5222,41-1011
5223,41-2031
5230,41-2012
