,SOC,AIOE
0,11-1011,1.3479513653519621
208,11-1021,1.0159515689880594
312,11-2011,1.273645817031233
416,11-2021,1.2941641842223925
520,11-2022,1.3236126126438075
624,11-2033,1.130965877858563
728,11-3012,0.7219766874459658
936,11-3013,0.33796126998461695
1040,11-3021,1.0403256076163256
1144,11-3031,1.3042935569257985
1560,11-3051,0.9248181759097794
2080,11-3061,1.4296993012500263
2184,11-3071,1.007726976753752
2392,11-3111,1.2888057010990612
2496,11-3121,1.3374617844829197
2600,11-3131,1.3104406599444354
2704,11-9013,-0.14193550411508854
2808,11-9021,0.6023994322858968
2912,11-9031,0.8195869086618577
3016,11-9032,1.2049823773877035
3120,11-9033,1.439497737025359
3224,11-9041,1.0797638819127333
3432,11-9051,-0.04006391519699784
3536,11-9071,0.8635108731893882
3640,11-9072,0.4565487178175707
3744,11-9081,0.38604477815808147
3848,11-9111,1.265768113275855
3952,11-9121,1.0772620549916228
4264,11-9131,0.8051008734102826
4368,11-9141,1.2738111294819132
4472,11-9151,1.1361229605328536
4576,11-9161,0.9913111962103572
4680,11-9171,0.42438170634695827
4784,11-9179,-0.3915375905203075
4992,11-9199,1.4290950101410484
5616,13-1011,1.21397475775133
5720,13-1021,0.7507347085971153
5824,13-1022,0.8005965677254073
5928,13-1023,1.4742814213283417
6032,13-1031,1.2683732568869774
6136,13-1032,0.6460561554341373
6656,13-1041,0.1292963535410174
6968,13-1051,1.3925152663436917
7072,13-1071,1.338932506367019
7176,13-1074,-0.4471441743981977
7280,13-1075,1.3853870276882736
7488,13-1081,1.3238806305225566
7696,13-1111,1.369842507381068
7800,13-1121,0.3580352965169154
7904,13-1131,1.2884372556302546
8008,13-1141,1.3849640001181718
8112,13-1151,1.1966462559768865
8320,13-1161,1.4262105703536936
8424,13-1199,1.4540568100648037
8840,13-2011,1.4136128348132253
8944,13-2022,0.8521609490154249
9048,13-2023,0.9671763923419417
9152,13-2031,1.3400991096990325
9256,13-2041,1.4303702843495123
9360,13-2052,1.4093484423064386
9464,13-2053,1.3057408697422865
9568,13-2061,1.4984326197157478
9672,13-2071,1.3146458589766328
9776,13-2072,1.2375369086685346
9880,13-2081,1.315622152387755
9984,13-2082,1.3620743346972182
10088,13-2099,1.3676009717014879
10400,15-1211,1.1239022980263977
10504,15-1212,1.2296226184680958
