Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC,AIOE,major_minor
2D Echocardiography Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3211.0,3211,29-2035 ,-0.20865565249295095,29
2D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024,0.6558359528610636,27
3D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024,0.6558359528610636,27
3D Modeller,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024,0.6558359528610636,27
3D Printing Designer,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,2166.0,2166,27-1024,0.6558359528610636,27
4-Wheel Tractor Mechanic,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,7233.0,7233,49-9081,-1.1488319558659998,49
Abaca Fiber Stripper And Classifier,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,7318.0,7318,51-6041,-0.9817178812461512,51
Abaca Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6116.0,6111 p,45-2092,-2.2023735538992737,45
Academic Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2131.0,2131,19-1099,1.2714488780375865,19
Accounting Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,4311.0,4311,43-3031,0.9469281462772959,43
Accounting Professional (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,Yes,No,2411.0,2411,13-2082,1.2928140179594079,13
Accounting Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4311.0,4311,43-3031,0.9469281462772959,43
Actuarial Assistant,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Higher Education,No,No,3314.0,3314,43-9111,1.2270180182376416,43
Actuarial Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,2123.0,2120,19-3022,1.4096937817690525,19
Admin Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,4110.0,4110,43-9061 ,0.8956086195344649,43
Admin Staff (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,3343.0,3343,43-6011,0.9869789708672666,43
Administrative Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011,0.9869789708672666,43
Advertising Clerk (Tourism),"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,4419.0,4419,43-9199 ,0.9380611170416764,43
Aesthetician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5142.0,5142,39-5094,-0.2689427099948295,39
Agribusiness Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,5246.0,5246,35-9011 ,-1.9363931399533265,35
Agricultural Data Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3512.0,3512,15-1151 ,1.388784111523391,15
Agricultural Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2144.0,2144,17-2141 ,0.8915684104716345,17
Agricultural Extension Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,3143.0,3143,19-4071,-0.7727476275783224,19
Agricultural Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,3142.0,3142,19-4011,1.2714488780375865,19
