,Communication,Responsibility,Physical,Criticality,Routine,Skills
11-1011.00,0.75,0.86,0.35,0.8,0.82,1.0
11-1011.03,0.7,0.56,0.38,0.6,0.86,1.0
11-1021.00,0.67,0.86,0.515,0.77,0.8,0.8
11-2011.00,0.68,0.54,0.415,0.63,0.78,0.8
11-2021.00,0.765,0.53,0.285,0.6933333333333332,0.815,0.8
11-2022.00,0.67,0.545,0.395,0.6133333333333333,0.765,0.8
11-2033.00,0.75,0.54,0.27,0.6966666666666665,0.865,0.8
11-3012.00,0.65,0.76,0.325,0.65,0.735,0.6
11-3013.00,0.68,0.86,0.53,0.7066666666666666,0.815,0.6
11-3013.01,0.645,0.75,0.545,0.6866666666666665,0.725,0.8
11-3021.00,0.59,0.69,0.225,0.7566666666666666,0.775,0.8
11-3031.00,0.695,0.695,0.265,0.7,0.705,0.8
11-3031.01,0.675,0.535,0.195,0.7133333333333333,0.72,0.8
11-3031.03,0.68,0.415,0.225,0.8133333333333332,0.755,1.0
11-3051.00,0.7,0.88,0.445,0.74,0.815,0.8
11-3051.01,0.69,0.78,0.355,0.7,0.78,0.8
11-3051.02,0.76,0.945,0.575,0.8333333333333333,0.785,0.6
11-3051.03,0.685,0.945,0.645,0.8333333333333333,0.59,0.8
11-3051.04,0.73,0.965,0.655,0.78,0.715,0.8
11-3051.06,0.69,0.935,0.565,0.8333333333333333,0.745,0.6
11-3061.00,0.675,0.62,0.265,0.58,0.695,0.8
11-3071.00,0.68,0.755,0.455,0.7166666666666666,0.685,0.8
11-3071.04,0.71,0.77,0.395,0.5833333333333333,0.71,0.8
11-3111.00,0.655,0.5,0.16,0.6533333333333333,0.72,0.8
11-3121.00,0.695,0.645,0.285,0.7,0.7,0.8
11-3131.00,0.765,0.545,0.295,0.5166666666666666,0.81,0.8
11-9013.00,0.595,0.775,0.755,0.68,0.77,0.8
11-9021.00,0.73,0.765,0.67,0.7366666666666666,0.75,0.8
11-9031.00,0.635,0.89,0.54,0.81,0.79,0.8
11-9032.00,0.78,0.815,0.54,0.5833333333333333,0.91,1.0
11-9033.00,0.745,0.595,0.27,0.7066666666666666,0.85,1.0
11-9041.00,0.73,0.68,0.35,0.67,0.81,1.0
11-9041.01,0.685,0.665,0.415,0.6933333333333332,0.795,0.8
11-9051.00,0.69,0.855,0.535,0.7166666666666666,0.775,0.4
11-9071.00,0.7,0.795,0.405,0.79,0.72,0.4
11-9072.00,0.805,0.745,0.5,0.7,0.845,0.8
11-9081.00,0.815,0.845,0.3,0.7233333333333333,0.725,0.8
11-9111.00,0.695,0.71,0.25,0.5866666666666667,0.655,0.8
11-9121.00,0.72,0.765,0.26,0.6233333333333333,0.86,1.0
11-9121.01,0.63,0.545,0.3,0.6166666666666667,0.76,0.8
11-9121.02,0.665,0.63,0.43,0.5733333333333333,0.765,0.8
11-9131.00,0.84,0.92,0.51,0.66,0.655,0.4
11-9141.00,0.67,0.645,0.475,0.65,0.755,0.8
11-9151.00,0.735,0.74,0.295,0.7133333333333333,0.765,0.8
11-9161.00,0.68,0.725,0.48,0.6133333333333333,0.805,0.8
11-9171.00,0.8,0.705,0.765,0.8233333333333333,0.735,0.6
11-9179.01,0.76,0.67,0.435,0.5633333333333332,0.82,0.8
11-9179.02,0.605,0.73,0.42,0.68,0.74,0.6
11-9199.01,0.63,0.42,0.22,0.6233333333333333,0.755,0.8
11-9199.02,0.71,0.74,0.365,0.7033333333333333,0.825,0.8
11-9199.08,0.705,0.77,0.45,0.69,0.72,0.8
11-9199.09,0.79,0.885,0.685,0.8633333333333333,0.77,0.6
11-9199.10,0.62,0.475,0.385,0.6166666666666667,0.89,0.8
11-9199.11,0.585,0.59,0.46,0.5266666666666666,0.795,0.8
13-1011.00,0.57,0.33,0.235,0.72,0.845,0.8
13-1021.00,0.625,0.525,0.405,0.8266666666666665,0.715,0.8
13-1022.00,0.645,0.515,0.335,0.75,0.84,0.6
13-1023.00,0.69,0.48,0.28,0.6533333333333333,0.68,0.8
13-1031.00,0.505,0.285,0.31,0.76,0.665,0.8
13-1032.00,0.505,0.23,0.595,0.74,0.65,0.6
13-1041.00,0.61,0.325,0.665,0.66,0.6,0.8
13-1041.01,0.6,0.395,0.63,0.53,0.8,0.8
13-1041.03,0.645,0.29,0.265,0.6766666666666665,0.775,0.8
13-1041.04,0.57,0.605,0.615,0.6333333333333333,0.725,0.6
13-1041.06,0.755,0.725,0.785,0.7633333333333333,0.805,0.6
13-1041.07,0.605,0.305,0.28,0.5633333333333332,0.775,0.8
13-1041.08,0.63,0.475,0.32,0.6766666666666665,0.51,0.6
13-1051.00,0.645,0.365,0.285,0.5533333333333332,0.715,0.8
13-1071.00,0.78,0.645,0.265,0.69,0.69,0.8
13-1074.00,0.575,0.905,0.725,0.6833333333333332,0.845,0.4
13-1075.00,0.635,0.485,0.3,0.65,0.775,0.8
13-1081.00,0.63,0.555,0.43,0.6133333333333333,0.63,0.8
13-1081.01,0.645,0.665,0.435,0.62,0.7,0.8
13-1081.02,0.6,0.44,0.345,0.6066666666666667,0.64,0.8
13-1111.00,0.69,0.505,0.325,0.6433333333333333,0.725,0.8
13-1121.00,0.59,0.645,0.525,0.66,0.88,0.8
