Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,SOC,AIOE,Complementarity
2D Echocardiography Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,29-2035 ,-0.2086556524929509,0.6288888888888889
2D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,27-1024,0.6558359528610636,0.563888888888889
3D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,27-1024,0.6558359528610636,0.563888888888889
3D Modeller,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,27-1024,0.6558359528610636,0.563888888888889
3D Printing Designer,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,27-1024,0.6558359528610636,0.563888888888889
4-Wheel Tractor Mechanic,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,49-9081,-1.1488319558659998,0.7641666666666665
Abaca Fiber Stripper And Classifier,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,51-6041,-0.9817178812461512,0.48583333333333334
Abaca Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,45-2092,-2.2023735538992737,0.49916666666666676
Academic Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,19-1099,1.2714488780375863,0.6075531914893617
Accounting Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,43-3031,0.946928146277296,0.5122222222222222
Accounting Professional (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,Yes,No,13-2082,1.292814017959408,0.45416666666666666
Accounting Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,43-3031,0.946928146277296,0.5122222222222222
