,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,AIOE,Complementarity,Classification,C-AIOE
0,2D Echocardiography Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,-0.1207078752623671,0.6288888888888889,Protected,-0.086842610258203
1,2D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,0.733024170282144,0.563888888888889,Displaced,0.5750167380213262
2,3D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,0.733024170282144,0.563888888888889,Displaced,0.5750167380213262
3,3D Modeller,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,0.733024170282144,0.563888888888889,Displaced,0.5750167380213262
4,3D Printing Designer,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,0.733024170282144,0.563888888888889,Displaced,0.5750167380213262
5,4-Wheel Tractor Mechanic,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,-1.049182638556866,0.7641666666666665,Protected,-0.6128975246903028
6,Abaca Fiber Stripper And Classifier,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,-0.8841484845166345,0.4858333333333333,Isolated,-0.7625780678955973
7,Abaca Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,-2.0896117392961986,0.4991666666666667,Isolated,-1.7744286352856886
8,Academic Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,1.1962758695210862,0.6164937943262411,Augmented,0.8754819808756202
9,Accounting Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,1.0204933974998105,0.5122222222222222,Displaced,0.8532458684651194
10,Accounting Professional (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,Yes,No,1.3620743346972182,0.4541666666666666,Displaced,1.2179214676084293
11,Accounting Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,1.0204933974998105,0.5122222222222222,Displaced,0.8532458684651194
