Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
2D Echocardiography Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,29-2035 ,-0.1207078752623671,0.6288888888888889,-0.086842610258203,Protected
2D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
3D Game Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
3D Modeller,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,Y,Digital Technology,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
3D Printing Designer,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,Y,Digital Technology,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
4-Wheel Tractor Mechanic,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,49-9081,-1.049182638556866,0.7641666666666665,-0.6128975246903028,Protected
Abaca Fiber Stripper And Classifier,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,51-6041,-0.8841484845166345,0.4858333333333333,-0.7625780678955973,Isolated
Abaca Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,45-2092,-2.0896117392961986,0.4991666666666667,-1.7744286352856886,Isolated
Academic Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,19-1099,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Accounting Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,43-3031,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
Accounting Professional (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,Yes,No,N,N,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Accounting Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,43-3031,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
Actuarial Assistant,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Higher Education,No,No,Y,Financial Services,,,,,43-9111,1.2970972393926237,0.538611111111111,1.0502884591193051,Displaced
Actuarial Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,19-3022,1.4774993998129229,0.6063888888888888,1.0962224713611994,Augmented
Admin Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,Tourism,Tourism,,,,,43-9061 ,0.9698125993622836,0.4805555555555555,0.8415818223354928,Displaced
Admin Staff (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Administrative Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Advertising Clerk (Tourism),"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,N,N,,,,,43-9199 ,1.0117367283079466,0.5203728070175438,0.8376780740628624,Displaced
Aesthetician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,39-5094,-0.1802445932619149,0.6108333333333333,-0.1329303875306622,Protected
Agribusiness Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,35-9011 ,-1.826941747515469,0.495,-1.5589902912132003,Isolated
Agricultural Data Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,Y,Digital Technology,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Agricultural Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,17-2141 ,1.167377784026609,0.6280555555555556,0.8408362761058326,Augmented
Agricultural Extension Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,19-4071,-0.6777790981433184,0.7088888888888888,-0.4334020788683109,Protected
Agricultural Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,N,3423.0,10014.0,3628.0,7144.0,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Agricultural Laboratory Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,45-2011 ,0.1555959054689412,0.5997222222222222,0.1164808236774435,Augmented
Agricultural Machinery Operator,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,45-4022,-1.012423592144586,0.5769444444444445,-0.7809723098293099,Isolated
Agricultural RPA Pilot,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,53-2012,-0.2057925090763235,0.7225,-0.1287918119302658,Protected
Agricultural Specialist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,25-9021,0.8006554663832743,0.706111111111111,0.5141987328550363,Augmented
Agriculture Clerk,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,43-9061 ,0.9698125993622836,0.4805555555555555,0.8415818223354928,Displaced
Agriculture Program Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Agronomy Technicians,"Agriculture, Forestry, and Fishing","Growing of non-perennial crops, Growing of perennial crops, Plant propagation",Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
AI Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1133,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
AI Prompter,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Air Traffic Radio Communications Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,Tourism,Tourism,,,,,53-2021,1.1328593104970563,0.5769444444444445,0.8738750847917571,Displaced
Aircraft Cleaning Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-2012,-0.2057925090763235,0.7225,-0.1287918119302658,Protected
Airline Ground Staff,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,Tourism,Tourism,,,,,53-6061,-0.3872555286506614,0.5061111111111111,-0.3261552119080015,Isolated
Airport Equipment Operator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Alimak Operators,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7051 ,-1.298820999584999,0.6272222222222222,-0.9365942541451828,Protected
Ambulance Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,29-2041 ,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
Ambulance Driver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,53-3011,-0.8395236274276211,0.6863888888888888,-0.5557180011555615,Protected
Analog / Digital Chip Analyst,Manufacturing,Manufacture of electronic components,Higher Education,No,No,Y,Digital Technology,,,,,17-2072 ,0.6853776260103156,0.5906944444444444,0.51926874303976,Displaced
Anatomy and Physiology Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,25-1199,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Animal Caretaker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,39-2021 ,-0.8984382197853837,0.6325,-0.6431320256630373,Protected
