Provider Name,Class Name,Region Name,Province Name,City Name,Address,focal,phone,e mail,Qualification,Trainer Count,Enrolled,Graduates
HUMAN RESOURCE DEVELOPMENT CENTER (HRDC),TTI (School),National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"Philippine-Korea Friendship Center, Bayani Road, Fort Bonifacio, Taguig City",DEXTER C. HULLEZA,9182178647,mpltp.hrdc.tvimis@gmail.com,3D Animation NC III,1,42,30
DON BOSCO YOUTH CENTER-TONDO INC. ,TVIs,National Capital Region (NCR),City of Manila,"Tondo I/II, City of Manila","Bo. Magsaysay, Tondo, Manila","Fr. Gaudencio T. Carandang Jr., SDB",254-56-59/251-52-60,,Automotive Servicing (Engine Repair) NC II,1,78,114
"AUTOHUB INSTITUTE OF TECHNOLOGY, INC.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"Blk15 FGC Building Crescent Park West, Rizal Drive, Bonifacio Global City, Taguig",JESUS R. BOCES JR. ,9175572100,ait@autohubgroup.com,Automotive Servicing NC I,2,27,58
DON BOSCO YOUTH CENTER-TONDO INC. ,TVIs,National Capital Region (NCR),City of Manila,"Tondo I/II, City of Manila","Bo. Magsaysay, Tondo, Manila","Fr. Gaudencio T. Carandang Jr., SDB",254-56-59/251-52-60,,Automotive Servicing NC I,1,91,120
"GLOBE MARITIME TRAINING CENTER-MANILA, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Valenzuela City,"Cielo Azul, G. Salazar, Wawang Pulo, Valenzuela City","C/E GILBERT B. MILANA,Ph.D",734-0160,gmtctesda@gmail.com,Automotive Servicing NC I,1,19,9
"SAMSON COLLEGE OF SCIENCE AND TECHNOLOGY, INC.",HEIs,National Capital Region (NCR),Quezon City,Quezon City,"587 EDSA, Cubao, Quezon City",Dante I. Inocencio,721-4129 / 414-4631 / 414-6429 / FAX: 723-1648,samsoncollege@gmail.com,Automotive Servicing NC I,2,70,62
STO. NIÑO DE NOVALICHES SCHOOL INC.,TVIs,National Capital Region (NCR),Quezon City,Quezon City,"36 Buenamar St. Novaliches, Quezon City",NELSON Q CRUCIS JR./ TECH VOC DIR,8936-1950 / 3418-3989,qc.stoninotvimis@gmail.com,Automotive Servicing NC I,2,250,286
"TECHNO DEVELOPMENT CENTER OF THE PHILIPPINES, INC.",TVIs,National Capital Region (NCR),PASMAK,Pasay City,"2340 F. B. Harrison St., Pasay City",Froilan G. Aguirre,556-3819,technodevelopment2@yahoo.com,Automotive Servicing NC I,1,48,25
TESDA Women's Center,TTI (School),National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"TESDA Bldg. 2, Gate 1, TESDA Complex, East Service Road South Luzon Expressway (SLEX), Taguig City",MYLENE H. SOMERA,8172650,twc@tesda.gov.ph,Automotive Servicing NC I,1,25,25
VALENZUELA CITY TECHNOLOGICAL COLLEGE,LGU,National Capital Region (NCR),CAMANAVA,Valenzuela City,"Kamagong St., Fortune Vill. 6, Parada, Valenzuela City",DR. YOLANDA G. GADON,82930775 / 82920480,cmnv.valtech.tvimis@gmail.com,Automotive Servicing NC I,1,27,11
PAMANTASAN NG LUNGSOD NG MARIKINA,LGU,National Capital Region (NCR),PAMAMARISAN,Marikina City,"Rainbow Street, SSS Village, Concepcion Dos, Marikina City",MS. JESCKA LOI C. ZAGALA,7966-2583 / 7369-8650,plmar.techvoc@gmail.com,Barangay Health Services NC II,1,25,24
7-STAR EDUCATIONAL ACADEMY CORPORATION (7-STAR EDUCATIONAL ACADEMY INC.),TVIs,National Capital Region (NCR),City of Manila,"Sampaloc, City of Manila",Unit 502 5th Floor Fern Bldg 827 P. Paredes St. Sampaloc Manila,Jay-ar D. Sta. Ana,.,7staracademy.exec@gmail.com,Barista NC II,2,60,58
"ASIANTOUCH INTERNATIONAL TRAINING INSTITUTE, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"No. 14 N. Roxas St., San Roque, Marikina City",PRINCES A. PAMPLONA,961-7772 / 995-0996,asiantouchmarikina@gmail.com,Barista NC II,3,348,259
CARENET HEALTHCARE INSTITUTE INC.,TVIs,National Capital Region (NCR),PASMAK,Makati City,"4th Floor Piedra Bldg., 1174 Chino Roces Ave., San Antonio Village, Makati City",GretelWolda C. Gepilano,890-4547/890-7594,carenet_chi@yahoo.com,Barista NC II,8,1115,1180
"CARENET HEALTHCARE INSTITUTE, INC.",TVIs,National Capital Region (NCR),City of Manila,"Tondo I/II, City of Manila","4/F Piedra Bldg, No. 1174 Chino Roces Ave., Makati City",GretelWolda C. Gepilano,-,carenet_chi@yahoo.com,Barista NC II,3,102,48
"CARENET HEALTHCARE INSTITUTE, INC.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"4/F Piedra Bldg. 1174 Chino Roces Ave., San Antonio Village, Makati City",GretelWolda C. Gepilano,890-4547,carenet_chi@yahoo.com,Barista NC II,3,100,100
"CENTER FOR BARISTA AND TOURISM ACADEMY TRAINING AND ASSESSMENT, INC.",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"3/F Lot 13-A, Blk. 31 cor. Camaro St., Fairview Ave., Fairview, Quezon City",GERALD O. CATEDRILLA,(02) 428-4094,qc.cenbartvimis@gmail.com,Barista NC II,4,218,155
"Center for Excellence in Special Education (Stepping Stone) Foundation, Inc.",LGU,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"8001 Del Carmen St., St. Rita Village, BF Homes, Sucat, Parañaque City",Dayal Nandwani ,216-7232,ronalyn@steppingstone.ph,Barista NC II,1,48,36
CGROUP SKILLS DEVELOPMENT AND SECURITY TRAINING INSTITUTE INC.,TVIs,National Capital Region (NCR),Quezon City,Quezon City,"Lot 56 Blk LCH - 220 Pajo Street, Quirino 2C, Quezon City","GENESIS S. STO. DOMINGO, CHP, MMITHM, D.HUM",8299-8511 loc 106,cgroupskills@gmail.com,Barista NC II,1,57,28
"COOKO CULINARY AND BARISTA ACADEMY, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"2/F Skygate Bldg., No. 4 E. Rodriguez Jr . Ave (C5), Bagong Ilog, Pasig City)",SOO HEE CHANG,661-1914,cookoinfo@gmail.com,Barista NC II,1,141,159
"GOD BEARER INSTITUTE TRAINING AND ASSESSMENT CENTER, INC.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"AJBEL Bldg., 9127 San Antonio Valley Avenue, Brgy. SAV-1, Sucat, Parañaque City",Glendon C. Gloria,551-2408,godbearerinstitute@gmail.com,Barista NC II,1,79,74
HOME CULINARY AND TECHNICAL SCHOOL CORPORATION,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"No. 97 Doña Soledad Better Living, Don Bosco, Parañaque City",DAVE DV. NAVARRO,239-2860,homeculinary@kingsgroup.com.ph,Barista NC II,1,25,0
MYCHEST SKILLS INSTITUTE CORP.,TVIs,National Capital Region (NCR),City of Manila,"Malate, City of Manila","1906 San Pascual St., Brgy. 691, Malate, Manila",Alex Delos Santos,9331028163,mychestskills@gmail.com,Barista NC II,2,401,385
"NATIONAL INSTITUTE FOR TECHNICAL AND VOCATIONAL CAREERS, INC. ",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"Unit 11, Llanar Bldg., Bonny Serrano Ave., cor. 10th Ave., Cubao, Quezon City ",MARK AUGUSTINE L. RODRIGUEZ,364-4347,nationalinstitute.techvoc@gmail.com,Barista NC II,5,770,860
NAVOTAS VOCATIONAL TRAINING AND ASSESSMENT (NAVOTAAS) INSTITUTE - ANNEX II,LGU,National Capital Region (NCR),CAMANAVA,Navotas City,"Governor Pascual St., Barangay Daanghari, Navotas City",KATHRYN ANNE S. HILARIO,292-2277,navotaasinstitute.annex2@gmail.com,Barista NC II,1,107,98
POWER LINK CENTER FOR ADVANCED TECHNICAL SKILLS DEVELOPMENT INC.,TVIs,National Capital Region (NCR),City of Manila,"Malate, City of Manila","2F Marbella II Bldg. 2071 Roxas Blvd., Malate, Manila",Francis T. Tajanlangit ,331-3180 / 331-3177 / 742-3400,powerlink0615@gmail.com,Barista NC II,5,482,397
"QUEZON CITY SKILLS AND LIVELIHOOD FOUNDATION, INC.",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"6 K-F Street, Barangay Kamuning, Quezon City",VALERIE V. BERNARDINO,759-5873,quezoncityskills_ltc@yahoo.com,Barista NC II,2,60,56
RASE TRAINING AND ASSESSMENT CENTER INC.,TVIs,National Capital Region (NCR),PASMAK,Pasay City,"Unit 401 DMV Bldg., 2484 Padre Zamora St., Barangay 105, Pasay City",GRETELWOLDA C. GEPILANO,(02) 8771 5554,pasmak.rase.2024@gmail.com,Barista NC II,4,123,0
RCTI TRAINING AND ASSESSMENT CORP.,TVIs,National Capital Region (NCR),City of Manila,"Ermita, City of Manila","402 Bel-Air Apartment 4/F, 1020 Roxas Blvd., Ermita, Manila",Ricky M. Purificacion,523-7652,rcticorp@yahoo.com,Barista NC II,2,66,59
SMI INSTITUTE INC.,TVIs,National Capital Region (NCR),PASMAK,Pasay City,Unit 3- A 3rd Flr Wardley Bldg. 1991 San Juan St. Pasay City,CRISTINA J. APLASCA,2474130,smiacademicenter@gmail.com,Barista NC II,3,158,158
"ST. CATHERINE INSTITUTE OF TECHNOLOGY, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Malabon City,"No. 425 Blas St., Hulong Duhat, Malabon City",RUTH M. CUNTAPAY,"8713-6741, 8352-0859, 8736-7278, 09185292561",stcatherineinstituteoftechnology@yahoo.com,Barista NC II,0,0,55
ST. MATTHEW OF BLUMENTRITT INSTITUTE OF TECHNOLOGY (SMBIT). INC.,TVIs,National Capital Region (NCR),City of Manila,"Santa Cruz, City of Manila","2449 Rizal Ave. corner Cavite Street, Sta. Cruz, Manila",Analou Ong,8866-3682 / 7751-8162,smbit_2011@yahoo.com.ph,Barista NC II,2,54,54
TAGUIG MANPOWER TRAINING AND ASSESSMENT CENTER (TMTC),LGU,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"Col. Ballecer St., Brgy. Central Signal Village, Taguig City",Evangeline F. Sabater,9297015428,manpowertmtc@gmail.com,Barista NC II,2,201,183
TESDA Women's Center,TTI (School),National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"TESDA Bldg. 2, Gate 1, TESDA Complex, East Service Road South Luzon Expressway (SLEX), Taguig City",MYLENE H. SOMERA,8172650,twc@tesda.gov.ph,Barista NC II,2,289,252
"UNO CAREGIVER AND DOMESTIC MNGT TRAINING, INC.",TVIs,National Capital Region (NCR),PASMAK,Makati City,"No. 1587 Paradiso Centre, Copernico Street, Brgy. San Isidro, Makati City",MARY GRACE ROSALIA GULAN,843-5918/844-3231,uno_training@yahoo.com,Barista NC II,2,127,145
"ACADEMY ASIA SCHOOL OF TECHNOLOGY AND THE ARTS, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"2/F WRC Bldg. No. 47 Gil Fernando Midtown Subd., San Roque, Marikina City ",MR. JAIME G. DOLERA JR.,Tel. No. 234-0996,academy.asia@gmail.com,Bartending NC II,1,98,124
"ACCESS PASIG COMPUTER & TECHNICAL COLLEGES, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"No.11 M.H. Del Pilar St., Brgy. San Nicolas, Pasig",DONA MARIE ANGELICA O. MARIANO,9088130738,pas@access.edu.ph,Bartending NC II,1,108,106
"COLEGIO DE SAN GABRIEL ARCANGEL OF CALOOCAN, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"Phase 10 Pkg. 6 Blk. 1 Lot 4 Bagong Silang, Caloocan City","EUGENIO V. DAUZ, Ph.D.",579-40-11,cmnv.cdsgacal.tvimis@gmail.com,Bartending NC II,1,47,45
"GATEWAYS INSTITUTE OF SCIENCE & TECHNOLOGY, INC. (Mandaluyong)",TVIs,National Capital Region (NCR),PAMAMARISAN,Mandaluyong City,"3/F Raymundo Bldg. Kalentong St., Mandaluyong City",JOSE O. MONTENEGRO,534-4478,gistian08.mandakalentong@gmail.com,Bartending NC II,1,50,50
"GOD BEARER INSTITUTE TRAINING AND ASSESSMENT CENTER, INC.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"AJBEL Bldg., 9127 San Antonio Valley Avenue, Brgy. SAV-1, Sucat, Parañaque City",Glendon C. Gloria,551-2408,godbearerinstitute@gmail.com,Bartending NC II,1,25,0
"INTERNATIONAL TRAINING CENTER AND HOSPITALITY INSTITUTE, INC.",TVIs,National Capital Region (NCR),PAMAMARISAN,Mandaluyong City,"Unit 02, 2/F Elena Roces Building, No. 7 Pioneer St., Mandaluyong City",Mr. Ulysses D. Campos,634-8244 / 634-3300 or 0927-418-7015,info@itchi-asia.com,Bartending NC II,2,100,87
"Lakewood School of Alabang, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"Timbol Bldg., No. 21 National Road, Putatan, Muntinlupa City",Julita M. Concepcion,550-2260/861-0397,techvoc.lakewood@gmail.com,Bartending NC II,0,0,12
RASE TRAINING AND ASSESSMENT CENTER INC.,TVIs,National Capital Region (NCR),PASMAK,Pasay City,"Unit 401 DMV Bldg., 2484 Padre Zamora St., Barangay 105, Pasay City",GRETELWOLDA C. GEPILANO,(02) 8771 5554,pasmak.rase.2024@gmail.com,Bartending NC II,1,25,0
SMI INSTITUTE INC.,TVIs,National Capital Region (NCR),PASMAK,Pasay City,Unit 3- A 3rd Flr Wardley Bldg. 1991 San Juan St. Pasay City,CRISTINA J. APLASCA,2474130,smiacademicenter@gmail.com,Bartending NC II,1,48,48
TESDA Women's Center,TTI (School),National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"TESDA Bldg. 2, Gate 1, TESDA Complex, East Service Road South Luzon Expressway (SLEX), Taguig City",MYLENE H. SOMERA,8172650,twc@tesda.gov.ph,Bartending NC II,1,140,151
UNITED INTERNATIONAL MARITIME TRAINING AND ASSESSMENT CENTER INC.,TVIs,National Capital Region (NCR),PASMAK,Pasay City,4th Floor Sea Tower Bldg. 2332 Roxas Blvd. cor. Arnaiz St. Pasay City,Wilhermino S. Maniego,8230918,uimtac_inc@yahoo.com.ph,Bartending NC II,1,5,0
"UNO CAREGIVER AND DOMESTIC MNGT TRAINING, INC.",TVIs,National Capital Region (NCR),PASMAK,Makati City,"No. 1587 Paradiso Centre, Copernico Street, Brgy. San Isidro, Makati City",MARY GRACE ROSALIA GULAN,843-5918/844-3231,uno_training@yahoo.com,Bartending NC II,1,116,62
PASIG CITY INSTITUTE OF SCIENCE AND TECHNOLOGY,LGU,National Capital Region (NCR),PAMAMARISAN,Pasig City,"Pio Alvarez St. , Barangay Bambang Pasig City ",CORINNA V. BUGAWAN,706-7977,pcistbambang@gmail.com,Beauty Care Services (Nail Care) NC II,1,3,0
Quezon City Lingkod Bayan Skills Development Center,TTI (PTC),National Capital Region (NCR),Quezon City,Quezon City,"Lot 10, Block 17, Dahlia Avenue, Fairview Quezon City",EDMAR JAY O. BLANCO,799-9092,qclbsdc@tesda.gov.ph,Biomedical Equipment Servicing NC II,1,28,22
"ACCESS PASIG COMPUTER & TECHNICAL COLLEGES, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"No.11 M.H. Del Pilar St., Brgy. San Nicolas, Pasig",DONA MARIE ANGELICA O. MARIANO,9088130738,pas@access.edu.ph,Bookkeeping NC III,1,206,186
APLUS TECHNICAL AND VOCATIONAL SCHOOL INC.,TVIs,National Capital Region (NCR),PAMAMARISAN,Marikina City,"712 JP Rizal Concepcion Uno, Marikina City",MADONNA V. VITALIANO ,0915-800-1270,aplustechvoc@gmail.com,Bookkeeping NC III,2,262,214
"ASIAN ENTREPRENEURS TECHNOLOGICAL INSTITUTE, INC. ",TVIs,National Capital Region (NCR),PAMAMARISAN,Pasig City,"115 E. Santos Ave., Bambang, Pasig City",Ms. Marjorie G. Mendenilla,7746-0097,asianentrepreneurstech2009@gmail.com,Bookkeeping NC III,1,113,106
CITY UNIVERSITY OF PASAY,TVIs,National Capital Region (NCR),PASMAK,Pasay City,"Pasadeña St., Pasay City",Dr. ROASANIE F. ESTUCHE,5511342,cityunipasay@gmail.com,Bookkeeping NC III,1,50,0
"COLEGIO DE SAN GABRIEL ARCANGEL OF CALOOCAN, INC.",TVIs,National Capital Region (NCR),CAMANAVA,Caloocan City,"Phase 10 Pkg. 6 Blk. 1 Lot 4 Bagong Silang, Caloocan City","EUGENIO V. DAUZ, Ph.D.",579-40-11,cmnv.cdsgacal.tvimis@gmail.com,Bookkeeping NC III,0,0,24
DON BOSCO YOUTH CENTER-TONDO INC. ,TVIs,National Capital Region (NCR),City of Manila,"Tondo I/II, City of Manila","Bo. Magsaysay, Tondo, Manila","Fr. Gaudencio T. Carandang Jr., SDB",254-56-59/251-52-60,,Bookkeeping NC III,1,172,151
"FINE INTERNATIONAL TRAINING CENTER, INC.",TVIs,National Capital Region (NCR),PASMAK,Makati City,"518 Narra St. Cembo, Makati City ",MARY GRACE O. TEJADA,750-0626 / 391-1042 / 383-8766 / 391-1042,finetrainingcenter@gmail.com,Bookkeeping NC III,2,81,73
"GO TEC INTERNATIONAL BUSINESS SCHOOL, INC.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"Lot-16, Blk-5 Saint Paul St., Lopez Village, Sucat, Parañaque City",ANGELITA O. GATUS,(02) 73416854,gotecbrsr@gmail.com,Bookkeeping NC III,1,33,33
"HSL-BRAILLE COLLEGE, INC.",HEIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Taguig City,"26 C. Durian Extension, Pag-asa Avenue, Katuparan, Taguig City",HELEN S. LOSBAÑES,828-35689 / 09988419695,hslbraillecollegeinc@gmail.com,Bookkeeping NC III,1,47,37
"IETI College, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"No. 5 Molina St., Alabang, Muntinlupa City",MELVIE B. ACEDO,850-0937/850-0938,ietialabang@yahoo.com,Bookkeeping NC III,1,24,24
"Imus Computer College, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"2/F Aragon Bldg., Alabang-Zapote Rd., Almanza, Las Piñas City",Emmanuel P. Del Prado,800-4162,,Bookkeeping NC III,0,0,19
"Infotech Institute of Arts and Sciences, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Parañaque City,"CAP Bldg., Dr. A. Santos Ave., Sucat, Parañaque City",Alan F. Boribor,825-6531/470-7793,infotechcollege_2017@yahoo.com,Bookkeeping NC III,1,25,25
"LA SALLE GREENHILLS, INC.",HEIs,National Capital Region (NCR),PAMAMARISAN,Mandaluyong City,"343 Ortigas Ave., Mandaluyong City",Mrs. Maria Carmela A. Boncodin,721-2000 loc 249 / 721-2000 loc 121,alted.aac@lsgh.edu.ph,Bookkeeping NC III,2,71,13
"Lakewood School of Alabang, Inc.",TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"Timbol Bldg., No. 21 National Road, Putatan, Muntinlupa City",Julita M. Concepcion,550-2260/861-0397,techvoc.lakewood@gmail.com,Bookkeeping NC III,3,63,36
"LAURA VICUÑA FOUNDATION, INC.",TVIs,National Capital Region (NCR),Quezon City,Quezon City,"55 Felix Manalo St. Brgy. Pinagkaisahan, Cubao, Quezon City","Sr. Sheila Marie A. Ducot, FMA ",8654-4204,qc.lvfitvimis@gmail.com,Bookkeeping NC III,2,54,51
Lyceum of ALabang,TVIs,National Capital Region (NCR),MUNTIPARLASTAPAT,Muntinlupa City,"Km. 30 National Road, Tunasan, Muntinlupa City",Abigael D. Guda,403-8248,loatechdept@gmail.com,Bookkeeping NC III,1,8,8
"MANILA BUSINESS COLLEGE FOUNDATION, INC.",TVIs,National Capital Region (NCR),City of Manila,"Santa Cruz, City of Manila","1671 Alvarez St., Sta. Cruz, Manila",JAMESON W. CHUA,.,registrar@mbc.edu.ph,Bookkeeping NC III,1,27,25
