Job Sector,Total,Paid
"Electricity, Gas, Steam and Air Conditioning Supply",10740,10740
Other Service Activities,27214,26958
Transportation and Storage,132780,132537
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,370149,369107
Education,71120,70796
Administrative and Support Service Activities Sector,794753,793657
Financial and Insurance Activities,142517,142074
Information and Communication,134730,134631
Real Estate Activities,68360,68331
Human Health and Social Work Activities,70965,70490
Accommodation and Food Service Activities,121503,121308
"Arts, Entertainment and Recreation",12965,23100
"Professional, Scientific and Technical Activities",97171,97029
"Water Supply; Sewerage, Waste Management and Remediation",6997,6989
"Electricity, Gas, Steam and Air Conditioning Supply",10740,10740
Other Service Activities,27214,26958
Transportation and Storage,132780,132537
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,370149,369107
Education,71120,70796
Administrative and Support Service Activities Sector,794753,793657
Financial and Insurance Activities,142517,142074
Information and Communication,134730,134631
Real Estate Activities,68360,68331
Human Health and Social Work Activities,70965,70490
Accommodation and Food Service Activities,121503,121308
"Arts, Entertainment and Recreation",12965,23100
"Professional, Scientific and Technical Activities",97171,97029
"Water Supply; Sewerage, Waste Management and Remediation",6997,6989
"Electricity, Gas, Steam and Air Conditioning Supply",10740,10740
Other Service Activities,27214,26958
Transportation and Storage,132780,132537
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,370149,369107
Education,71120,70796
Administrative and Support Service Activities Sector,794753,793657
Financial and Insurance Activities,142517,142074
Information and Communication,134730,134631
Real Estate Activities,68360,68331
Human Health and Social Work Activities,70965,70490
Accommodation and Food Service Activities,121503,121308
"Arts, Entertainment and Recreation",12965,23100
"Professional, Scientific and Technical Activities",97171,97029
"Water Supply; Sewerage, Waste Management and Remediation",6997,6989
Construction,160781,160748
"Agriculture, Forestry, and Fishing",8520,8517
Mining and Quarrying,2574,2574
Manufacturing,188768,188213
