Job Subsector,Total Male,Total Female,Paid Male,Paid Female,Unpaid Male,Unpaid Female,Job Sector
"Electric power generation, transmission and distribution",9547,1193,9547,1193,0,0,"Electricity, Gas, Steam and Air Conditioning Supply"
Repair of computers and communications equipment,677,283,677,283,0,0,Other Service Activities
Repair of personal and household goods,2008,952,1980,952,29,0,Other Service Activities
"Personal services for wellness, except sports activities",4843,14800,4814,14800,28,0,Other Service Activities
Laundry services,452,1703,431,1582,20,122,Other Service Activities
Funeral and related activities,808,341,752,340,56,1,Other Service Activities
"Other personal service activities, n.e.c.",173,174,173,174,0,0,Other Service Activities
Transport via railways,3224,1495,3224,1495,0,0,Transportation and Storage
Transport via buses,6480,529,6326,529,154,0,Transportation and Storage
Other land transport,8104,1579,8099,1569,5,10,Transportation and Storage
Sea and coastal water transport,5610,1253,5600,1252,10,1,Transportation and Storage
Passenger air transport,5346,5303,5346,5303,0,0,Transportation and Storage
Warehousing and storage,2230,1010,2230,1002,0,8,Transportation and Storage
Support activities for transportation,38853,23607,38836,23595,16,12,Transportation and Storage
Courier activities,15413,5789,15404,5771,9,18,Transportation and Storage
Sale of motor vehicles,8088,5289,8051,5287,38,1,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Maintenance and repair of motor vehicles,4529,819,4437,773,92,46,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Sale of motor vehicle parts and accessories,10384,4688,10384,4688,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
"Sale, maintenance and repair of mo
torcycles and related parts and accessories",4520,2520,4520,2520,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Wholesale on a fee or contract basis,2657,2400,2657,2400,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Wholesale of agricultural raw materials and live animals,1328,902,1328,902,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
"Wholesale of food, beverages and tobacco",13369,6067,13368,6064,1,2,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Wholesale of household goods,30254,28739,30175,28660,79,79,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
"Wholesale of machinery, equipment and supplies",20254,11980,20229,11962,25,18,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Other specialized wholesale,25963,10051,25963,10051,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Non-specialized wholesale trade,196,80,196,80,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Retail sale in non-specialized stores,17309,24191,17308,24190,1,1,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
"Retail sale of food, beverages and tobacco in specialized stores",4909,5007,4909,5007,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Retail sale of automotive fuel in specialized stores,7547,3345,7547,3345,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Retail sale of information and communications equipment in specialized stores,6061,6008,6061,6008,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Retail sale of other household equipment in specialized stores,19060,13893,18809,13675,251,217,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Retail sale of cultural and recreation goods in specialized stores,2576,4305,2576,4305,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Retail sale of other goods in specialized stores,23418,32292,23307,32215,112,77,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
"Retail trade not in stores, stalls or markets",2327,2825,2327,2825,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Pre-primary/pre-school education ,558,2165,539,2096,19,68,Education
Primary/elementary education,1655,4164,1655,4164,0,0,Education
Secondary/high school education,6369,11672,6317,11621,52,51,Education
Higher education,17333,19725,17241,19685,91,40,Education
Other education services,3574,3716,3574,3716,0,0,Education
Educational support services,75,115,74,114,1,1,Education
Renting and leasing of personal and household goods,153,52,153,52,0,0,Administrative and Support Service Activities Sector
"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",1160,494,1160,485,0,9,Administrative and Support Service Activities Sector
"Leasing of intellectual property and 
similar products, except copyrighted works",30,29,30,29,0,0,Administrative and Support Service Activities Sector
Activities of employment placement agencies,49751,32379,49724,32310,27,69,Administrative and Support Service Activities Sector
Temporary employment agency activities,64333,38290,64333,38289,0,1,Administrative and Support Service Activities Sector
Other human resources provision,938,1740,938,1740,0,0,Administrative and Support Service Activities Sector
Travel agency and tour operator activities,1095,1907,1095,1907,0,0,Administrative and Support Service Activities Sector
Other reservation service and related activities,714,954,714,954,0,0,Administrative and Support Service Activities Sector
Private security activities,78301,16187,78029,16154,272,33,Administrative and Support Service Activities Sector
Security systems service activities,727,216,727,216,0,0,Administrative and Support Service Activities Sector
Cleaning activities,10456,5044,10456,5044,0,0,Administrative and Support Service Activities Sector
Landscape care and maintenance service activities,358,143,358,143,0,0,Administrative and Support Service Activities Sector
Office administrative and support activities,1790,1347,1790,1334,0,13,Administrative and Support Service Activities Sector
Call centers and other related activities,213483,258670,213226,258289,257,382,Administrative and Support Service Activities Sector
"Business support service activities, n.e.c.",5091,5248,5075,5231,16,17,Administrative and Support Service Activities Sector
Monetary intermediation,27079,55461,27079,55461,0,0,Financial and Insurance Activities
Activities of holding companies,3666,4183,3560,4058,106,124,Financial and Insurance Activities
"Trusts, funds and other financial vehicles",695,893,695,893,0,0,Financial and Insurance Activities
"Other financial service activities, except insurance and pension funding activities",9030,13626,9029,13626,2,0,Financial and Insurance Activities
Insurance,7041,10423,6971,10282,70,141,Financial and Insurance Activities
"Activities auxiliary to financial service, except insurance and pension funding",1452,1877,1452,1877,0,0,Financial and Insurance Activities
Activities auxiliary to insurance and pension funding ,2719,4300,2719,4300,0,0,Financial and Insurance Activities
"Publishing of books, periodicals and other publishing activities",2826,2175,2807,2164,19,11,Information and Communication
Software publishing,1086,847,1086,847,0,0,Information and Communication
"Motion picture, video and television programme activities",1580,1316,1579,1315,1,1,Information and Communication
Sound recording and music publishing activities,280,208,280,208,0,0,Information and Communication
Radio broadcasting,986,740,986,740,0,0,Information and Communication
Television programming and broadcasting activities,4556,2954,4549,2952,7,2,Information and Communication
Wired telecommunications activities,8348,3326,8348,3326,0,0,Information and Communication
"Wireless telecommunicatio
ns activities",8726,6981,8726,6981,0,0,Information and Communication
Satellite telecommunications activities,762,342,762,342,0,0,Information and Communication
Other telecommunications activities,4643,2174,4638,2166,5,7,Information and Communication
"Computer programming, consultancy and related activities",41977,30117,41948,30100,29,17,Information and Communication
"Data processing, hosting and related activities; web portals",3441,3856,3441,3856,0,0,Information and Communication
Other information service activities,224,261,224,261,0,0,Information and Communication
Real estate activities with own or leased property,30218,26746,30190,26745,28,1,Real Estate Activities
Real estate activities on a fee or contract basis,6068,5329,6068,5329,0,0,Real Estate Activities
Hospital activities,16374,22432,16368,22422,6,10,Human Health and Social Work Activities
Medical and dental practice activities,7773,16528,7700,16379,73,149,Human Health and Social Work Activities
Other human health activities,1029,1362,1029,1343,0,18,Human Health and Social Work Activities
Residential nursing care facilities,327,597,309,592,19,5,Human Health and Social Work Activities
"Other residential care activities, n.e.c.",208,661,194,591,14,69,Human Health and Social Work Activities
Social work activities without accommodation for the elderly and disabled,1553,2123,1524,2040,28,83,Human Health and Social Work Activities
Short term accommodation activities,12859,7184,12842,7184,17,0,Accommodation and Food Service Activities
Other accommodation,509,287,509,282,0,5,Accommodation and Food Service Activities
Restaurants and mobile food service activities,53642,37573,53600,37548,42,25,Accommodation and Food Service Activities
Event catering and other food service activities,826,414,800,388,26,26,Accommodation and Food Service Activities
