Region Description,Job Sector,Total,Paid,Regional Description
Philippines,"Electricity, Gas, Steam and Air Conditioning Supply",56456,56353,
National Capital Region (NCR),"Electricity, Gas, Steam and Air Conditioning Supply",10740,10740,
Cordillera Administrative Region (CAR),"Electricity, Gas, Steam and Air Conditioning Supply",1287,1243,
Region I (Ilocos Region),"Electricity, Gas, Steam and Air Conditioning Supply",3695,3695,
Region II (Cagayan Valley),"Electricity, Gas, Steam and Air Conditioning Supply",2145,2145,
Region III (Central Luzon),"Electricity, Gas, Steam and Air Conditioning Supply",6142,6102,
Region IV-A (CALABARZON),"Electricity, Gas, Steam and Air Conditioning Supply",4294,4290,
MIMAROPA Region,"Electricity, Gas, Steam and Air Conditioning Supply",2133,2127,
Region V (Bicol Region),"Electricity, Gas, Steam and Air Conditioning Supply",3478,3478,
Region VI (Western Visayas),"Electricity, Gas, Steam and Air Conditioning Supply",4390,4390,
Region VII (Central Visayas),"Electricity, Gas, Steam and Air Conditioning Supply",4069,4069,
Region VIII (Eastern Visayas),"Electricity, Gas, Steam and Air Conditioning Supply",2284,2284,
Region IX (Zamboanga Peninsula),"Electricity, Gas, Steam and Air Conditioning Supply",2031,2031,
Region X (Northern Mindanao),"Electricity, Gas, Steam and Air Conditioning Supply",4259,4259,
Region XI (Davao Region),"Electricity, Gas, Steam and Air Conditioning Supply",1873,1873,
Region XII (SOCCSKSARGEN),"Electricity, Gas, Steam and Air Conditioning Supply",1419,1419,
Region XIII (Caraga),"Electricity, Gas, Steam and Air Conditioning Supply",1487,1480,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Electricity, Gas, Steam and Air Conditioning Supply",730,730,
Philippines,Other Service Activities,68765,67391,
National Capital Region (NCR),Other Service Activities,27214,26958,
Cordillera Administrative Region (CAR),Other Service Activities,776,716,
Region I (Ilocos Region),Other Service Activities,2119,2034,
Region II (Cagayan Valley),Other Service Activities,885,862,
Region III (Central Luzon),Other Service Activities,5879,5784,
Region IV-A (CALABARZON),Other Service Activities,11358,11170,
MIMAROPA Region,Other Service Activities,473,471,
Region V (Bicol Region),Other Service Activities,1646,1565,
Region VI (Western Visayas),Other Service Activities,3729,3643,
Region VII (Central Visayas),Other Service Activities,5451,5383,
Region VIII (Eastern Visayas),Other Service Activities,1013,943,
Region IX (Zamboanga Peninsula),Other Service Activities,1099,1029,
Region X (Northern Mindanao),Other Service Activities,2001,1930,
Region XI (Davao Region),Other Service Activities,2759,2676,
Region XII (SOCCSKSARGEN),Other Service Activities,1364,1341,
Region XIII (Caraga),Other Service Activities,761,759,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Other Service Activities,236,128,
Philippines,Transportation and Storage,221493,220216,
National Capital Region (NCR),Transportation and Storage,132780,132537,
Cordillera Administrative Region (CAR),Transportation and Storage,145,139,
Region I (Ilocos Region),Transportation and Storage,2321,2251,
Region II (Cagayan Valley),Transportation and Storage,488,473,
Region III (Central Luzon),Transportation and Storage,10747,10726,
Region IV-A (CALABARZON),Transportation and Storage,18538,18348,
MIMAROPA Region,Transportation and Storage,945,924,
Region V (Bicol Region),Transportation and Storage,1982,1933,
Region VI (Western Visayas),Transportation and Storage,4782,4767,
Region VII (Central Visayas),Transportation and Storage,24237,23978,
Region VIII (Eastern Visayas),Transportation and Storage,1579,1535,
Region IX (Zamboanga Peninsula),Transportation and Storage,1507,1466,
Region X (Northern Mindanao),Transportation and Storage,8072,8034,
Region XI (Davao Region),Transportation and Storage,10303,10052,
Region XII (SOCCSKSARGEN),Transportation and Storage,2387,2382,
Region XIII (Caraga),Transportation and Storage,622,615,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Transportation and Storage,58,58,
Philippines,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,1211357,1193835,
National Capital Region (NCR),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,370149,369107,
Cordillera Administrative Region (CAR),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,15252,14869,
Region I (Ilocos Region),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,49164,48120,
Region II (Cagayan Valley),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,29295,28722,
Region III (Central Luzon),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,112444,110737,
Region IV-A (CALABARZON),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,155972,153140,
MIMAROPA Region,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,20069,19392,
Region V (Bicol Region),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,36054,35054,
Region VI (Western Visayas),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,79345,78793,
Region VII (Central Visayas),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,97914,97339,
Region VIII (Eastern Visayas),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,33263,31855,
Region IX (Zamboanga Peninsula),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,30257,27749,
Region X (Northern Mindanao),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,48760,47766,
Region XI (Davao Region),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,65509,64521,
Region XII (SOCCSKSARGEN),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,37837,37384,
Region XIII (Caraga),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,24750,24426,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,5323,4862,
Philippines,Education,298370,295131,
National Capital Region (NCR),Education,71120,70796,
Cordillera Administrative Region (CAR),Education,7615,7415,
Region I (Ilocos Region),Education,12214,12069,
Region II (Cagayan Valley),Education,8912,8845,
Region III (Central Luzon),Education,33139,32944,
Region IV-A (CALABARZON),Education,44585,43605,
MIMAROPA Region,Education,5181,4948,
Region V (Bicol Region),Education,13178,12993,
