2009 PSIC Code,Region Description,Job Subsector,Total Male,Total Female,Paid Male,Paid Female,Unpaid Male,Unpaid Female,Section Letter,Job Sector
,Philippines,,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Philippines,"Electric power generation, transmission and distribution",46407,10049,46330,10023,76,26,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D352,Philippines,Manufacture of gas; distribution of gaseous fuels through mains,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,National Capital Region (NCR),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,National Capital Region (NCR),"Electric power generation, transmission and distribution",9547,1193,9547,1193,0,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D352,National Capital Region (NCR),Manufacture of gas; distribution of gaseous fuels through mains,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Cordillera Administrative Region (CAR),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Cordillera Administrative Region (CAR),"Electric power generation, transmission and distribution",1009,278,966,277,44,1,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region I (Ilocos Region),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region I (Ilocos Region),"Electric power generation, transmission and distribution",3067,628,3067,628,0,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region II (Cagayan Valley),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region II (Cagayan Valley),"Electric power generation, transmission and distribution",1756,389,1756,389,0,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region III (Central Luzon),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region III (Central Luzon),"Electric power generation, transmission and distribution",4882,1260,4856,1246,26,14,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region IV-A (CALABARZON),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region IV-A (CALABARZON),"Electric power generation, transmission and distribution",3471,823,3467,823,4,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,MIMAROPA Region,,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,MIMAROPA Region,"Electric power generation, transmission and distribution",1736,397,1735,392,2,5,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region V (Bicol Region),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region V (Bicol Region),"Electric power generation, transmission and distribution",2790,688,2790,688,0,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region VI (Western Visayas),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region VI (Western Visayas),"Electric power generation, transmission and distribution",3399,991,3399,991,0,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region VII (Central Visayas),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region VII (Central Visayas),"Electric power generation, transmission and distribution",3383,686,3383,686,0,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region VIII (Eastern Visayas),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region VIII (Eastern Visayas),"Electric power generation, transmission and distribution",1862,422,1862,422,0,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
,Region IX (Zamboanga Peninsula),,,,,,,,D,"Electricity, Gas, Steam and Air Conditioning Supply"
D351,Region IX (Zamboanga Peninsula),"Electric power generation, transmission and distribution",1654,377,1654,377,0,0,D,"Electricity, Gas, Steam and Air Conditioning Supply"
