Region,2022,2023,2024
National Capital Region,6892127003,7572877704,8214308357
Cordillera Administrative Region,366057851,410079730,445523963
Ilocos Region,729469681,812639321,877318738
Cagayan Valley,455676928,510585340,564165184
Central Luzon,2367250960,2646494863,2892168168
CALABARZON,3140377483,3432901355,3723568503
MIMAROPA Region,453089929,471001419,509501315
Bicol Region,645781755,700554168,769941504
Western Visayas,691468130,736799283,797040482
Negros Island Region,643184669,737669188,806010142
Central Visayas,1206031058,1353541397,1491366894
Eastern Visayas,512826609,567729652,621904785
Zamboanga Peninsula,490181436,531513039,582571225
Northern Mindanao,1070791029,1182245125,1273436870
Davao Region,1096004125,1255297167,1376650495
SOCCSKSARGEN,564300355,623494550,675617875
Caraga,376843866,405668923,439146816
Bangsamoro Autonomous Region in Muslim Mindanao,326813470,362519548,386127983
Philippines,22028276338,24313563195,26446369495
