Region,2022,2023,2024
National Capital Region,505368,552212,595768
Cordillera Administrative Region,199043,220480,236844
Ilocos Region,137192,152435,164160
Cagayan Valley,121930,135690,148941
Central Luzon,187249,207517,224858
CALABARZON,189066,204215,218928
MIMAROPA Region,138276,142645,153138
Bicol Region,104562,112503,122613
Western Visayas,144535,153011,164440
Negros Island Region,134360,153516,167107
Central Visayas,180719,200827,219111
Eastern Visayas,111390,122447,133164
Zamboanga Peninsula,123940,133023,144309
Northern Mindanao,209228,228905,244359
Davao Region,204951,232475,252515
SOCCSKSARGEN,126663,138471,148466
Caraga,131683,140297,150290
Bangsamoro Autonomous Region in Muslim Mindanao,63860,69694,73030
Philippines,198561,217255,234277
