Identifier,Region,NTESDP Strategic Pillar Compenents,Output,Possible Funding Sources,List of Accomplishments,Accomplishments,PHYSICAL TARGETS,,,,,Accomplishments,FUNDING REQUIREMENTS,,,,
,,,,,,AO Oct. 2024,2025,2026,2027,2028,Total,AO Oct. 2024,2025,2026,2027,2028,Total
,,,,,,"Total: 
44,674","Total: 
158,617","Total: 
159,513","Total: 
104,353","Total: 
116,761","583,918","Total: 
853,526,653","Total: 
1,965,384,808","Total: 
1,952,726,829","Total: 
2,085,538,852","Total: 
2,379,400,564","9,113,652,705.74"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Assessors Certification|,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Assessors Certification,,,0,0,0,0,0,0,0,0,0,0,0,"25,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Assessors Certification|INDUSTRY PARTNERS,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Assessors Certification,INDUSTRY PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,0
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Assessors Certification|TESDA FUND,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Assessors Certification,TESDA FUND,,0,48,48,6,6,108,0,"60,000","60,000","15,000","15,000","130,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|CBC Development|OTHER GOVERNMENT OFFICES PARTNERS,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,CBC Development,OTHER GOVERNMENT OFFICES PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,"65,000,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|CBC Development|TESDA FUND,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,CBC Development,TESDA FUND,,0,0,2,2,2,6,0,"25,000","45,000","45,000","45,000","135,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Conduct of Trainer's Training|,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Conduct of Trainer's Training,,,0,0,0,0,0,0,0,0,0,0,0,0
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|CS Development|INDUSTRY PARTNERS,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,CS Development,INDUSTRY PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,0
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|CS Development|OTHER GOVERNMENT OFFICES PARTNERS,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,CS Development,OTHER GOVERNMENT OFFICES PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,0
