IDENTIFIER,REGION,SECTOR,SUBSECTOR,JOB REQUIREMENT,PROGRAM,TYPE,TASK + UC
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|With TR|PRODUCE SEEDS AND FERTILIZER,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,AGRI CROPS PRODUCER,AGRICULTURAL CROPS PRODUCTION NC II,With TR,PRODUCE SEEDS AND FERTILIZER
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|With TR|PREPARE, HANDLE, STUN, SLAUGHTER, INSPECT, PROCES, COLLECT, STORE, DISPOSE AND LABEL MEAT",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FOOD PROCESSING,ANIMAL BUTCHERING AND SLAUGHTERING,SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,With TR,"PREPARE, HANDLE, STUN, SLAUGHTER, INSPECT, PROCES, COLLECT, STORE, DISPOSE AND LABEL MEAT"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|With TR|COLLECT AND INCUBATE EGG IN HATCHERY,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FISHERY,BANGUS FRY PRODUCTION,AQUACULTURE (HATCHERY OPERATION) NC II,With TR,COLLECT AND INCUBATE EGG IN HATCHERY
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|New and Emerging|DESIGN, PREPARE, FABRICATE, INSTALL, MIX AND MAINTAIN FERRO CEMENT CONSTRUCTION",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK,NONE,New and Emerging,"DESIGN, PREPARE, FABRICATE, INSTALL, MIX AND MAINTAIN FERRO CEMENT CONSTRUCTION"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|With TR|BROOD, HOUSE, FEED, MANAGE CHICKEN LAYER",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,CHICKEN LAYER GROWER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,With TR,"BROOD, HOUSE, FEED, MANAGE CHICKEN LAYER"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|With TR|COLLECT AND HANDLE EGG,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,EGG PRODUCER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,With TR,COLLECT AND HANDLE EGG
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|With TR|OPEARATE FARM MACHINERIES,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MACHINERIES OPERATIONS,AGRICULTURAL MACHINERY OPERATION NC II,With TR,OPEARATE FARM MACHINERIES
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II|With TR|TRAIN IN FARM MACHINERY,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MANAGEMENT & TECHNOLOGICAL AWARENESS,AGRICULTURAL MACHINERY OPERATION NC II,With TR,TRAIN IN FARM MACHINERY
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|New and Emerging|UBI PRODUCTION AND PROCESSING",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING",NONE,New and Emerging,UBI PRODUCTION AND PROCESSING
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|With TR|OPERATE BACKHOE AND GRADER FOR DIGGING WATER RESERVOIR",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)",HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,With TR,OPERATE BACKHOE AND GRADER FOR DIGGING WATER RESERVOIR
