,Target Beneficiaries by Year and Training Modality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Total No. of Target Beneficiaries		,Year 2,,,,,,,,,,,,,Total No. of Target Beneficiaries		,Year 3,,,,,,,,,,,
,,,,,,,,,Institution Based,,,,Enterprise Based,,,,Community Based,,,,,,Institution Based,,,,Enterprise Based,,,,Community Based,,,
,,,,,,,,,E,G,A,C,E,G,A,C,E,G,A,C,,,E,G,A,C,E,G,A,C,E,G,A,C
,,,,,,Total:,,"658,763","578,137","520,462","295,034","274,224","16,765","15,096","7,735","7,189","63,861","57,461","36,790","34,195",,"570,512","512,490","462,232","239,857","223,899","9,697","8,719","4,788","4,478","48,325","43,584","27,189","25,375"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRI-TOURISM|FARM EXPERIENCE HOST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRI-TOURISM,FARM EXPERIENCE HOST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,273,264,238,0,0,0,0,0,0,9,8,0,0,,478,478,434,0,0,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|BAMBOO GROWER|BAMBOO PRODUCTION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,BAMBOO GROWER,BAMBOO PRODUCTION NC II,WITH TR,,500,500,450,360,335,0,0,0,0,0,0,0,0,,250,250,225,180,168,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|CACAO FARM TECHNCIAN|CACAO PRODUCTION LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,CACAO FARM TECHNCIAN,CACAO PRODUCTION LEVEL II,WITH CS,,492,492,443,0,0,0,0,0,0,0,0,0,0,,246,246,221,0,0,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|COCONUT FARM TECHNICIAN|COCONUT PRODUCTION LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,COCONUT FARM TECHNICIAN,COCONUT PRODUCTION LEVEL II,WITH CS,,492,492,443,0,0,0,0,0,0,0,0,0,0,,246,246,221,0,0,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNCIAN|ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNCIAN,ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II,WITH TR,,381,381,343,272,253,0,0,0,0,0,0,0,0,,605,605,547,440,410,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNICIAN FOR BEEKEEPING|BEEKEEPING LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNICIAN FOR BEEKEEPING,BEEKEEPING LEVEL II,WITH CS,,131,131,118,0,0,0,0,0,0,0,0,0,0,,230,230,207,0,0,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|SMART IRRIGATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,SMART IRRIGATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,20,20,18,0,0,0,0,0,0,0,0,0,0,,35,35,32,0,0,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE FORESTRY AND FISHERY,SMART FARMING EQUIPMENT OPERATOR,AGRICULTURAL DRONE OPERATION LEVEL II,WITH TR,,358,0,0,0,0,358,322,258,240,0,0,0,0,,179,0,0,0,0,179,161,129,121,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE,REPAIR OF FARM MECHANICAL EQUIPMENT,NONE,NEW AND EMERGING,,853,0,0,0,0,853,768,0,0,0,0,0,0,,426,0,0,0,0,426,383,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,CHICKEN LAYER GROWER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,EGG PRODUCER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,RUMINANTS GROWER AND PRODUCER,ANIMAL PRODUCTION (RUMINANTS) NC II,WITH TR,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|DAIRY RAISER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,DAIRY RAISER,ANIMAL PRODUCTION (RUMINANTS) NC II,WITH TR,,741,496,447,356,332,0,0,0,0,245,221,177,165,,687,563,510,410,381,0,0,0,0,124,112,90,84
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|HATCHERY TECHNICIAN|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,HATCHERY TECHNICIAN,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,,"1,080",834,750,599,557,0,0,0,0,246,221,177,165,,"1,076",953,860,690,643,0,0,0,0,123,111,89,83
