Profile,,,,,,,,,,1,District 1,,,,,,,,,,2,District 2,,,,,,,,,,3,District 3,,,,,,,,,,4,Select a District from the Dropdown Option,,,,,,,,,,5,Select a District from the Dropdown Option,,,,,,,,,,6,Select a District from the Dropdown Option,,,,,,,,,,7,Select a District from the Dropdown Option,,,,,,,,,,8,Select a District from the Dropdown Option,,,,,,,,,,9,Select a District from the Dropdown Option,,,,,,,,,,10,Select a District from the Dropdown Option,,,,,,,,,,11,Select a District from the Dropdown Option,,,,,,,,,
Region,REGION_VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province,BOHOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of  Districts,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,"Subsector/
Value Chain",Job Requirement,Tasks,Program,"Type of Program
(TR, CS, New and Emerging, Diploma Programs)","Provincial Rank
(Averaged Across Districts)",HIGH,MEDIUM,LOW,,District 1,"Jobs Immediately Needed
(for the following years)",,"Assess the Requirements of Needed
Workers in Filling-up the Jobs Requirements",,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,District 2,"Jobs/Skills Immediately Needed
(for the following years)",,"Assess the Requirements of Needed
Workers in Fillin-up the Skills Requirements",,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,District 3,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier,,,Jobs/Skills Immediately Needed,,Assess the Requirements of Needed Workers in Fillin-up the Skills Requirements,,,Final Score,"Priority Ranking
(High, Medium, Low)",Averaged,Identifier
,,,,,,,,,,,"Priority
(Y/N)",Next 1-3 Years,"Next 3-5
Years","Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,,,"Priority
(Y/N)",In the next 1-3 years,In the next 3-5 years,"Low
(below 100)","Medium
(100-499)","High
(above 500)",(U + S) / 2,,,
AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,AGRI CROPS PRODUCER,PRODUCE SEEDS AND FERTILIZER,AGRICULTURAL CROPS PRODUCTION NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER||AGRICULTURAL CROPS PRODUCTION NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER||AGRICULTURAL CROPS PRODUCTION NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER||AGRICULTURAL CROPS PRODUCTION NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
AGRICULTURE FORESTRY AND FISHERY,FOOD PROCESSING,ANIMAL BUTCHERING AND SLAUGHTERING,"PREPARE, HANDLE, STUN, SLAUGHTER, INSPECT, PROCES, COLLECT, STORE, DISPOSE AND LABEL MEAT",SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1.5,HIGH,FALSE,REGION_VII|BOHOL|District 1|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING||SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1.5,HIGH,FALSE,REGION_VII|BOHOL|District 3|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING||SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
AGRICULTURE FORESTRY AND FISHERY,FISHERY,BANGUS FRY PRODUCTION ,COLLECT AND INCUBATE EGG IN HATCHERY,AQUACULTURE (HATCHERY OPERATION) NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION ||AQUACULTURE (HATCHERY OPERATION) NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION ||AQUACULTURE (HATCHERY OPERATION) NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION ||AQUACULTURE (HATCHERY OPERATION) NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE FORESTRY AND FISHERY,BEEKEEPING,MANAGE BEEHIVE,BEEKEEPING LEVEL II,With TR,MEDIUM,0.00%,100.00%,0.00%,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,MEDIUM,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,MEDIUM,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,MEDIUM,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK ,"DESIGN, PREPARE, FABRICATE, INSTALL, MIX AND MAINTAIN FERRO CEMENT CONSTRUCTION",NONE,New and Emerging,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK ||NONE||New and Emerging|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK ||NONE||New and Emerging|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK ||NONE||New and Emerging|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,CACAO PROCESSING,PROCESS CACAO PRODUCTS AND BY PRODUCTS,CACAO PRODUCTION LEVEL II,With TR,MEDIUM,0.00%,100.00%,0.00%,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,MEDIUM,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,MEDIUM,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,CHICKEN LAYER GROWER,"BROOD, HOUSE, FEED, MANAGE CHICKEN LAYER",ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER||ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER||ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER||ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,EGG PRODUCER,COLLECT AND HANDLE EGG,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER||ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER||ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER||ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MACHINERIES OPERATIONS,OPEARATE FARM MACHINERIES,AGRICULTURAL MACHINERY OPERATION NC II,With TR,HIGH,100.00%,0.00%,0.00%,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 1|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS||AGRICULTURAL MACHINERY OPERATION NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 2|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS||AGRICULTURAL MACHINERY OPERATION NC II||With TR|HIGH,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,HIGH,FALSE,REGION_VII|BOHOL|District 3|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS||AGRICULTURAL MACHINERY OPERATION NC II||With TR|HIGH,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
