,,,,,,,,,,,,,,
"Importring 1.2
(Identifier from Pooling)
[Region|Province|Sector|Subsector|Job|Program|P.Rank]",Region,Province,Sector,Subsector,Job Requirements,Programs,"Program
Type","Priority
Ranking
(Province)",Tasks + UC,,"For Supermarket
(Dropdown Selection)",,"Exporting 1.1
(Sector|Subsector|Jobs Requirements|Program","Exporting 1.2
(Region|Province|Sector|Subsector|Job Requirements|Program"
,,,Sector,Subsector,Job Requirements,Program,Type,P. Rank,,,,,,
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|With TR|HIGH|PRODUCE SEEDS AND FERTILIZER,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,AGRI CROPS PRODUCER,AGRICULTURAL CROPS PRODUCTION NC II,With TR,HIGH,PRODUCE SEEDS AND FERTILIZER,,AGRICULTURAL CROPS PRODUCTION NC II,,AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|With TR|HIGH|PRODUCE SEEDS AND FERTILIZER
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|With TR|HIGH|PREPARE, HANDLE, STUN, SLAUGHTER, INSPECT, PROCES, COLLECT, STORE, DISPOSE AND LABEL MEAT",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FOOD PROCESSING,ANIMAL BUTCHERING AND SLAUGHTERING,SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,With TR,HIGH,"PREPARE, HANDLE, STUN, SLAUGHTER, INSPECT, PROCES, COLLECT, STORE, DISPOSE AND LABEL MEAT",,SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,,AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|With TR|HIGH|PREPARE, HANDLE, STUN, SLAUGHTER, INSPECT, PROCES, COLLECT, STORE, DISPOSE AND LABEL MEAT"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|With TR|HIGH|COLLECT AND INCUBATE EGG IN HATCHERY,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FISHERY,BANGUS FRY PRODUCTION,AQUACULTURE (HATCHERY OPERATION) NC II,With TR,HIGH,COLLECT AND INCUBATE EGG IN HATCHERY,,AQUACULTURE (HATCHERY OPERATION) NC II,,AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|With TR|HIGH|COLLECT AND INCUBATE EGG IN HATCHERY
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|New and Emerging|HIGH|DESIGN, PREPARE, FABRICATE, INSTALL, MIX AND MAINTAIN FERRO CEMENT CONSTRUCTION",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK,NONE,New and Emerging,HIGH,"DESIGN, PREPARE, FABRICATE, INSTALL, MIX AND MAINTAIN FERRO CEMENT CONSTRUCTION",,NONE,,AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE,"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|New and Emerging|HIGH|DESIGN, PREPARE, FABRICATE, INSTALL, MIX AND MAINTAIN FERRO CEMENT CONSTRUCTION"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|With TR|HIGH|BROOD, HOUSE, FEED, MANAGE CHICKEN LAYER",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,CHICKEN LAYER GROWER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,With TR,HIGH,"BROOD, HOUSE, FEED, MANAGE CHICKEN LAYER",,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,,AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|With TR|HIGH|BROOD, HOUSE, FEED, MANAGE CHICKEN LAYER"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|With TR|HIGH|COLLECT AND HANDLE EGG,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,EGG PRODUCER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,With TR,HIGH,COLLECT AND HANDLE EGG,,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,,AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|With TR|HIGH|COLLECT AND HANDLE EGG
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|With TR|HIGH|OPEARATE FARM MACHINERIES,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MACHINERIES OPERATIONS,AGRICULTURAL MACHINERY OPERATION NC II,With TR,HIGH,OPEARATE FARM MACHINERIES,,AGRICULTURAL MACHINERY OPERATION NC II,,AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|With TR|HIGH|OPEARATE FARM MACHINERIES
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II|With TR|MEDIUM|TRAIN IN FARM MACHINERY,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MANAGEMENT & TECHNOLOGICAL AWARENESS,AGRICULTURAL MACHINERY OPERATION NC II,With TR,MEDIUM,TRAIN IN FARM MACHINERY,,AGRICULTURAL MACHINERY OPERATION NC II,,AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II|With TR|MEDIUM|TRAIN IN FARM MACHINERY
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|New and Emerging|HIGH|UBI PRODUCTION AND PROCESSING",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING",NONE,New and Emerging,HIGH,UBI PRODUCTION AND PROCESSING,,NONE,,"AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|New and Emerging|HIGH|UBI PRODUCTION AND PROCESSING"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|With TR|HIGH|OPERATE BACKHOE AND GRADER FOR DIGGING WATER RESERVOIR",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)",HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,With TR,HIGH,OPERATE BACKHOE AND GRADER FOR DIGGING WATER RESERVOIR,,HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,,"AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|With TR|HIGH|OPERATE BACKHOE AND GRADER FOR DIGGING WATER RESERVOIR"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|New and Emerging|HIGH|PRODUCE ORGANIC VEGETABLE SEEDS,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH /ORGANIC QUALITY SEEDS GROWER,NONE,New and Emerging,HIGH,PRODUCE ORGANIC VEGETABLE SEEDS,,NONE,,AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|New and Emerging|HIGH|PRODUCE ORGANIC VEGETABLE SEEDS
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|New and Emerging|MEDIUM|RICE PRODUCTION SEED CERTIFICATION AND FARM MECHANIZATION,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH QUALITY INBREED RICE GROWER,NONE,New and Emerging,MEDIUM,RICE PRODUCTION SEED CERTIFICATION AND FARM MECHANIZATION,,NONE,,AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|New and Emerging|MEDIUM|RICE PRODUCTION SEED CERTIFICATION AND FARM MECHANIZATION
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|New and Emerging|MEDIUM|IDENTIFY COMPATIBLE CROPS WITH COCONUT,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,INTERCROPPING TECHNICIAN,NONE,New and Emerging,MEDIUM,IDENTIFY COMPATIBLE CROPS WITH COCONUT,,NONE,,AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|New and Emerging|MEDIUM|IDENTIFY COMPATIBLE CROPS WITH COCONUT
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|With CS|HIGH|PRODUCE COCONUT and PROCESS COCONUT PRDUCTS AND BY PRODUCTS",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)",COCONUT PRODUCTION LEVEL II,With CS,HIGH,PRODUCE COCONUT and PROCESS COCONUT PRDUCTS AND BY PRODUCTS,,COCONUT PRODUCTION LEVEL II,,"AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|With CS|HIGH|PRODUCE COCONUT and PROCESS COCONUT PRDUCTS AND BY PRODUCTS"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|With TR|HIGH|PROPAGATE, PLANT CARE, MAINTAIN, LANDSCAPE AND MANAGE ORNAMENTAL PLANTS",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,HORTICULTURE,"LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE",LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II,With TR,HIGH,"PROPAGATE, PLANT CARE, MAINTAIN, LANDSCAPE AND MANAGE ORNAMENTAL PLANTS",,LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II,,"AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|With TR|HIGH|PROPAGATE, PLANT CARE, MAINTAIN, LANDSCAPE AND MANAGE ORNAMENTAL PLANTS"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II|With TR|HIGH|PRODUCE ORGANIC FERTILIZER, SEEDS, RICE",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,MAKE ORGANIC FERTILIZER & CONCOCTION,ORGANIC AGRICULTURE PRODUCTION NC II,With TR,HIGH,"PRODUCE ORGANIC FERTILIZER, SEEDS, RICE",,ORGANIC AGRICULTURE PRODUCTION NC II,,AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II,"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II|With TR|HIGH|PRODUCE ORGANIC FERTILIZER, SEEDS, RICE"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|New and Emerging|HIGH|PRODUCE AND PROCESS MEDICINAL PLANTS",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)",NONE,New and Emerging,HIGH,PRODUCE AND PROCESS MEDICINAL PLANTS,,NONE,,"AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE","REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|New and Emerging|HIGH|PRODUCE AND PROCESS MEDICINAL PLANTS"
