,,,,,,,,,,,,,,,,
"Importing 1.1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Subsector,Jobs Requirements,Program,"Program
Type","Priority
Ranking
(Province)",,"Supply Gap
(Baseline - Available Supply)","RP Infra Gap
(Requirement - Existing)","Trainers Infra Gap
(Requirement - Existing)","AC Infra Gap
(Requirement - Existing)","CA Infra Gap
(Requirement - Existing)",Remarks,
,,,,,,,,,,,,,,,"Subject
(multiple selection is applicable)",Remarks
,,,Sector,Subsector,Jobs Requirements,Program,Type,Ranking,,"Total: 161,478","Total: 1,497",Total: 696,Total: 518,Total: 52,,
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE FORESTRY AND FISHERY,SMART FARMING EQUIPMENT OPERATOR,AGRICULTURAL DRONE OPERATION LEVEL II,WITH TR,HIGH,,715,8,5,4,1,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE,REPAIR OF FARM MECHANICAL EQUIPMENT,NONE,NEW AND EMERGING,HIGH,,"1,704",18,10,0,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,CHICKEN LAYER GROWER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,HIGH,,"1,704",18,9,9,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,EGG PRODUCER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,HIGH,,"1,704",17,9,9,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,RUMINANTS GROWER AND PRODUCER,ANIMAL PRODUCTION (RUMINANTS) NC II,WITH TR,HIGH,,"1,704",18,9,9,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,AGRI CROPS PRODUCER,AGRICULTURAL CROPS PRODUCTION NC II,WITH TR,HIGH,,"1,704",18,10,9,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MACHINERIES OPERATIONS,AGRICULTURAL MACHINERY OPERATION NC II,WITH TR,HIGH,,"1,704",17,8,9,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MANAGEMENT & TECHNOLOGICAL AWARENESS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MANAGEMENT & TECHNOLOGICAL AWARENESS,AGRICULTURAL MACHINERY OPERATION NC II,WITH TR,MEDIUM,,742,8,2,4,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MECHANICS & OPERATORS|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MECHANICS & OPERATORS,NONE,NEW AND EMERGING,HIGH,,"1,280",13,10,0,0,#REF!,#REF!
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|NEW AND EMERGING|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING",NONE,NEW AND EMERGING,HIGH,,"1,704",18,10,0,0,#REF!,#REF!
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|WITH TR|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"HEAVY EQUIPMENT OPERATOR (BACKHOE, GRADER)",HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,WITH TR,HIGH,,"1,704",18,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH /ORGANIC QUALITY SEEDS GROWER,NONE,NEW AND EMERGING,HIGH,,"1,704",18,10,0,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|NEW AND EMERGING|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH QUALITY INBREED RICE GROWER,NONE,NEW AND EMERGING,MEDIUM,,187,2,2,0,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|NEW AND EMERGING|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,INTERCROPPING TECHNICIAN,NONE,NEW AND EMERGING,MEDIUM,,187,0,2,0,0,#REF!,#REF!
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|WITH CS|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)",COCONUT PRODUCTION LEVEL II,WITH CS,HIGH,,"1,704",11,10,0,0,#REF!,#REF!
