Training Providers and Assessment Centers,,,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,,,,,Year 3,,,,,,,
,,,,,,,,,,Training Modality,,,Total Modality:,Total Targeted Number of:,,,,,Training Modality,,,Total Modality:,Total Targeted Number of:,,,
,,,,,,,,,,IBT,CBT,EBT,,RP's,AC's,APACC Accreditation,"STAR
Award",,IBT,CBT,EBT,,RP's,AC's,APACC Accreditation,"STAR
Award"
,,,,,,,,Total:,,368,68,139,575,575,203,,8,,125,141,73,339,339,139,,7
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE FORESTRY AND FISHERY,SMART FARMING EQUIPMENT OPERATOR,AGRICULTURAL DRONE OPERATION LEVEL II,WITH TR,HIGH,,0,0,3,3,3,1,0,0,,0,0,2,2,2,0,0,0
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE,REPAIR OF FARM MECHANICAL EQUIPMENT,NONE,NEW AND EMERGING,HIGH,,0,0,8,8,8,3,0,0,,0,0,4,4,4,1,0,0
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,CHICKEN LAYER GROWER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,HIGH,,0,0,8,8,8,4,0,0,,0,0,4,4,4,1,0,0
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,EGG PRODUCER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,HIGH,,0,0,8,8,8,4,0,0,,0,0,4,4,4,1,0,0
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,RUMINANTS GROWER AND PRODUCER,ANIMAL PRODUCTION (RUMINANTS) NC II,WITH TR,HIGH,,0,0,8,8,8,4,0,0,,0,0,4,4,4,2,0,0
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|AGRI CROPS PRODUCER|AGRICULTURAL CROPS PRODUCTION NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,AGRI CROPS PRODUCER,AGRICULTURAL CROPS PRODUCTION NC II,WITH TR,HIGH,,0,0,8,8,8,4,0,0,,0,0,4,4,4,2,0,0
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM MACHINERIES OPERATIONS|AGRICULTURAL MACHINERY OPERATION NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM MACHINERIES OPERATIONS,AGRICULTURAL MACHINERY OPERATION NC II,WITH TR,HIGH,,0,0,8,8,8,4,0,0,,0,0,4,4,4,2,0,0
