,CS for Development ,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,Year 3,
,,,,,,,,,,Partners/Experts,Budget,Partners/Experts,Budget
,Region,Province,Sector,Sub-sector,Job Requirement,Programs,Type of Programs,Priority Ranking,,No of Partners: 1,"Total: 525,000",No of Partners: 1,"Total: 700,000"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK,NONE,NEW AND EMERGING,HIGH,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|NEW AND EMERGING|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING",NONE,NEW AND EMERGING,HIGH,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH /ORGANIC QUALITY SEEDS GROWER,NONE,NEW AND EMERGING,HIGH,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|NEW AND EMERGING|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH QUALITY INBREED RICE GROWER,NONE,NEW AND EMERGING,MEDIUM,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|NEW AND EMERGING|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,INTERCROPPING TECHNICIAN,NONE,NEW AND EMERGING,MEDIUM,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|NEW AND EMERGING|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)",NONE,NEW AND EMERGING,HIGH,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
