,Target Beneficiaries by Year and Training Modality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Total No. of Target Beneficiaries		,Year 2,,,,,,,,,,,,,Total No. of Target Beneficiaries		,Year 3,,,,,,,,,,,,,"Exporting 2.1
(Identifier for Consolidation)
[Region|Sector|Sub|Job|Program|Type|Rank]","Exporting 2.2
(Identifier for Consolidation)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]"
,,,,,,,,,,,Institution Based,,,,Enterprise Based,,,,Community Based,,,,,,Institution Based,,,,Enterprise Based,,,,Community Based,,,,,,
,,,,,,,,,,,E,G,A,C,E,G,A,C,E,G,A,C,,,E,G,A,C,E,G,A,C,E,G,A,C,,,
,Region,Province,Sector,Subsector,Job Requirement,Programs,Type of Programs,Priority Ranking,,"Total: 75,303","50,685","45,650","33,744","31,384","16,765","15,096","7,735","7,189","7,853","7,057","4,994","4,646",,"Total: 43,872","17,097","15,403","11,287","10,550","9,697","8,719","4,788","4,478","17,078","15,375","11,181","10,432",,,
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE FORESTRY AND FISHERY,SMART FARMING EQUIPMENT OPERATOR,AGRICULTURAL DRONE OPERATION LEVEL II,WITH TR,HIGH,,358,0,0,0,0,358,322,258,240,0,0,0,0,,179,0,0,0,0,179,161,129,121,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|WITH TR|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE,REPAIR OF FARM MECHANICAL EQUIPMENT,NONE,NEW AND EMERGING,HIGH,,853,0,0,0,0,853,768,0,0,0,0,0,0,,426,0,0,0,0,426,383,0,0,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|NEW AND EMERGING|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE|REPAIR OF FARM MECHANICAL EQUIPMENT|NONE|NEW AND EMERGING|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,CHICKEN LAYER GROWER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,HIGH,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|CHICKEN LAYER GROWER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,EGG PRODUCER,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,HIGH,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|EGG PRODUCER|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|HIGH
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION,RUMINANTS GROWER AND PRODUCER,ANIMAL PRODUCTION (RUMINANTS) NC II,WITH TR,HIGH,,853,0,0,0,0,853,768,615,572,0,0,0,0,,426,0,0,0,0,426,383,307,287,0,0,0,0,,REGION_VII|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR|HIGH,REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|ANIMAL HUSBANDRY AND LIVESTOCK PRODUCTION|RUMINANTS GROWER AND PRODUCER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR|HIGH
