Qualification,Best_Expected_Total,Base_Expected_Total,Worst_Expected_Total,Graduates,Best_Supply_Gap,Base_Supply_Gap,Worst_Supply_Gap,Sector
MASONRY NC I,600.0,300.0,180.0,74.0,526.0,226.0,106.0,CONSTRUCTION
PV SYSTEMS INSTALLATION NC II,330.0,165.0,99.0,0.0,330.0,165.0,99.0,CONSTRUCTION
HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,300.0,150.0,90.0,0.0,300.0,150.0,90.0,CONSTRUCTION
ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,300.0,150.0,90.0,0.0,300.0,150.0,90.0,MANUFACTURING
PIPEFITTING (METALLIC) NC II,300.0,150.0,90.0,0.0,300.0,150.0,90.0,MANUFACTURING
PLUMBING NC II,300.0,150.0,90.0,0.0,300.0,150.0,90.0,CONSTRUCTION
SYSTEM FORMWORKS INSTALLATION NC II,300.0,150.0,90.0,0.0,300.0,150.0,90.0,CONSTRUCTION
HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II,300.0,150.0,90.0,0.0,300.0,150.0,90.0,CONSTRUCTION
ELECTRICAL INSTALLATION AND MAINTENANCE NC II,540.0,270.0,162.0,259.0,281.0,11.0,-97.0,CONSTRUCTION
REINFORCING STEEL WORKS NC II,300.0,150.0,90.0,20.0,280.0,130.0,70.0,CONSTRUCTION
CARPENTRY NC II,300.0,150.0,90.0,21.0,279.0,129.0,69.0,CONSTRUCTION
TILE SETTING NC II,300.0,150.0,90.0,40.0,260.0,110.0,50.0,CONSTRUCTION
ELECTRICAL INSTALLATION AND MAINTENANCE NC IV,210.0,105.0,63.0,0.0,210.0,105.0,63.0,CONSTRUCTION
ELECTRICAL INSTALLATION AND MAINTENANCE NC III,300.0,150.0,90.0,95.0,205.0,55.0,-5.0,CONSTRUCTION
PLUMBING NC II,90.0,45.0,30.0,0.0,90.0,45.0,30.0,CONSTRUCTION
BARTENDING NC II,90.0,45.0,30.0,18.0,72.0,27.0,12.0,HOSPITALITY
HOUSEKEEPING NC II,120.0,60.0,36.0,80.0,40.0,-20.0,-44.0,HOSPITALITY
FRONT OFFICE SERVICES NC II,30.0,15.0,9.0,0.0,30.0,15.0,9.0,HOSPITALITY
GAS METAL ARC WELDING (GMAW) NC II,30.0,15.0,9.0,0.0,30.0,15.0,9.0,MANUFACTURING
FLUX-CORED ARC WELDING (FCAW) NC II,30.0,15.0,9.0,0.0,30.0,15.0,9.0,MANUFACTURING
TOUR GUIDING SERVICES NC II,30.0,15.0,9.0,0.0,30.0,15.0,9.0,HOSPITALITY
FOOD AND BEVERAGE SERVICES NC III,30.0,15.0,9.0,21.0,9.0,-6.0,-12.0,HOSPITALITY
TRAVEL SERVICES NC II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOSPITALITY
TOURISM PROMOTION SERVICES NC II,30.0,15.0,9.0,38.0,-8.0,-23.0,-29.0,HOSPITALITY
SHIELDED METAL ARC WELDING (SMAW) NC III,0.0,0.0,0.0,34.0,-34.0,-34.0,-34.0,MANUFACTURING
MASONRY NC II,0.0,0.0,0.0,49.0,-49.0,-49.0,-49.0,CONSTRUCTION
FOOD AND BEVERAGE SERVICES NC II,30.0,15.0,9.0,144.0,-114.0,-129.0,-135.0,HOSPITALITY
SHIELDED METAL ARC WELDING (SMAW) NC II,0.0,0.0,0.0,119.0,-119.0,-119.0,-119.0,MANUFACTURING
COOKERY NC II,240.0,120.0,78.0,458.0,-218.0,-338.0,-380.0,HOSPITALITY
BREAD AND PASTRY PRODUCTION NC II,90.0,45.0,30.0,350.0,-260.0,-305.0,-320.0,HOSPITALITY
EVENTS MANAGEMENT SERVICES NC III,0.0,0.0,0.0,267.0,-267.0,-267.0,-267.0,HOSPITALITY
SHIELDED METAL ARC WELDING (SMAW) NC I,0.0,0.0,0.0,311.0,-311.0,-311.0,-311.0,MANUFACTURING
