,Region,Province,District,Sector,Subsector,Job Requirement,Program,Type of Program,Demand,Worst Demand,Base Demand,Best Demand,Program_upper
28,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION," _x000D_
 	_x000D_
CARBON STEEL PLATE/ PIPE WELDER ",MANUAL METAL ARC WELDING (MMAW) NC I,With TR,MEDIUM,10,15,30,MANUAL METAL ARC WELDING (MMAW) NC I
29,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION," _x000D_
 	_x000D_
CARBON STEEL PLATE/ PIPE WELDER ",MANUAL METAL ARC WELDING (MMAW) NC III,With TR,MEDIUM,10,15,30,MANUAL METAL ARC WELDING (MMAW) NC III
30,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION," _x000D_
 	_x000D_
CARBON STEEL PLATE/ PIPE WELDER ",MANUAL METAL ARC WELDING (MMAW) NC IV,With TR,MEDIUM,10,15,30,MANUAL METAL ARC WELDING (MMAW) NC IV
31,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION," _x000D_
 	_x000D_
GAS (OXY-ACETYLENE) WELDER",GAS WELDING NC II,With TR,HIGH,30,50,100,GAS WELDING NC II
32,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION," _x000D_
 	_x000D_
TRUCK MOUNTED CRANE OPERATOR",HEAVY EQUIPMENT OPERATION (TRUCK MOUNTED CRANE) NC III,With TR,LOW,3,5,150,HEAVY EQUIPMENT OPERATION (TRUCK MOUNTED CRANE) NC III
33,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,AIRCON INSTALLER (COMMERCIAL/ INDUSTRIAL),RAC SERVICING (DOMRAC) NC II,With TR,HIGH,30,50,100,RAC SERVICING (DOMRAC) NC II
34,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,AIRCON INSTALLER (COMMERCIAL/ INDUSTRIAL),RAC SERVICING (DOMRAC) NC II,With TR,HIGH,30,50,100,RAC SERVICING (DOMRAC) NC II
35,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,"VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
",AIRLESS PAINTER,CONSTRUCTION PAINTING NC II,With TR,HIGH,30,50,100,CONSTRUCTION PAINTING NC II
36,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,"VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
",AIRLESS PAINTER,CONSTRUCTION PAINTING NC II,With TR,HIGH,30,50,100,CONSTRUCTION PAINTING NC II
37,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,BIM MODELER,BASIC 3D BUILDING INFORMATION MODELLING LEVEL III,With CS,LOW,3,5,150,BASIC 3D BUILDING INFORMATION MODELLING LEVEL III
38,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,CARPENTRY (FINISHING & WOODWORKING),CARPENTRY NC II,With TR,MEDIUM,10,15,30,CARPENTRY NC II
39,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,CARPENTRY (FINISHING & WOODWORKING),CARPENTRY NC II,With TR,MEDIUM,10,15,30,CARPENTRY NC II
40,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS,CARPENTRY (FINISHING),CARPENTRY NC II,With TR,MEDIUM,10,15,30,CARPENTRY NC II
41,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS,CARPENTRY (ROUGH),CARPENTRY NC II,With TR,MEDIUM,10,15,30,CARPENTRY NC II
42,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CIVIL ENGINEERING ASSOCIATE,DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY,Diploma Programs,LOW,3,5,150,DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY
43,REGION_VII,CEBU,"Cebu City, District 1",CONSTRUCTION,EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS       ,CONCRETE PUMP OPERATOR,NO CORRESPONDING TVET PROGRAM,New and Emerging,MEDIUM,10,15,30,NO CORRESPONDING TVET PROGRAM
