,Provider Name,Class Name,Region Name,Province Name,City Name,Address,focal,phone,e mail,Qualification,Trainer Count,Enrolled,Graduates
806,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Barista NC II,1,30,0
807,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"DG3 Corporation Building, Annex 2, 72 N. Escario Street, Capitol Site, Cebu City Philippines",ANA LIZA M. AUGUSTO,032 328 9153,aaahospitalitytaci@gmail.com,Barista NC II,0,0,8
893,"UNIVERSITY OF SOUTHERN PHILIPPINES FOUNDATION, INC.",HEIs,Region VII - Central Visayas,Cebu,Cebu City,"Salinas Drive, Lahug, Cebu City",Atty. Paulino A. Yabao,(032) 414-8773,japerez@uspf.edu.ph,Barista NC II,2,71,71
932,GOLDEN RESOURCE ACADEMY FOR CAREER ENHANCEMENT INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"Acacia St., cor. Archbishop Reyes Avenue, Kamputhaw, Cebu City",AARON JEREMY QUE,(032) 233-8660 loc. 7819,goldenresourceacademy.ce@gmail.com,Bartending NC II,1,32,22
950,"MARIBAGO SKILLS DEVELOPMENT TRAINING AND ASSESSMENT CENTER, INC. ",TVIs,Region VII - Central Visayas,Cebu,Lapu-Lapu City (Opon),"Datag, Maribago, Lapu-Lapu City, Cebu ",JEMARIE JANE A. VILLAFUERTE,583-8893,msdtac@yahoo.com.ph,Bartending NC II,3,135,76
1269,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Bread and Pastry Production NC II,6,437,426
1270,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"DG3 Corporation Building, Annex 2, 72 N. Escario Street, Capitol Site, Cebu City Philippines",ANA LIZA M. AUGUSTO,032 328 9153,aaahospitalitytaci@gmail.com,Bread and Pastry Production NC II,1,26,26
1271,3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Bread and Pastry Production NC II,2,30,80
1351,"BENEDICTO COLLEGE, INC.",HEIs,Region VII - Central Visayas,Cebu,Mandaue City,"A.S. Fortuna St., Mandaue City, Cebu",ENGR. KENNETH O. HUAN,"344-9320, 345-6873, 345-5790",bctechvoc@gmail.com,Bread and Pastry Production NC II,2,86,130
1397,CEBU MARY IMMACULATE COLLEGE,HEIs,Region VII - Central Visayas,Cebu,Cebu City,"Borbajo St., Talamban, Cebu City",MR. ARCHILLES M. PHUA-PRESIDENT,"345-8870, 415-9289",immaculate_edu@yahoo.com,Bread and Pastry Production NC II,1,33,29
1413,CNL GLOBAL ACCESS CORP.,TVIs,Region VII - Central Visayas,Cebu,Danao City,"Brgy. Looc, Danao City",MS. JORENE C. LETOFSKY        PRESIDENT     ,318-9161 / 09327676573,cnl2017global@gmail.com,Bread and Pastry Production NC II,1,42,40
1450,"DIVINE LIFE INSTITUTE OF CEBU, INC.",TVIs,Region VII - Central Visayas,Cebu,Liloan,"Yati, Liloan, Cebu",ROMELITO H. MANTUHAC                 ,238-9020 / 424-8531,dlictrainingcenter@gmail.com,Bread and Pastry Production NC II,1,28,28
1518,GLOBAL POWER SKILLS DEVELOPMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Mandaue City,"4th Floor, GASVI Bldg., A.S. Fortuna St., Banilad, Mandaue City",ANTHONY JABELLANA,"345-4366, 515-9327",globalpowerskills@yahoo.com,Bread and Pastry Production NC II,2,216,239
1560,"INDUSTRIAL EDUCATION LEARNING CENTER AND TECHNOLOGIES, INC.",TVIs,Region VII - Central Visayas,Cebu,Liloan,"Calero, Liloan, Cebu",JOEL D. PILAPIL,406 4937 / 09171538875 / 09953942497,ielti.techvoc@gmail.com,Bread and Pastry Production NC II,2,231,227
1574,INTERNATIONAL SCHOOL FOR CULINARY ARTS AND HOTEL MANAGEMENT CEBU INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"G/F, Synergis I.T. Center, F. Cabahug Street, Kasambagan, Cebu City ","MARLON ABELLANOSA MISA, Ph.D.","365-2861, 231-8888",marlon.misa@iscahm.com,Bread and Pastry Production NC II,1,50,50
