,,,,,,,,,,,,
Assessment Center,Class Name,Region,Province,City Name,Address,Center Manager,Phone,e mail,Qualification,Numberof Accredited Assessor,Assessed,Certified
BACARRA VOCATIONAL TRAINING INSTITUTE FOR HOSPITALITY AND TOURISM (BV-TIHOST) INC.,,Region I - Ilocos,Ilocos Norte,Bacarra,"#3 J & S Bldg, Domingo Benitez St. Brgy. 01 Sta Rita Bacarra, Ilocos Norte",Shenina Lois B. Cardona,09175557417,bvtihost@gmail.com,Bread and Pastry Production NC II,1,31,26
BACARRA VOCATIONAL TRAINING INSTITUTE FOR HOSPITALITY AND TOURISM (BV-TIHOST) INC.,,Region I - Ilocos,Ilocos Norte,Bacarra,"#3 J & S Bldg, Domingo Benitez St. Brgy. 01 Sta Rita Bacarra, Ilocos Norte",Shenina Lois B. Cardona,09175557417,bvtihost@gmail.com,Cookery NC II,1,24,24
BACARRA VOCATIONAL TRAINING INSTITUTE FOR HOSPITALITY AND TOURISM (BV-TIHOST) INC.,,Region I - Ilocos,Ilocos Norte,Bacarra,"#3 J & S Bldg, Domingo Benitez St. Brgy. 01 Sta Rita Bacarra, Ilocos Norte",Shenina Lois B. Cardona,09175557417,bvtihost@gmail.com,Cookery NC II,1,36,8
BACARRA VOCATIONAL TRAINING INSTITUTE FOR HOSPITALITY AND TOURISM (BV-TIHOST) INC.,,Region I - Ilocos,Ilocos Norte,Bacarra,"#3 J & S Bldg, Domingo Benitez St. Brgy. 01 Sta Rita Bacarra, Ilocos Norte",Shenina Lois B. Cardona,09175557417,bvtihost@gmail.com,Food and Beverage Services NC II,1,47,34
BACARRA VOCATIONAL TRAINING INSTITUTE FOR HOSPITALITY AND TOURISM (BV-TIHOST) INC.,,Region I - Ilocos,Ilocos Norte,Bacarra,"#3 J & S Bldg, Domingo Benitez St. Brgy. 01 Sta Rita Bacarra, Ilocos Norte",Shenina Lois B. Cardona,09175557417,bvtihost@gmail.com,Food and Beverage Services NC II,1,37,4
BACARRA VOCATIONAL TRAINING INSTITUTE FOR HOSPITALITY AND TOURISM (BV-TIHOST) INC.,,Region I - Ilocos,Ilocos Norte,Bacarra,"#3 J & S Bldg, Domingo Benitez St. Brgy. 01 Sta Rita Bacarra, Ilocos Norte",Shenina Lois B. Cardona,09175557417,bvtihost@gmail.com,Hilot (Wellness Massage) NC II,1,48,48
BACARRA VOCATIONAL TRAINING INSTITUTE FOR HOSPITALITY AND TOURISM (BV-TIHOST) INC.,,Region I - Ilocos,Ilocos Norte,Bacarra,"#3 J & S Bldg, Domingo Benitez St. Brgy. 01 Sta Rita Bacarra, Ilocos Norte",Shenina Lois B. Cardona,09175557417,bvtihost@gmail.com,Hilot (Wellness Massage) NC II,1,66,66
BANGUI INSTITUTE TECHNOLOGY,,Region I - Ilocos,Ilocos Norte,Bangui,"Brgy. Manayon, Bangui, Ilocos Norte ","Carlos B. Carizal, Ph.d",09189410374,bit@tesda.gov.ph,Cookery NC II,1,27,27
BANGUI INSTITUTE TECHNOLOGY,,Region I - Ilocos,Ilocos Norte,Bangui,"Brgy. Manayon, Bangui, Ilocos Norte ","Carlos B. Carizal, Ph.d",09189410374,bit@tesda.gov.ph,Driving NC II,1,48,48
BANGUI INSTITUTE TECHNOLOGY,,Region I - Ilocos,Ilocos Norte,Bangui,"Brgy. Manayon, Bangui, Ilocos Norte ","Carlos B. Carizal, Ph.d",09189410374,bit@tesda.gov.ph,Driving NC II,1,12,12
BURGOS AGRO-INDUSTRIAL SCHOOL,,Region I - Ilocos,Ilocos Norte,Burgos,"Brgy. Poblacion, Burgos, Ilocos Norte",Josephine A. Pascual,09171688851,burgos_agro@yahoo.com,Bread and Pastry Production NC II,1,40,37
