Provider Name,Class Name,Region Name,Province Name,City Name,Address,focal,phone,e mail,Qualification,Trainer Count,Enrolled,Graduates
" BRIGHT INTERNATIONAL SPECIAL SCHOOL OF URDANETA, INC.",TVIs,Region I - Ilocos,Pangasinan,City of Urdaneta,"San Vicente East, Urdaneta City, Pangasinan",JOSE B. GRAVIDEZ,(0745) 568-3739,brightschoolurd@gmail.com,Caregiving NC II,1,1,1
" BRIGHT INTERNATIONAL SPECIAL SCHOOL OF URDANETA, INC.",TVIs,Region I - Ilocos,Pangasinan,City of Urdaneta,"San Vicente East, Urdaneta City, Pangasinan",JOSE B. GRAVIDEZ,(0745) 568-3739,brightschoolurd@gmail.com,Computer Systems Servicing NC II,1,19,0
"""NBS EDUCATIONAL SERVICES, INC.  DOING BUSINESS UNDER THE NAME AND STYLE OF  NBS COLLEGE """,HEIs,National Capital Region (NCR),Quezon City,Quezon City,"Quezon Avenue corner Scout Borromeo Street Barangay South Triangle, Quezon City",Marjorie M. De Vera,8376-5090,qc.nbscollegetvimis@gmail.com,Computer Systems Servicing NC II,2,53,0
"1 AND ALL TECHNICAL SCHOOL, INC.",TVIs,Region X - Northern Mindanao,Misamis Oriental,City of El Salvador,"Zone 6, Doyugon, Sinaloc, El Salvador City",Maria Jocelyn N. Co,(088) 850-1988 / 0917-798-1978/857-6677,1andalltechnicalschool@gmail.com,Automotive Servicing NC I,1,16,0
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Barista NC II,0,0,30
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Bread and Pastry Production NC II,3,81,80
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Bread and Pastry Production NC II,0,0,24
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Cookery NC II,1,2,24
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Electrical Installation and Maintenance NC II,0,0,25
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Food and Beverage Services NC II,0,0,40
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Asturias,"Lamac, New Bago, Asturias, Cebu",ANA LIZA M. AUGUSTO,328-9150 / 0946-031-7176,3aprimeast@gmail.com,Shielded Metal Arc Welding (SMAW) NC II,1,36,0
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,TVIs,Region VII - Central Visayas,Cebu,Cebu City,"362 Don Mariano Cui St. corner N. Escario St. Capitol Site, Cebu City",ANA LIZA M. AUGUSTO,(032) 328-9150,3aprimetaciceb@gmail.com,Ships' Catering (Ships' Cooks) NC III,1,19,9
