,,,,,,,,,,,Supply Gap %,,Registered Programs Gap,,Trainers Gap,,Assessment Center Gap,,Competency Assessors Gap,
"Importing 1.1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Subsector,Jobs Requirements,Program,"Program
Type","Priority
Ranking
(Province)",,Supply Gap,Year 2,Year 3,Year 2,Year 3,Year 2,Year 3,Year 2,Year 3,Year 2,Year 3
,,,,,,,,,,,"High - 50%
Medium - 30%
Low - 20%","High - 25%
Medium - 40%
Low - 35%",,,,,,,,
,,,,,,,,,,"Total: 1,595,743","Total: 583,590","Total: 526,323","Total: 4,878","Total: 3,719",Total: 707,Total: 551,"Total: 1,955","Total: 1,587",Total: 256,Total: 256
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRI-TOURISM|FARM EXPERIENCE HOST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRI-TOURISM,FARM EXPERIENCE HOST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,"1,367",273,478,1,2,1,2,0,1,1,1
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|BAMBOO GROWER|BAMBOO PRODUCTION NC II|WITH TR|HIGH,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,BAMBOO GROWER,BAMBOO PRODUCTION NC II,WITH TR,HIGH,,"1,000",500,250,5,3,0,0,1,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|CACAO FARM TECHNCIAN|CACAO PRODUCTION LEVEL II|WITH CS|HIGH,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,CACAO FARM TECHNCIAN,CACAO PRODUCTION LEVEL II,WITH CS,HIGH,,984,492,246,5,2,0,0,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|COCONUT FARM TECHNICIAN|COCONUT PRODUCTION LEVEL II|WITH CS|HIGH,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,COCONUT FARM TECHNICIAN,COCONUT PRODUCTION LEVEL II,WITH CS,HIGH,,984,492,246,5,2,5,2,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNCIAN|ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNCIAN,ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II,WITH TR,LOW,,"1,657",381,605,3,4,2,2,1,2,1,1
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNICIAN FOR BEEKEEPING|BEEKEEPING LEVEL II|WITH CS|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNICIAN FOR BEEKEEPING,BEEKEEPING LEVEL II,WITH CS,LOW,,658,131,230,1,2,1,2,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|SMART IRRIGATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,SMART IRRIGATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,100,20,35,0,0,0,0,0,0,1,1
