,CS for Development ,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,Year 3,
,,,,,,,,,,Partners/Experts,Budget,Partners/Experts,Budget
,Region,Province,Sector,Sub-sector,Job Requirement,Programs,Type of Programs,Priority Ranking,,No of Partners: 3,"Total: 2,373,500",No of Partners: 1,"Total: 474,700"
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRI-TOURISM|FARM EXPERIENCE HOST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRI-TOURISM,FARM EXPERIENCE HOST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|DISPATCHER (BOOKING/TRIP CONTROLLER)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,DISPATCHER (BOOKING/TRIP CONTROLLER),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|PASSENGER ASSISTANT OFFICER (CONDUCTOR)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,PASSENGER ASSISTANT OFFICER (CONDUCTOR),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|CONSTRUCTION|EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS|CONCRETE PUMP OPERATOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS,CONCRETE PUMP OPERATOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|CONSTRUCTION ASSISTANT (HOUSEKEEPING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,CONSTRUCTION ASSISTANT (HOUSEKEEPING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|GLASS INSTALLER (GLAZING WORKS)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,GLASS INSTALLER (GLAZING WORKS),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL|ROOF INSTALLER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL,ROOF INSTALLER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|SCAFFOLDER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,SCAFFOLDER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
"REGION_VII|CEBU|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL PROJECT MANAGEMENT|SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW",REGION_VII,CEBU,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL PROJECT MANAGEMENT,"SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)",NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SURVEY ASSISTANT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SURVEY ASSISTANT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|WATERPROOFER (SLABS)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,WATERPROOFER (SLABS),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|ENERGY|EV CHARGING STATION OPERATION|CHARGING FACILITY MANAGER/SAFETY OFFICER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV CHARGING STATION OPERATION,CHARGING FACILITY MANAGER/SAFETY OFFICER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|ENERGY|EV CHARGING STATION OPERATION|CHARGING SERVICE PERSONNEL|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV CHARGING STATION OPERATION,CHARGING SERVICE PERSONNEL,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|ENERGY|EV FLEET OPERATIONS (E.G. PUBLIC/PRIVATE TRANSPORT COOPERATIVES)|EV DRIVER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV FLEET OPERATIONS (E.G. PUBLIC/PRIVATE TRANSPORT COOPERATIVES),EV DRIVER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|ENERGY|EV MANUFACTURING|EV TEST TECHNICIAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV MANUFACTURING,EV TEST TECHNICIAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
REGION_VII|CEBU|ENERGY|EV MANUFACTURING|EVSE ELECTRICAL SUPPLY SYSTEM DESIGNER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV MANUFACTURING,EVSE ELECTRICAL SUPPLY SYSTEM DESIGNER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,,,,
