Industry Boards Established by Year and by Sector,,,,,,,,,Partners Established by Year and by Sector,,,,,,,"Partnership Established for the Implementation of EBT program by Year, and by type of Enterprise",,,
"Importing 1.1
(from Pooling, Industry Boards )
[Region|Province|Year|Sector|Organizations|Collab]",Region,Province,Year,Sector,Target Organizations,Areas for Collaboration,,"Importing 1.1
(from Pooling, Partners Established)
[Region|Province|Year|Sector|Organizations|Collab]",Region,Province,Year,Sector,Target Organizations,Areas for Collaboration,,Region,"Baseline
(DTI 2022 Philippine MSME Statistics in Brief)",Year 2,Year 3
,,,,,,,,,,,,,,,,,,"Partners Established for EBT
(Large & MSMEs) ",
,,,,,,,,,,,,,,,,,,,
"REGION VII|CEBU|2025|CONSTRUCTION|CEBU CONTRACTORS ASSOCIATION, INC.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,CONSTRUCTION,"CEBU CONTRACTORS ASSOCIATION, INC.","DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,"REGION VII|CEBU|2025|AGRICULTURE FORESTRY AND FISHERY|YUVIENCO DAIRY FARMS|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,AGRICULTURE FORESTRY AND FISHERY,AKAI FOODS,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,REGION VII,559,10,11
"REGION VII|CEBU|2026|METALS AND ENGINEERING|METALWORKING INDUSTRIES ASSOCIATION OF THE PHILIPPINES|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,MANUFACTURING,"SEMICONDUCTOR AND ELECTRONICS INDUSTRIES IN THE PHILIPPINES FOUNDATION, INC. (SEIPI)","DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES",,"REGION VII|CEBU|2026|AGRICULTURE FORESTRY AND FISHERY|TERRAZAS DE FLORES|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,AGRICULTURE FORESTRY AND FISHERY,AQUATIC PHOENIX ASTURIAS CORP,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,REGION VII,559,5,3
"REGION VII|CEBU|2026|MANUFACTURING|SEMICONDUCTOR AND ELECTRONICS INDUSTRIES IN THE PHILIPPINES FOUNDATION, INC. (SEIPI)|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES",REGION VII,CEBU,2026,METALS AND ENGINEERING,METALWORKING INDUSTRIES ASSOCIATION OF THE PHILIPPINES,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,"REGION VII|CEBU|2025|AUTOMOTIVE AND LAND TRANSPORTATION|WELLMADE MOTORS & DEVELOPMENT CORPORATION|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,AGRICULTURE FORESTRY AND FISHERY,BALAMBAN APIARISTS FOR NATURE AND AGRICULTURE,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,REGION VII,559,3,4
,,,,,,,,"REGION VII|CEBU|2026|AUTOMOTIVE AND LAND TRANSPORTATION|TOYOTA CEBU CITY, INC.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,AGRICULTURE FORESTRY AND FISHERY,BAMBOO PRODUCERS COOPERATIVE,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,REGION VII,559,4,2
,,,,,,,,"REGION VII|CEBU|2025|CONSTRUCTION|CEBU CONTRACTORS ASSOCIATION, INC.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,AGRICULTURE FORESTRY AND FISHERY,CEBU AQUAPONICS & HYDROPONICS GARDEN,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,REGION VII,559,5,4
,,,,,,,,"REGION VII|CEBU|2025|CREATIVE SECTOR|AMATO CEBU|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,AGRICULTURE FORESTRY AND FISHERY,CEBU CACAO INDUSTRY DEVELOPMENT CORPORATION,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,REGION VII,559,5,5
,,,,,,,,"REGION VII|CEBU|2025|CREATIVE SECTOR|CEBU GAME DEV|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,AGRICULTURE FORESTRY AND FISHERY,DALAGUETE UNITED FARMERS AND FISHERMAN ASSOCIATION (DUFAFA),"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,REGION VII,559,3,1
,,,,,,,,"REGION VII|CEBU|2026|CREATIVE SECTOR|MEHITABEL|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,AGRICULTURE FORESTRY AND FISHERY,PEOPLE'S FARM AT SOUTH ROAD PROPERTIES (SRP),"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,REGION VII,559,1,0
