,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,Year 3,,,
,,,,,,,,,,"No. of
RLAs","No. of
PLAs",Competency Assessors,Total,,"No. of
RLAs","No. of
PLAs",Competency Assessors,Total
,Region,Province,Sector,Sub-sector,Job Requirement,Programs,Type of Programs,Priority Ranking,,Total: ,Total: ,Total: 362,Total: 362,,Total: ,Total: ,Total: 362,Total: 362
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRI-TOURISM|FARM EXPERIENCE HOST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRI-TOURISM,FARM EXPERIENCE HOST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|BAMBOO GROWER|BAMBOO PRODUCTION NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,BAMBOO GROWER,BAMBOO PRODUCTION NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|CACAO FARM TECHNCIAN|CACAO PRODUCTION LEVEL II|WITH CS|HIGH,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,CACAO FARM TECHNCIAN,CACAO PRODUCTION LEVEL II,WITH CS,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|COCONUT FARM TECHNICIAN|COCONUT PRODUCTION LEVEL II|WITH CS|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,COCONUT FARM TECHNICIAN,COCONUT PRODUCTION LEVEL II,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNCIAN|ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNCIAN,ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNICIAN FOR BEEKEEPING|BEEKEEPING LEVEL II|WITH CS|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNICIAN FOR BEEKEEPING,BEEKEEPING LEVEL II,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|SMART IRRIGATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,SMART IRRIGATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|DAIRY RAISER|ANIMAL PRODUCTION (RUMINANTS) NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,DAIRY RAISER,ANIMAL PRODUCTION (RUMINANTS) NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|HATCHERY TECHNICIAN|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,HATCHERY TECHNICIAN,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|HATCHERY TECHNICIAN|ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,HATCHERY TECHNICIAN,ANIMAL PRODUCTION (POULTRY-CHICKEN) NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|RABBIT RAISER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,RABBIT RAISER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|ANIMAL PRODUCTION|SWINE RAISER|ANIMAL PRODUCTION (SWINE) NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,ANIMAL PRODUCTION,SWINE RAISER,ANIMAL PRODUCTION (SWINE) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION
NON PERENNIAL CROP
PERENNIAL CROP
PLANT PROPAGATION
ANIMAL AND LIVESTOCK
ANIMAL PRODUCTION
SUPPORT SERVICES
AGRICULTURAL SERVICES
SUPPORT AGRICULTURAL SERVICES
FORESTRY AND LOGGING
SILVICULTURE AND OTHER ACTIVITIES
LOGGING
GATHER NON-WOOD FOREST PRODUCTS
SUPPORT SERVICES FOR FORESTRY AND LOGGING
FOREST INVENTORIES
FOREST MANAGEMENT CONSULTING SERVICES
TIMBER EVALUATION
FOREST FIRE FIGHTING AND PROTECTION
FOREST PEST CONTROL
TRANSPORT LOGS WITHIN THE FOREST|PLANT GENETICIST
PLANT BREEDER
RESEARCH/LABORATORY TECHNICIAN
PLANT PATHOLOGIST
MOLECULAR BIOLOGIST
BIOTECHNOLOGIST
FARM TECHNICIAN|DIPLOMA PROGRAM IN IN AGRICULTURAL AND BIOSYSTEMS ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS|LOW",REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,"CROP PRODUCTION
NON PERENNIAL CROP
PERENNIAL CROP
PLANT PROPAGATION
ANIMAL AND LIVESTOCK
ANIMAL PRODUCTION
SUPPORT SERVICES
AGRICULTURAL SERVICES
SUPPORT AGRICULTURAL SERVICES
FORESTRY AND LOGGING
SILVICULTURE AND OTHER ACTIVITIES
LOGGING
GATHER NON-WOOD FOREST PRODUCTS
SUPPORT SERVICES FOR FORESTRY AND LOGGING
FOREST INVENTORIES
FOREST MANAGEMENT CONSULTING SERVICES
TIMBER EVALUATION
FOREST FIRE FIGHTING AND PROTECTION
FOREST PEST CONTROL
TRANSPORT LOGS WITHIN THE FOREST","PLANT GENETICIST
PLANT BREEDER
RESEARCH/LABORATORY TECHNICIAN
PLANT PATHOLOGIST
MOLECULAR BIOLOGIST
BIOTECHNOLOGIST
FARM TECHNICIAN",DIPLOMA PROGRAM IN IN AGRICULTURAL AND BIOSYSTEMS ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION AGRICULTURAL SERVICES|FARMER/GROWER|AGRICULTURAL CROPS PRODUCTION NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION AGRICULTURAL SERVICES,FARMER/GROWER,AGRICULTURAL CROPS PRODUCTION NC II,WITH TR,LOW,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION ANIMAL PRODUCTION|FARMER LEADER|AGROENTREPRENEURSHIP NC III|WITH TR|HIGH,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION ANIMAL PRODUCTION,FARMER LEADER,AGROENTREPRENEURSHIP NC III,WITH TR,HIGH,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION SUPPORT AGRICULTURAL SERVICES|PEST CONTROL TECHNICIAN|PEST MANAGEMENT (VEGETABLES) NC II|WITH TR|LOW,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION SUPPORT AGRICULTURAL SERVICES,PEST CONTROL TECHNICIAN,PEST MANAGEMENT (VEGETABLES) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION SUPPORT AGRICULTURAL SERVICES|PEST CONTROL TECHNICIAN|PEST MANAGEMENT (VEGETABLES) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION SUPPORT AGRICULTURAL SERVICES,PEST CONTROL TECHNICIAN,PEST MANAGEMENT (VEGETABLES) NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|BAMBOO FARM WORKER|BAMBOO PRODUCTION NC II|WITH TR|HIGH,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,BAMBOO FARM WORKER,BAMBOO PRODUCTION NC II,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FARM LEAD HAND|AGRICULTURAL CROPS PRODUCTION NC III|WITH TR|HIGH,REGION_VII,CEBU,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,FARM LEAD HAND,AGRICULTURAL CROPS PRODUCTION NC III,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
