,,,,,,,,,Supply Gap %,,Registered Programs Gap,,Trainers Gap,,Assessment Center Gap,,Competency Assessors Gap,
Importing 2.1,Region,Sector,Subsector,Jobs Requirements,Program,"Program
Type",,Supply Gap,Year 2,Year 3,Year 2,Year 3,Year 2,Year 3,Year 2,Year 3,Year 2,Year 3
,,,,,,,,,"High - 50%
Medium - 30%
Low - 20%","High - 25%
Medium - 40%
Low - 35%",,,,,,,,
,Region,Sector,Subsector,Jobs Requirements,Program,Type of Program,,"Total: 1,757,221","Total: 658,893","Total: 570,195","Total: 5,445","Total: 4,052",Total: 992,Total: 670,"Total: 2,141","Total: 1,644",Total: 316,Total: 316
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRI-TOURISM|FARM EXPERIENCE HOST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRI-TOURISM,FARM EXPERIENCE HOST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,"1,367",273,478,1,2,1,2,0,1,1,1
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|BAMBOO GROWER|BAMBOO PRODUCTION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,BAMBOO GROWER,BAMBOO PRODUCTION NC II,WITH TR,,"1,000",500,250,5,3,0,0,1,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|CACAO FARM TECHNCIAN|CACAO PRODUCTION LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,CACAO FARM TECHNCIAN,CACAO PRODUCTION LEVEL II,WITH CS,,984,492,246,5,2,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|COCONUT FARM TECHNICIAN|COCONUT PRODUCTION LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,COCONUT FARM TECHNICIAN,COCONUT PRODUCTION LEVEL II,WITH CS,,984,492,246,5,2,5,2,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNCIAN|ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNCIAN,ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II,WITH TR,,"1,657",381,605,3,4,2,2,1,2,1,1
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNICIAN FOR BEEKEEPING|BEEKEEPING LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNICIAN FOR BEEKEEPING,BEEKEEPING LEVEL II,WITH CS,,658,131,230,1,2,1,2,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|SMART IRRIGATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,SMART IRRIGATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,100,20,35,0,0,0,0,0,0,1,1
