,,,,,,,,,,,,,,,,
Program with corresponding TVET Program,,,,,,,,,Year 2,,,,Year 3,,,
Importing 2.1,Region,Sector,Subsector,Job Requirement,Programs,"Program
Type","Supply
Gap",,Supply Gap (%),Target Beneficiaries,,,Supply Gap (%),Target Beneficiaries,,
,,,,,,,,,,Scholar,Non-Scholar,Total Target:,,Scholar,Non-Scholar,Total Target:
,,,,,,,"Total: 1,757,221",,"Total: 658,893","Total: 347,233","Total: 311,530","658,763","Total: 570,195","Total: 288,821","Total: 281,691","570,512"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRI-TOURISM|FARM EXPERIENCE HOST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRI-TOURISM,FARM EXPERIENCE HOST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,367",,273,128,145,273,478,188,290,478
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|BAMBOO GROWER|BAMBOO PRODUCTION NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,BAMBOO GROWER,BAMBOO PRODUCTION NC II,WITH TR,"1,000",,500,25,475,500,250,25,225,250
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|CACAO FARM TECHNCIAN|CACAO PRODUCTION LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,CACAO FARM TECHNCIAN,CACAO PRODUCTION LEVEL II,WITH CS,984,,492,25,467,492,246,25,221,246
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|COCONUT FARM TECHNICIAN|COCONUT PRODUCTION LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,COCONUT FARM TECHNICIAN,COCONUT PRODUCTION LEVEL II,WITH CS,984,,492,25,467,492,246,25,221,246
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNCIAN|ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNCIAN,ARTIFICIAL INSEMINATION (LARGE RUMINANTS) NC II,WITH TR,"1,657",,381,230,151,381,605,353,252,605
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|FARM TECHNICIAN FOR BEEKEEPING|BEEKEEPING LEVEL II|WITH CS,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,FARM TECHNICIAN FOR BEEKEEPING,BEEKEEPING LEVEL II,WITH CS,658,,131,55,76,131,230,78,152,230
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURAL SERVICES|SMART IRRIGATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURAL SERVICES,SMART IRRIGATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,100,,20,20,0,20,35,35,0,35
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|AGRICULTURE FORESTRY AND FISHERY|SMART FARMING EQUIPMENT OPERATOR|AGRICULTURAL DRONE OPERATION LEVEL II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,AGRICULTURE FORESTRY AND FISHERY,SMART FARMING EQUIPMENT OPERATOR,AGRICULTURAL DRONE OPERATION LEVEL II,WITH TR,715,,358,259,99,358,179,130,49,179
