,CS for Development ,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Year 2,,Year 3,
,,,,,,,,Partners/Experts,Budget,Partners/Experts,Budget
,Region,Sector,Sub-sector,Job Requirement,Programs,Type of Programs,,No of Partners: 4,"Total: 2,898,500",No of Partners: 2,"Total: 1,174,700"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK,NONE,NEW AND EMERGING,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING|NONE|NEW AND EMERGING",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"FRUITS, COCONUT TREES, UBI & CACAO PRODUCTION & PROCESSING",NONE,NEW AND EMERGING,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH /ORGANIC QUALITY SEEDS GROWER|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH /ORGANIC QUALITY SEEDS GROWER,NONE,NEW AND EMERGING,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH QUALITY INBREED RICE GROWER,NONE,NEW AND EMERGING,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,INTERCROPPING TECHNICIAN,NONE,NEW AND EMERGING,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|NEW AND EMERGING",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)",NONE,NEW AND EMERGING,,"BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","75,000","BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS

BOHOL AGRICULTURE INDUSTRY BOARD, AGRICULTURAL TRAINING INSTITUTE, DEPARTMENT OF AGRICULTURE, PHIL COCONUT AUTHORITY, TVIS IN AGRICULTURE SECTOR, FARM OWNERS","100,000"
