"Gross Domestic Product, by Industry"

"Industry";"At Current Prices 2022";"At Current Prices 2023";"At Current Prices 2024"
"..Agriculture, forestry, and fishing";2104089860;2285564057;2401998593
"..Industry";6436935483;6855846768;7324051748
"....Mining and quarrying";280249376;232171304;233872614
"....Manufacturing";3795335308;3946170640;4146037835
"....Electricity, steam, water and waste management";746104170;844195921;897048774
"....Construction";1615246628;1833308903;2047092525
"..Services";13487250995;15172152370;16720319154
"....Wholesale and retail trade; repair of motor vehicles and motorcycles";3987549707;4445382998;4876755890
"....Transportation and storage";807323237;977711799;1075531134
"....Accommodation and food service activities";396143898;510209390;585956898
"....Information and communication";696021653;732460794;768822744
"....Financial and insurance activities";2224674783;2565066265;2887280491
"....Real estate and ownership of dwellings";1246861439;1369415712;1485877225
"....Professional and business services";1350881437;1488722434;1649935904
"....Public administration and defense; compulsory social activities";1119710014;1189234907;1281324945
"....Education";880389812;969550139;1053080418
"....Human health and social work activities";411576763;459895874;528285017
"....Other services";366118254;464502059;527468488
"Gross Domestic Product";22028276338;24313563195;26446369495
