Qualification Code,Qualification Title,Competency Type,Unit Code,Unit Title
-,-,-,-,-
ICT2DA318,2D Animation NC III,BASIC,500311110,Lead small teams
ICT2DA318,2D Animation NC III,BASIC,500311111,Develop and practice negotiation skills
ICT2DA318,2D Animation NC III,BASIC,500311112,Solve problems related to work activities
ICT2DA318,2D Animation NC III,BASIC,500311113,Use mathematical concepts and techniques
ICT2DA318,2D Animation NC III,BASIC,500311114,Use relevant technologies
ICT2DA318,2D Animation NC III,BASIC,500311142,Apply critical thinking and problem solving techniques in the workplace
ICT2DA318,2D Animation NC III,BASIC,500311144,Use information creatively and critically
ICT2DA318,2D Animation NC III,BASIC,500311145,Work in a diverse environment
ICT2DA318,2D Animation NC III,COMMON,ICT315202,Apply quality standards
ICT2DA318,2D Animation NC III,COMMON,ICT311203,Operate a personal computer
ICT2DA318,2D Animation NC III,CORE,ICT216306,Create 2D digital cut-out animation
ICT2DA318,2D Animation NC III,CORE,ICT216305,Produce traditional key poses/drawings for animation
ICT2DA318,2D Animation NC III,CORE,ICT216319,Create tradigital animation
ICT2DA318,2D Animation NC III,CORE,ICT216307,Export animation to video file format
ICT2DA318,2D Animation NC III,BASIC,500311109,Lead workplace communication
ICT2DA307,2D Animation NC III (Superseded),BASIC,500311109,Lead workplace communication
ICT2DA307,2D Animation NC III (Superseded),BASIC,500311110,Lead small teams
ICT2DA307,2D Animation NC III (Superseded),BASIC,500311111,Develop and practice negotiation skills
ICT2DA307,2D Animation NC III (Superseded),BASIC,500311112,Solve problems related to work activities
ICT2DA307,2D Animation NC III (Superseded),BASIC,500311113,Use mathematical concepts and techniques
ICT2DA307,2D Animation NC III (Superseded),BASIC,500311114,Use relevant technologies
ICT2DA307,2D Animation NC III (Superseded),COMMON,ICT315202,Apply quality standards
ICT2DA307,2D Animation NC III (Superseded),COMMON,ICT311203,Operate a personal computer
ICT2DA307,2D Animation NC III (Superseded),CORE,ICT313314,Create 2D digital animation
ICT2DA307,2D Animation NC III (Superseded),CORE,ICT313316,Produce key drawings for animation
ICT2DA307,2D Animation NC III (Superseded),CORE,ICT313313,Produce cleaned-up & in-betweened drawings
ICT2DA307,2D Animation NC III (Superseded),CORE,ICT313323,Use an authoring tool to create an interactive sequence
ICT2GA312,2D Game Art Development NC III,BASIC,500311109,Lead workplace communication
ICT2GA312,2D Game Art Development NC III,BASIC,500311110,Lead small teams
ICT2GA312,2D Game Art Development NC III,BASIC,500311111,Develop and practice negotiation skills
ICT2GA312,2D Game Art Development NC III,BASIC,500311112,Solve problems related to work activities
ICT2GA312,2D Game Art Development NC III,BASIC,500311113,Use mathematical concepts and techniques
ICT2GA312,2D Game Art Development NC III,BASIC,500311114,Use relevant technologies
ICT2GA312,2D Game Art Development NC III,COMMON,ICT315203,Apply critical thinking and thought organization
ICT2GA312,2D Game Art Development NC III,COMMON,ICT315202,Apply quality standards
ICT2GA312,2D Game Art Development NC III,COMMON,ICT311203,Perform computer operations
ICT2GA312,2D Game Art Development NC III,CORE,ICT313344,Develop and conceptualize art style
ICT2GA312,2D Game Art Development NC III,CORE,ICT313345,Create storyboard and asset list
ICT2GA312,2D Game Art Development NC III,CORE,ICT313346,Prepare art document
ICT2GA312,2D Game Art Development NC III,CORE,ICT313347,Develop final artwork using graphic application
ICT2GA312,2D Game Art Development NC III,CORE,ICT313348,Apply in-game animation
ICT3DA318,3D Animation NC III,BASIC,500311109,Lead workplace communication
ICT3DA318,3D Animation NC III,BASIC,500311110,Lead small teams
ICT3DA318,3D Animation NC III,BASIC,500311111,Develop and practice negotiation skills
ICT3DA318,3D Animation NC III,BASIC,500311112,Solve problems related to work activities
ICT3DA318,3D Animation NC III,BASIC,500311113,Use mathematical concepts and techniques
ICT3DA318,3D Animation NC III,BASIC,500311114,Use relevant technologies
ICT3DA318,3D Animation NC III,BASIC,500311142,Apply critical thinking and problem solving techniques in the workplace
ICT3DA318,3D Animation NC III,BASIC,500311144,Use information creatively and critically
ICT3DA318,3D Animation NC III,BASIC,500311145,Work in a diverse environment
ICT3DA318,3D Animation NC III,COMMON,ICT315202,Apply quality standards
ICT3DA318,3D Animation NC III,COMMON,ICT311203,Operate a personal computer
ICT3DA318,3D Animation NC III,CORE,ICT216308,Create 3D models for animation
ICT3DA318,3D Animation NC III,CORE,ICT216309,Apply shader and texture on 3D models
ICT3DA318,3D Animation NC III,CORE,ICT216310,Set character rigging
ICT3DA318,3D Animation NC III,CORE,ICT216311,Animate character
ICT3DA318,3D Animation NC III,CORE,ICT216312,Light and render animation scene
ICT3DA307,3D Animation NC III (Superseded),BASIC,500311109,Lead workplace communication
ICT3DA307,3D Animation NC III (Superseded),BASIC,500311110,Lead small teams
ICT3DA307,3D Animation NC III (Superseded),BASIC,500311111,Develop and practice negotiation skills
ICT3DA307,3D Animation NC III (Superseded),BASIC,500311112,Solve problems related to work activities
ICT3DA307,3D Animation NC III (Superseded),BASIC,500311113,Use mathematical concepts and techniques
ICT3DA307,3D Animation NC III (Superseded),COMMON,ICT315202,Apply quality standards
