PUFREG,PUFHHNUM,PUFURB2015,PUFPWGTPRV,PUFSVYMO,PUFSVYYR,PUFPSU,PUFRPL,PUFHHSIZE,PUFC01_LNO,PUFC03_REL,PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC08_CONWR,PUFC09_WORK,PUFC09A_WORK,PUFC10_JOB,PUFC11A_PROVMUN,PUFC13_PROCC,PUFC15_PKB,PUFC16_NATEM,PUFC17_PNWHRS,PUFC18_PHOURS,PUFC19_PWMORE,PUFC20_PLADDW,PUFC20B_FTWORK,PUFC21_PCLASS,PUFC22_OJOB,PUFC23_THOURS,PUFC24_WWM48H,PUFC25_LOOKW,PUFC25B_FTWORK,PUFC26_WYNOT,PUFC27_AVAIL,PUFC28_PREVJOB,PUFC29_YEAR,PUFC29_MONTH,PUFC31_POCC,PUFC33_QKB,PUFNEWEMPSTAT
01,00001,2,001073.8892,11,2022,00061,043,02,01,01,2,85,1,10018,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,61, ,1,1992,04,61,01,3
01,00001,2,001669.5344,11,2022,00061,043,02,02,08,1,52,1,70111,5,1,1, ,2803,13,85,1,08,040,2,2,2,2,2,040,  , , ,  , , ,    ,  ,  ,  ,1
01,00002,2,001073.8892,11,2022,00061,043,08,01,01,2,77,3,10018,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,61, ,1,2022,10,92,01,3
01,00002,2,001874.9667,11,2022,00061,043,08,02,03,1,57,1,24015,5,1,1, ,2803,93,41,3,08,048,2,2,2,1,1,056,11, , ,  , , ,    ,  ,  ,  ,1
01,00002,2,001331.3780,11,2022,00061,043,08,03,03,2,42,4,24015,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,03,2,1,2020,03,75,10,3
01,00002,2,001675.5572,11,2022,00061,043,08,04,06,2,19,1,34013,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3
01,00002,2,001468.2757,11,2022,00061,043,08,05,05,1,38,2,24015,1, , , ,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , 
01,00002,2,001331.3780,11,2022,00061,043,08,06,03,2,38,2,60413,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,07, ,1,2022,01,13,10,3
01,00002,2,001849.1743,11,2022,00061,043,08,07,06,1,14,1,24012, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , 
01,00002,2,001849.1743,11,2022,00061,043,08,08,06,1,07,1,10011, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , 
