PUFHHNUM,PUFPWGTPRV,PUFSVYMO,PUFSVYYR,PUFPSU,PUFRPL,PUFHHSIZE,PUFC01_LNO,PUFC03_REL,PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC08_CONWR,PUFC09_WORK,PUFC09A_WORK,PUFC10_JOB,PUFC11A_PROVMUN,PUFC13_PROCC,PUFC15_PKB,PUFC16_NATEM,PUFC17_PNWHRS,PUFC18_PHOURS,PUFC19_PWMORE,PUFC20_PLADDW,PUFC20B_FTWORK,PUFC21_PCLASS,PUFC22_OJOB,PUFC23_THOURS,PUFC24_WWM48H,PUFC25_LOOKW,PUFC25B_FTWORK,PUFC26_WYNOT,PUFC27_AVAIL,PUFC28_PREVJOB,PUFC29_YEAR,PUFC29_MONTH,PUFC31_POCC,PUFC33_QKB,PUFNEWEMPSTAT,PUFURB2020
000001,001357.5764,03,2025,00212,075,04,01,01,1,29,3,24011,5,1,1, ,2802,93,41,3,08,048,1,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000001,001399.3375,03,2025,00212,075,04,02,02,2,27,3,60111,5,1,1, ,2812,23,85,1,08,040,2,2,2,1,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000001,001605.6000,03,2025,00212,075,04,03,04,2,10,1,10013, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000001,002033.5483,03,2025,00212,075,04,04,03,1,01, ,     , , , , ,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000002,002283.0168,03,2025,00212,075,06,01,01,1,61,2,24015,5,1,1, ,2802,53,96,1,06,024,2,2,2,3,2,024,20, , ,  , , ,    ,  ,  ,  ,1,2
000002,001363.4972,03,2025,00212,075,06,02,02,2,62,2,60413,5,1,1, ,2802,53,96,1,09,054,2,2,2,3,2,054,11, , ,  , , ,    ,  ,  ,  ,1,2
000002,001399.3375,03,2025,00212,075,06,03,04,2,34,1,60612,5,1,1, ,2802,52,47,1,08,084,2,2,2,1,2,084,12, , ,  , , ,    ,  ,  ,  ,1,2
000002,001132.5266,03,2025,00212,075,06,04,04,2,24,1,60411,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,09, ,2,    ,  ,  ,  ,3,2
000002,001132.5266,03,2025,00212,075,06,05,04,2,24,1,60410,5,1,1, ,2802,41,82,1,08,040,2,2,2,1,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000002,001132.5266,03,2025,00212,075,06,06,04,2,22,1,60003,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000003,001040.9389,03,2025,00212,075,06,01,01,1,71,2,10018,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,61, ,1,1992,02,83,49,3,2
000003,001298.6333,03,2025,00212,075,06,02,02,2,66,2,24015,5,1,1, ,2802,32,84,1,04,008,2,2,2,2,2,008,20, , ,  , , ,    ,  ,  ,  ,1,2
000003,001247.9593,03,2025,00212,075,06,03,07,1,36,2,60002,5,1,1, ,2812,51,49,1,09,063,2,2,2,1,2,063,12, , ,  , , ,    ,  ,  ,  ,1,2
000003,001587.1533,03,2025,00212,075,06,04,04,2,40,2,50415,5,1,1, ,2802,41,47,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000003,001132.5266,03,2025,00212,075,06,05,10,2,17,1,34011,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000003,001605.6000,03,2025,00212,075,06,06,10,2,11,1,10015, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000004,002283.0168,03,2025,00212,075,09,01,01,1,59,2,24015,5,1,1, ,2802,53,96,1,08,056,2,2,2,3,2,056,11, , ,  , , ,    ,  ,  ,  ,1,2
000004,001363.4972,03,2025,00212,075,09,02,02,2,56,2,60111,5,1,1, ,2802,23,85,1,08,040,2,2,2,2,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000004,001357.5764,03,2025,00212,075,09,03,03,1,25,1,60913,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,02,1,1,2025,01,52,47,2,2
000004,001357.5764,03,2025,00212,075,09,04,03,1,32,2,60111,5,1,1, ,2802,23,85,1,08,040,2,2,2,2,1,056,11, , ,  , , ,    ,  ,  ,  ,1,2
000004,001399.3375,03,2025,00212,075,09,05,08,2,30,2,60916,5,1,1, ,2802,22,47,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000004,001605.6000,03,2025,00212,075,09,06,10,2,05,1,01000, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000004,002033.5483,03,2025,00212,075,09,07,09,1,03, ,     , , , , ,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000004,001298.6333,03,2025,00212,075,09,08,14,2,82,4,10018,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,61, ,2,    ,  ,  ,  ,3,2
000004,001247.9593,03,2025,00212,075,09,09,23,1,44,6,24015,5,1,1, ,2802,83,49,1,04,020,1,2,2,3,2,020,20, , ,  , , ,    ,  ,  ,  ,1,2
000005,002283.0168,03,2025,00212,075,03,01,01,1,58,2,10015,5,1,1, ,2802,61,01,1,06,042,2,2,2,4,2,042,  , , ,  , , ,    ,  ,  ,  ,1,2
000005,001298.6333,03,2025,00212,075,03,02,02,2,67,2,24015,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,07, ,1,2022,01,92,01,3,2
