PUFHHNUM,PUFPWGTPRV,PUFSVYMO,PUFSVYYR,PUFPSU,PUFRPL,PUFHHSIZE,PUFC01_LNO,PUFC03_REL,PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC08_CONWR,PUFC09_WORK,PUFC09A_WORK,PUFC10_JOB,PUFC11A_PROVMUN,PUFC13_PROCC,PUFC15_PKB,PUFC16_NATEM,PUFC17_PNWHRS,PUFC18_PHOURS,PUFC19_PWMORE,PUFC20_PLADDW,PUFC20B_FTWORK,PUFC21_PCLASS,PUFC22_OJOB,PUFC23_THOURS,PUFC24_WWM48H,PUFC25_LOOKW,PUFC25B_FTWORK,PUFC26_WYNOT,PUFC27_AVAIL,PUFC28_PREVJOB,PUFC29_YEAR,PUFC29_MONTH,PUFC31_POCC,PUFC33_QKB,PUFNEWEMPSTAT,PUFURB2020
000001,001756.1609,02,2025,00304,074,01,01,01,2,54,4,24015,5,1,1, ,2806,52,47,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000002,001810.2805,02,2025,00304,074,06,01,01,2,67,6,24011,5,1,1, ,2806,52,56,1,06,040,2,2,2,3,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000002,001552.0569,02,2025,00304,074,06,02,03,1,35,2,24015,5,1,1, ,2812,42,82,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000002,001616.1016,02,2025,00304,074,06,03,08,2,35,2,60913,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,07, ,1,2021,06,91,96,3,2
000002,002037.4247,02,2025,00304,074,06,04,10,2,06,1,02000, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000002,002037.4247,02,2025,00304,074,06,05,10,2,03, ,     , , , , ,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000002,001039.1721,02,2025,00304,074,06,06,15,1,64,1,10014,5,1,1, ,2806,91,96,1,08,040,2,2,2,0,1,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000003,001039.1721,02,2025,00304,074,02,01,01,1,61,2,10018,5,1,1, ,2806,62,03,1,07,040,2,2,2,3,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000003,001409.8627,02,2025,00304,074,02,02,02,2,61,2,24015,5,1,1, ,2806,52,47,1,06,048,2,2,2,3,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000004,001616.1016,02,2025,00304,074,05,01,01,2,41,2,60003,5,1,1, ,2806,52,47,1,04,028,2,2,2,3,2,028,20, , ,  , , ,    ,  ,  ,  ,1,2
000004,001417.4460,02,2025,00304,074,05,02,03,1,20,1,60002,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000004,001417.4460,02,2025,00304,074,05,03,03,1,19,1,34013,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000004,001417.4460,02,2025,00304,074,05,04,03,1,17,1,24015,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000004,001552.0569,02,2025,00304,074,05,05,02,1,43,2,24015,1, , , ,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000005,001683.8986,02,2025,00304,074,02,01,01,1,29,3,24012,5,1,1, ,2806,93,41,3,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000005,002007.8840,02,2025,00304,074,02,02,02,2,25,3,24015,5,1,1, ,2806,92,01,1,08,040,2,2,2,1,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000006,001723.7720,02,2025,00304,074,05,01,01,1,50,2,24015,5,1,1, ,2806,61,01,1,08,030,2,2,2,4,1,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000006,001616.1016,02,2025,00304,074,05,02,02,2,43,2,24013,5,1,1, ,2806,92,01,1,08,030,2,2,2,6,1,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000006,001417.4460,02,2025,00304,074,05,03,03,1,24,1,60714,5,1,1, ,2806,52,47,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000006,001417.4460,02,2025,00304,074,05,04,03,1,22,1,60716,5,1,1, ,2820,72,45,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000006,001417.4460,02,2025,00304,074,05,05,03,1,20,1,60002,5,1,1, ,2806,92,01,1,08,020,2,2,2,6,2,020,29, , ,  , , ,    ,  ,  ,  ,1,2
000007,001039.1721,02,2025,00304,074,01,01,01,1,62,4,10018,5,1,1, ,2806,61,01,1,08,040,2,2,2,4,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000008,001616.1016,02,2025,00304,074,01,01,01,2,42,1,60003,5,1,1, ,2806,52,47,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000009,001723.7720,02,2025,00304,074,02,01,01,1,49,2,24015,5,1,1, ,2812,83,49,1,08,048,1,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000009,001616.1016,02,2025,00304,074,02,02,02,2,41,2,24015,5,1,1, ,2806,92,01,1,08,040,2,2,2,1,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000010,001552.0569,02,2025,00304,074,05,01,01,1,42,2,24015,5,1,1, ,2806,61,01,1,08,030,2,2,2,4,1,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000010,001616.1016,02,2025,00304,074,05,02,02,2,36,2,24015,5,1,1, ,2806,92,01,1,08,030,2,2,2,6,1,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000010,001707.4018,02,2025,00304,074,05,03,04,2,17,1,35011,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000010,001707.4018,02,2025,00304,074,05,04,04,2,16,1,24015,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000010,002725.0104,02,2025,00304,074,05,05,03,1,07,1,10011, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000011,001039.1721,02,2025,00304,074,04,01,01,1,62,2,24015,5,1,1, ,2806,61,01,1,08,040,2,2,2,4,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000011,001409.8627,02,2025,00304,074,04,02,02,2,59,2,10018,5,1,1, ,2806,92,01,1,08,035,2,2,2,6,2,035,20, , ,  , , ,    ,  ,  ,  ,1,2
000011,001683.8986,02,2025,00304,074,04,03,03,1,32,2,60002,5,1,1, ,2806,93,41,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000011,002037.4247,02,2025,00304,074,04,04,10,2,08,1,10011, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000012,001552.0569,02,2025,00304,074,03,01,01,1,44,2,24015,5,1,1, ,2806,83,49,1,08,040,2,2,2,3,1,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000012,001616.1016,02,2025,00304,074,03,02,02,2,39,2,60002,5,1,1, ,2806,52,47,1,06,036,2,2,2,3,1,040,  , , ,  , , ,    ,  ,  ,  ,1,2
000012,002725.0104,02,2025,00304,074,03,03,03,1,08,1,10012, ,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  , , ,  , , ,    ,  ,  ,  , ,2
000013,001723.7720,02,2025,00304,074,02,01,01,1,51,6,24013,5,1,1, ,2806,83,49,1,08,048,2,2,2,1,2,048,  , , ,  , , ,    ,  ,  ,  ,1,2
000013,001417.4460,02,2025,00304,074,02,02,03,1,15,1,24011,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000014,001756.1609,02,2025,00304,074,03,01,01,2,54,4,10018,5,1,1, ,2806,52,56,1,05,038,2,2,2,3,1,043,  , , ,  , , ,    ,  ,  ,  ,1,2
000014,001683.8986,02,2025,00304,074,03,02,03,1,33,1,60411,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,1,2,  ,1,1,2016,02,91,96,2,2
000014,001417.4460,02,2025,00304,074,03,03,03,1,20,1,35013,5,2, ,2,    ,  ,  , ,  ,   , , , , , ,   ,  ,2, ,08, ,2,    ,  ,  ,  ,3,2
000015,001039.1721,02,2025,00304,074,03,01,01,1,60,2,24015,5,1,1, ,2806,61,01,1,08,040,2,2,2,4,2,040,  , , ,  , , ,    ,  ,  ,  ,1,2
