postId,link,text,timestamp,reactionLikeCount,reactionLoveCount,reactionSadCount,reactionAngryCount,reactionWowCount,reactionHahaCount,comments,translated_text
122162147102935198,,"#GreyhoundFreedomWall6907

(Rant)

While other universities in Naga highlight their recent LET topnotchers and strong passing rates, UNC continues to lean on achievements from nearly a decade ago. The last LET topnotchers the university produced were about 10 years ago, and since then, there has been little visible improvement in board performance. Instead of sustained progress, concerns remain about the support system for board takers and the overall effectiveness of review and preparation programs.

Admin 001: Tbh, STEd really need to step-up their game. Need nila mag-invest ulit sa tradional method of teaching if they want to play on the same playing field. Kaso nga, STEd right now is student-centric. Meaning, the students are the primary drivers if mag-topnotcher sila. There's no system that will push the students to really aim to be the top notchers. 

STEd is not raising horses this time. They're raising leaders who takes time and are not bound by societal standards.",1771174204,1.0,,,,,,,"#GreyhoundFreedomWall6907

(Rant)

While other universities in Naga highlight their recent LET topnotchers and strong passing rates, UNC continues to lean on achievements from nearly a decade ago. The last LET topnotchers the university produced were about 10 years ago, and since then, there has been little visible improvement in board performance. Instead of sustained progress, concerns remain about the support system for board takers and the overall effectiveness of review and preparation programs.

Admin 001: Tbh, STEd really need to step-up their game. Need nila mag-invest ulit sa tradional method of teaching if they want to play on the same playing field. Kaso nga, STEd right now is student-centric. Meaning, the students are the primary drivers if mag-topnotcher sila. There's no system that will push the students to really aim to be the top notchers. 

STEd is not raising horses this time. They're raising leaders who takes time and are not bound by societal standards."
122162146916935198,,"#GreyhoundFreedomWall6906

[Rant]

Its been days since we’ve learned anything from that one professor namen sa RLW, puro paactivity, alang tinuturo. Tapos edit nang edit ng assignment sa gclass, tapos ambaba magbigay ng grades pag hindi na meet yung requirements kasi madalang mag update. One time pa nga Inedit yung assignment 2 hours before the presentation eh, zero regards sa ibang students na may klase pa, including me.

Its really annoying pag ganto yung prof, puro schoolworks, zero teaching, tapos nag rrant lang pag nagka opportunity magsalita sa klase HAHAHA, I have my eyes on you Ma’am V. Please be a bit considerate, kung madami kang papagawa, at least be forgiving sa demands, or at least taasan ko naman mga ibinibigay mong grades. Kaloka ka.",1771174083,,,,,,8.0,,"#GreyhoundFreedomWall6906

[rant]

Its been days since we've learned anything from that one professor we had at RLW, pure paactivity, like teaching. Then edit after editing the assignment in gclass, then give grades if the requirements are no longer met because they rarely update. One time the assignment was even edited 2 hours before the presentation, zero regards to other students who still have class, including me.

Its really annoying when the prof is like this, all schoolwork, zero teaching, and then just ranting when he gets the opportunity to speak in class HAHAHA, I have my eyes on you Ma'am V. Please be a bit considerate, if you have a lot to do, at least be forgiving on the demands, or at least I will raise the grades you give. you are a fool"
122162146742935198,,"#GreyhoundFreedomWall6905

(Rant)
Foundation day pero regular class HAHAHAHAHAHAHA",1771174023,,,,,,35.0,,"#GreyhoundFreedomWall6905

(Rant)
Foundation day pero regular class HAHAHAHAHAHAHA"
122162146586935198,,"#GreyhoundFreedomWall6904

(RANT) 
hello, ask ko lang hindi din bah kayo na kaka connect sa wifi? di na gumagana yung password ko dati eh nag simula lang nung pag enroll ko, lahat ng mga kaklase ko di din maka connect sa wifi, batt ganon?",1771173963,,,,,,,1.0,"#GreyhoundFreedomWall6904

(RANT) 
Hello, I just want to ask if you are also connected to wifi? My password doesn't work anymore, it just started when I enrolled, all my classmates can't connect to the wifi, is that right?"
122162146466935198,,"#GreyhoundFreedomWall6903

[QUESTION]

EA!!!!! Sali tayo Chinese Garter!!!",1771173904,,1.0,,,,,,"#GreyhoundFreedomWall6903

[QUESTION]

EA!!!!! Sali tayo Chinese Garter!!!"
122162146202935198,,"#GreyhoundFreedomWall6902

(Help)

Hello po! I lost my school ID last family day po. Huhu it has cat keychain, inhaler, and the lower part is gone po. + I’m a shs female student po. If anyone has it po, please surrender it to the security office or comment down below po. Thank you po. 🥲🥲",1771173782,,,,,,,,"#GreyhoundFreedomWall6902

(Help)

Hello po! I lost my school ID last family day po. Huhu it has cat keychain, inhaler, and the lower part is gone po. + I’m a shs female student po. If anyone has it po, please surrender it to the security office or comment down below po. Thank you po. 🥲🥲"
122160893336935198,,"#GreyhoundFreedomWall6901

[confession]

sa babae na kumukuha ng id kanina paglabas nung nstp (secret kung alin basta may salamin) i just wanna say na ang ganda mo. kahit sayo na yung id ko oh",1770558543,1.0,,,,,6.0,2.0,"#GreyhoundFreedomWall6901

[confession]

sa babae na kumukuha ng id kanina paglabas nung nstp (secret kung alin basta may salamin) i just wanna say na ang ganda mo. even if my id is yours oh"
122160893216935198,,"#GreyhoundFreedomWall6900

(QUESTION,HELP)

Hi! I lost my top spiral notebook A5 size (panget mga sulat nun) sa NB or HS building (di ko na alam kung anong room bast po sa 2ndfloor lang). If ever nakita nyo po kindly react to this post po. THANKYOUSM!",1770558487,,,,,,,,"#GreyhoundFreedomWall6900

(QUESTION, HELP)

Hi! I lost my top spiral notebook A5 size (the letters are ugly) in the NB or HS building (I don't know which room it's on the 2nd floor). If you ever see it, kindly react to this post. THANKYOUSM!"
122160892790935198,,"#GreyhoundFreedomWall6899

(Rant)

Being treated as the least priority mismo ng UNC hurts—deeply and personally. Hindi lang ito pakiramdam; ipinaparamdam sa araw-araw na parang second-class lang kami. Parang laging optional ang School of Teacher Education—laging nasa huli pagdating sa suporta, resources, at boses sa mga desisyon.

What makes it painful is this: I chose to serve this institution through education. I give my time, my competence, my passion, and my belief that forming teachers matters. Pero paulit-ulit mong mararamdaman na sa mata ng unibersidad, hindi ka ganun kaimportante. Mataas ang inaasahan—accreditation, compliance, results, board performance—pero kapag support na ang usapan, biglang tahimik.

Nakakapanghina ng loob na ang kolehiyong naghuhubog ng mga guro—na magtuturo sa libo-libong estudyante sa hinaharap—ay siya pang hindi binibigyan ng sapat na halaga. Para bang sinasabi ng UNC: kayanin niyo na lang, sanay naman kayo, resilient naman kayo.

Pero tao rin kami. Napapagod din. Nasasaktan din.

Hindi ito rant para sa entitlement. Ito ay sigaw para sa dignidad. Para sa respeto. Para sa pagkilalang ang Teacher Education ay hindi appendage lang ng unibersidad, kundi pundasyon nito.

Minsan, masakit tanggapin na kahit mahal mo ang isang institusyon, hindi niya kayang mahalin ka pabalik sa parehong paraan.",1770558425,2.0,9.0,30.0,,,,,"#GreyhoundFreedomWall6899

(rant)

Being treated as the least priority by UNC hurts—deeply and personally. It's not just a feeling; making us feel second-class every day. School of Teacher Education seems to always be optional—always behind when it comes to support, resources, and voice in decisions.

What makes it painful is this: I chose to serve this institution through education. I give my time, my competence, my passion, and my belief that forming teachers matters. But you will repeatedly feel that in the eyes of the university, you are not that important. Expectations are high—accreditation, compliance, results, board performance—but when the conversation turns to support, suddenly it's quiet.

It is disheartening that the college that trains teachers—who will teach thousands of students in the future—is not valued enough. It's as if UNC is saying: just handle it, you're good at it, you're resilient.

But we are also human. Tired too. Hurts too.

This is not a rant for entitlement. It is a cry for dignity. For respect. For the recognition that Teacher Education is not just an appendage of the university, but its foundation.

Sometimes, it hurts to accept that even if you love an institution, it cannot love you back in the same way."
122160892502935198,,"#GreyhoundFreedomWall6898

rant and mental health
 Hi I'm a student and honestly why do I have to act a whole new different person in my classroom I just hate it when I get fun of by being myself they always hate when Im energetic and loud which I get but calling me as an ADHD or Acoustic person Is just wrong and I've been in this university for 9 years (2017) and I've never experienced like this before maybe because half of the students now are from public school and I respect the people here but calling me names and stuff by being me is weird I don't get why they do this for the sake of what? Entertainment and this hurts me because I love being friends with people but instead of that happening I get judged and people often say to me in private that they are uncomfortable with me just please say it o me personally and I will change. It just sucks that I have to act like someone in order to fit in with other poeple",1770558365,5.0,,22.0,,,,,"#GreyhoundFreedomWall6898

rant and mental health
 Hi I'm a student and honestly why do I have to act a whole new different person in my classroom I just hate it when I get fun of by being myself they always hate when Im energetic and loud which I get but calling me as an ADHD or Acoustic person Is just wrong and I've been in this university for 9 years (2017) and I've never experienced like this before maybe because half of the students now are from public school and I respect the people here but calling me names and stuff by being me is weird I don't get why they do this for the sake of what? Entertainment and this hurts me because I love being friends with people but instead of that happening I get judged and people often say to me in private that they are uncomfortable with me just please say it o me personally and I will change. It just sucks that I have to act like someone in order to fit in with other poeple"
