Provider Name,Graduates,Region,Province,Municipality,Municipality Code,lat,lon
"SAINT PETER ACADEMY OF ALEGRIA FOUNDATION, INC.",18,Region VII - Central Visayas,Cebu,Alegria,PH0702201,9.728589062,123.3402435
PESTALES AGRICULTURE COOPERATIVE INTEGRATED DIVERSIFIED FARM,35,Region VII - Central Visayas,Cebu,Argao,PH0702205,9.8813917,123.6085598
PESTALES AGRICULTURE COOPERATIVE INTEGRATED-DIVERSIFIED FARM,24,Region VII - Central Visayas,Cebu,Argao,PH0702205,9.8813917,123.6085598
TREETOPZ FARM ESCAPADE DIVERSIFIED FARM,132,Region VII - Central Visayas,Bohol,Alburquerque,PH0701201,9.6104193,123.956884
SEABREEZE TECHNICAL EDUCATION TRAINING AND ASSESSMENT CENTER INC.,45,Region VII - Central Visayas,Cebu,Argao,PH0702205,9.88333,123.53333
STECH TECHNICAL SKILLS TRAINING AND ASSESSMENT CENTER INC.,39,Region VII - Central Visayas,Cebu,Argao,PH0702205,9.884182,123.6047704
ASSEMBLE TRAINING AND ASSESSMENT CENTER INC.,50,Region VII - Central Visayas,Cebu,Asturias,PH0702206,10.5677403,123.7160037
"CEBU SOUTHWEST TECHNICAL COLLEGE, INC.",31,Region VII - Central Visayas,Cebu,Asturias,PH0702206,10.5677403,123.7160037
BALAMBAN COMMUNITY TRAINING CENTER,36,Region VII - Central Visayas,Cebu,Balamban,PH0702208,10.504892,123.7148228
BALAMBAN EXTENSIVE SKILLS AND TECHNOLOGY INC.,244,Region VII - Central Visayas,Cebu,Balamban,PH0702208,10.504892,123.7148228
CA-LIM TECH TRAINING & ASSESSMENT CENTER INC.,127,Region VII - Central Visayas,Bohol,Baclayon,PH0701205,9.622135,123.9130444
Provincial Training Center - (Bilar),299,Region VII - Central Visayas,Bohol,Bilar,PH0701208,9.7026491,124.1032814
BEST INC. INTEGRATED-DIVERSIFIED FARM,136,Region VII - Central Visayas,Cebu,Balamban,PH0702208,10.52635,123.72707
"DON BOSCO TECHNICAL VOCATIONAL EDUCATION AND TRAINING CENTER-BALAMBAN, INC.",93,Region VII - Central Visayas,Cebu,Balamban,PH0702208,10.5039,123.7156
"UNIVERSITY OF SAN JOSE - RECOLETOS, INC.",85,Region VII - Central Visayas,Cebu,Balamban,PH0702208,10.504892,123.7148228
ARMSON POLYTECHNIC INSTITUTE INC. INTEGRATED-DIVERSIFIED FARM,15,Region VII - Central Visayas,Cebu,Barili,PH0702210,10.10383,123.5426
"LYCEUM OF CEBU, INC.",60,Region VII - Central Visayas,Cebu,Barili,PH0702210,10.10955315,123.5046898
Provincial Training Center - Cebu (Carmen),334,Region VII - Central Visayas,Cebu,Carmen,PH0702215,10.60856,123.968361
"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC. (SKILLS)",60,Region VII - Central Visayas,Bohol,Buenavista,PH0701209,10.08388061,124.1124101
