,Institute Name,Total Graduates,Provider Name,lat,lon,Address,Municipality,Province
0,ADAO LEARNING INSTITUTE INC.,1945,ADAO LEARNING INSTITUTE INC.,14.3276464,121.4798659,"Brgy. San Diego, Gumaca,Quezon",Gumaca,Quezon
1,THE BIG FIVE TRAINING AND ASSESSMENT CENTER INC.,1695,THE BIG FIVE TRAINING AND ASSESSMENT CENTER INC.,14.0705233,121.323532096327,"Alirey Building, Along Baytown Road, Brgy. San Isidro, Angono, Rizal",Angono,Rizal
2,EAST AND WEST CENTER OF EXCELLENCE IN TRAINING CORPORATION,1615,EAST AND WEST CENTER OF EXCELLENCE IN TRAINING CORPORATION,14.064021,121.246619,"Brgy. Pantay, Calaca Batangas",Calaca,Batangas
3,TELECALL INSTITUTE OF TECHNOLOGY INC.,1288,TELECALL INSTITUTE OF TECHNOLOGY INC.,14.2795538,121.1235712,"Brgy. Rizal Poblacion, Gumaca, Quezon",Gumaca,Quezon
4,Colegio de Santo Cristo De Burgos Corporation,1187,Colegio de Santo Cristo De Burgos Corporation,13.9641558,121.5259188,"Lot 1 Block 16 Ambassador Neri Avenue, Blue Mountain Subd., Santa Cruz, Antipolo City, Rizal",Antipolo City,Rizal
5,RENAISSANCE SCHOOL OF SCIENCE AND TECHNOLOGY INC,1182,RENAISSANCE SCHOOL OF SCIENCE AND TECHNOLOGY INC,14.5151374,121.2380858,"Brgy. San Sebastian, Lipa City, Batangas",Lipa City,Batangas
6,AUTOZONE DRIVING SCHOOLINC.,1141,AUTOZONE DRIVING SCHOOLINC.,14.356264,121.060797,"Ground Floor Zirconstar Bldg., Ms. Philippines St., Barangay 11 (Pob.) Batangas City",Batangas City (Capital),Batangas
7,Computer Site Ins. Inc.,1112,Computer Site Ins. Inc.,14.3351955,121.050685505811,"De Vera St., Brgy. Daungan, Mauban, Quezon",Mauban,Quezon
8,"PHILIPPINE INDUSTRIAL EQUIPMENT TECHNICAL INSTITUTE, INC.",1110,"PHILIPPINE INDUSTRIAL EQUIPMENT TECHNICAL INSTITUTE, INC.",14.3091536041281,121.062963235516,"26 Legazpi St.,Brgy.San Roque,Zone 1 Tayabas,Quezon",Tayabas City,Quezon
9,LUCENA TECHNOLOGICAL INSTITUTE INCORPORATED,1102,LUCENA TECHNOLOGICAL INSTITUTE INCORPORATED,13.780007,122.293543,"587-C M.H. Del Pilar Ext., Brgy. San Isidro, Antipolo City",Antipolo City,Rizal
10,DIVINE MERCY INTERNATIONAL INSTITUTE INC.   ,1099,DIVINE MERCY INTERNATIONAL INSTITUTE INC.   ,14.2036411,120.9662949,"Balitoc, Calatagan, Batangas",Calatagan,Batangas
11,SYNERGY ASSESSMENT & TRAINING CENTER,1034,SYNERGY ASSESSMENT & TRAINING CENTER,14.0574383,121.154305547573,"Zone 1Real Street, Longos, Kalayaan, Laguna",Kalayaan,Laguna
12,LE PRIME INSTITUTE OF TECHNOLOGY INC.,910,LE PRIME INSTITUTE OF TECHNOLOGY INC.,13.9411,121.1631,"# 52 Sitio Binakuran, Barangay Matalatala, Mabitac, Laguna",Mabitac,Laguna
13,Regional Training Center - CALABARZON,871,Regional Training Center - CALABARZON,13.7618624,121.0639026,"142 Manabat St. Brgy. San Antonio, Biñan Laguna",City of Biñan,Laguna
14,SYLVRE AGRI-FARM & ASSESSMENT CENTER INC.,793,SYLVRE AGRI-FARM & ASSESSMENT CENTER INC.,14.42406665,121.44859313684,"Puting Kahoy, Silang, Cavite",Silang,Cavite
15,SP CASTRO CONSTRUCTION SERVICES,773,SP CASTRO CONSTRUCTION SERVICES,13.9716151,121.6864374,"9022 F Reyes St., Purok 6, Balibago, Santa Rosa, Laguna",City of Santa Rosa,Laguna
16,ST. MARK SKILLS TRAINING INSTITUTE INC.,768,ST. MARK SKILLS TRAINING INSTITUTE INC.,14.7469297,121.6495987,"Brgy. Ilog, Magdalena, Institute",Magdalena,Laguna
17,EXCELSIOR CENTER FOR EXCELLENCE INC.,766,EXCELSIOR CENTER FOR EXCELLENCE INC.,14.0472848,121.157631,"Km. 89 Alfonso-Maragondon Road, Brgy. Pantihan 2, Maragondon, Cavite",Maragondon,Cavite
18,KAMELO MANPOWER SKILLS DEVELOPMENT CENTER INC.,737,KAMELO MANPOWER SKILLS DEVELOPMENT CENTER INC.,13.7401779,121.07141942865,"Brgy. Bigo, Pagbilao, Quezon",Pagbilao,Quezon
19,RUBIKS MANPOWER TRAINING CENTER INC.,716,RUBIKS MANPOWER TRAINING CENTER INC.,13.9411,121.1631,"#33 Ground Floor G & C A. Mabini Santo, City of San Pedro, Laguna",City of San Pedro,Laguna
20,Skillful Training and Assessment Center Inc.,715,Skillful Training and Assessment Center Inc.,13.8899926,120.9100879,"Block 4 Lot 5 Burgos Street, Phase 4, Barangay San Isidro, Vista Verde, Executive Village, Cainta, Rizal",Cainta,Rizal
21,GOALS TRAINING AND ASSESSMENT INSTITUTE INC.,681,GOALS TRAINING AND ASSESSMENT INSTITUTE INC.,13.9411,121.1631,"#3-251 Tabon St.,St. Joseph Village, Panapaan 3, Bacoor City, Cavite",Bacoor City,Cavite
22,"LEMERY COLLEGES, INC.",673,"LEMERY COLLEGES, INC.",13.8802367,120.9134049,Rizal St. Pagsanjan.Laguna,Pagsanjan,Laguna
23,"PR1ME INSTITUTE FOR SKILLS DEVELOPMENT AND ASSESSMENT CENTER, INC.",638,"PR1ME INSTITUTE FOR SKILLS DEVELOPMENT AND ASSESSMENT CENTER, INC.",14.2666926,121.4234048,"Poblacion Ibaba, Angono, Rizal",Angono,Rizal
24,"COLLEGE OF SAN BENILDO-RIZAL FOUNDATION, INC.",623,"COLLEGE OF SAN BENILDO-RIZAL FOUNDATION, INC.",14.62245,121.1253,"170 Claro M. Recto St., Brgy. 9, Lucena City",Lucena City,Quezon
25,TESDA-LLDA PROVINCIAL TRAINING CENTER,587,TESDA-LLDA PROVINCIAL TRAINING CENTER,14.1453986,121.3149851,"Blk. 4 Lot 29 and 30, 3rd and 4th Floor K-ANN Bldg., Congressional Road, South Avenue, Burol II, City of Dasmariñas, Cavite",City of Dasmariñas,Cavite
26,LORD YAHWEH BUSINESS COLLEGES AND MARITIME ACADEMY INCORPORATED,584,LORD YAHWEH BUSINESS COLLEGES AND MARITIME ACADEMY INCORPORATED,14.4004404,121.469726,"26 Martinez St., Brgy. San Roque, Antipolo City, Rizal",Antipolo City,Rizal
27,EQUINOX TRAINING CENTER INC.,560,EQUINOX TRAINING CENTER INC.,13.87458515,120.970954704513,"Fueven Bldg., Doña Carmen De Luna St., Brgy. 6, Catanauan, Quezon",Catanauan,Quezon
28,LAGUNA COLLEGE OF ARTS AND TECHNOLOGY INC.,551,LAGUNA COLLEGE OF ARTS AND TECHNOLOGY INC.,14.1844134,121.3335882,"OLINSTERG Bldg., Maharlika Highway, Poblacion 3, Tiaong, Quezon",Tiaong,Quezon
29,Jacobo Z. Gonzales Memorial School of Arts and Trades,533,Jacobo Z. Gonzales Memorial School of Arts and Trades,14.3374626,121.089340396808,"W.D Villanueva Business Center Cirmont Avenue Andrea Village 2, P.F Espiritu VII, Bacoor City, Cavite",Bacoor City,Cavite
30,R AND R SKILLS TRAINING CENTER INC.,515,R AND R SKILLS TRAINING CENTER INC.,14.1604435,121.6378504,"DICT Compound Telecom Road, Capitol Site Barangay Kumintang Ibaba, Batangas City",Batangas City (Capital),Batangas
31,ANGELITA V. DEL MUNDO FOUNDATION,504,ANGELITA V. DEL MUNDO FOUNDATION,14.2733618,121.4489991,"312 B. A Ibanez Street. Brgy. San Vicente, Angono, Rizal",Angono,Rizal
