Institution Name,City,Province,Region,Reg,Qualification,IsConstruction,Is_Development,Is_Assessment,Trainer Count,Enrolled,Graduates,Number of Accredited Ass Qual,Assessed,Certified
PHILIPPINE CALL CENTER INSTITUTE INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,17,2569,2773,0,0,0
EAST AND WEST CENTER OF EXCELLENCE IN TRAINING CORPORATION,Alaminos,Laguna,Region IVA - CALABARZON,4A,Contact Center Services NC II,FALSE,1,0,8,1792,1615,0,0,0
HYPER YOUNG INSTITUTE OF TECHNOLOGY INC.,Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,1,6,1256,1238,1,969,908
CARENET HEALTHCARE INSTITUTE INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Barista NC II,FALSE,1,1,8,1115,1180,1,567,556
THE BIG FIVE TRAINING AND ASSESSMENT CENTER INC.,San Pablo City,Laguna,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,1,4,1276,1025,1,821,821
SOUTHERN INSTITUTE OF MARITIME STUDIES-MANILA INC.,"Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Ship's Catering Services NC I,FALSE,1,0,5,1019,1010,0,0,0
TECHVOC SKILLS INC.,"Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Contact Center Services NC II,FALSE,1,0,4,858,941,0,0,0
"MINDTECH TRAINING & DEVELOPMENT INSTITUTE, INC.",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,2,764,930,0,0,0
"NATIONAL INSTITUTE FOR TECHNICAL AND VOCATIONAL CAREERS, INC. ",Quezon City,Quezon City,National Capital Region (NCR),NCR,Barista NC II,FALSE,1,0,5,770,860,0,0,0
RMC EAGLES TRAINING AND ASSESSMENT CENTER INC.,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Driving NC II,FALSE,1,1,3,768,811,1,673,672
CARENET HEALTHCARE INSTITUTE INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Hilot (Wellness Massage) NC II,FALSE,1,1,7,742,765,1,337,337
TRIPLE K'S EAST CAPITOL KITCHEN CORP. DOING BUSINESS UNDER THE NAME AND STYLE OF SPICES AND HERBS TR,Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,3,691,727,1,496,488
TELECALL INSTITUTE OF TECHNOLOGY INC.,Cabuyao,Laguna,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,1,0,3,706,706,0,0,0
ADAO LEARNING INSTITUTE INC.,Kalayaan,Laguna,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,1,6,727,704,1,438,438
Quezon City Lingkod Bayan Skills Development Center,Quezon City,Quezon City,National Capital Region (NCR),NCR,Driving NC II,FALSE,1,0,4,608,645,0,0,0
"MINDTECH TRAINING & DEVELOPMENT INSTITUTE, INC.",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,2,644,642,0,0,0
TECHVOC SKILLS INC.,"Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Tile Setting NC II,TRUE,1,0,5,804,617,0,0,0
"UNO CAREGIVER AND DOMESTIC MNGT TRAINING, INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,1,1,5,600,615,1,558,558
FAR EAST MARITIME FOUNDATION INC.,"Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Ship's Catering Services NC I,FALSE,1,0,3,616,614,0,0,0
CENTER FOR INTERNATIONAL INDUSTRIES COMPETENCE CORP.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Contact Center Services NC II,FALSE,1,0,4,312,599,0,0,0
LUCENA TECHNOLOGICAL INSTITUTE INCORPORATED,Lucena City,Quezon,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,1,14,434,591,1,485,470
TELECALL INSTITUTE OF TECHNOLOGY INC.,Cabuyao,Laguna,Region IVA - CALABARZON,4A,Contact Center Services NC II,FALSE,1,0,5,522,582,0,0,0
TRIPLE K'S EAST CAPITOL KITCHEN CORP. DOING BUSINESS UNDER THE NAME AND STYLE OF SPICES AND HERBS TR,Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,1,3,458,571,1,612,612
"ASIA PACIFIC CAREGIVER & HEALTHCARE TRAINING CENTER, INC.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,1,3,738,556,1,196,196
"PHILIPPINE INDUSTRIAL EQUIPMENT TECHNICAL INSTITUTE, INC.",City of Biñan,Laguna,Region IVA - CALABARZON,4A,Heavy Equipment Operation (Hydraulic Excavator) NC II,TRUE,1,0,3,531,554,0,0,0
SYLVRE AGRI-FARM & ASSESSMENT CENTER INC.,Siniloan,Laguna,Region IVA - CALABARZON,4A,Rice Machinery Operations NC II,FALSE,1,0,6,463,551,0,0,0
B AND B ACADEMY FOR SKILLS TRAINING AND ASSESSMENT INC.,Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,2,521,538,1,361,360
"PHILIPPINE INDUSTRIAL EQUIPMENT TECHNICAL INSTITUTE, INC.",City of Biñan,Laguna,Region IVA - CALABARZON,4A,Heavy Equipment Operation (Forklift) NC II,TRUE,1,0,4,504,531,0,0,0
MUNTIPARLASTAPAT DISTRICT TRAINING AND ASSESSMENT CENTER,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Driving NC II,FALSE,1,1,2,292,524,1,322,300
RMC EAGLES TRAINING AND ASSESSMENT CENTER INC.,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,1,3,609,507,1,113,112
"SLDM COLLEGES OF QUEZON CITY, INC. ",Quezon City,Quezon City,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,2,453,505,0,0,0
B AND B ACADEMY FOR SKILLS TRAINING AND ASSESSMENT INC.,Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Tourism Promotion Services NC II,FALSE,1,1,1,220,499,1,323,316
Colegio de Santo Cristo De Burgos Corporation,Sariaya,Quezon,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,0,5,514,499,0,0,0
DIVINE MERCY INTERNATIONAL INSTITUTE INC.   ,Silang,Cavite,Region IVA - CALABARZON,4A,Barista NC II,FALSE,1,0,4,469,497,0,0,0
ADAO LEARNING INSTITUTE INC.,Kalayaan,Laguna,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,1,1,5,508,481,1,595,585
"High Vision Training Center, Inc.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,1,0,4,447,480,0,0,0
LE PRIME INSTITUTE OF TECHNOLOGY INC.,Lipa City,Batangas,Region IVA - CALABARZON,4A,Events Management Services NC III,FALSE,1,1,2,401,479,1,797,773
"ASIANTOUCH INTERNATIONAL TRAINING INSTITUTE, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,3,590,478,1,316,316
HORIZONS INSTITUTE OF TECHNOLOGY CORPORATION,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,2,406,462,1,252,252
ASIAN SCHOOL OF ADVANCED TECHNOLOGY INC.,Bacoor City,Cavite,Region IVA - CALABARZON,4A,Caregiving (Elderly) NC II,FALSE,1,0,3,401,462,0,0,0
A1VENTURES TECHNICAL AND VOCATIONAL ACADEMY INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,4,471,461,0,0,0
D' RISING SUN TRAINING CENTER PHILS. INC.,Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Slaughtering Operations (Swine) NC II,FALSE,1,0,3,417,458,0,0,0
Computer Site Ins. Inc.,San Pedro,Laguna,Region IVA - CALABARZON,4A,Contact Center Services NC II,FALSE,1,0,3,557,457,0,0,0
A1VENTURES TECHNICAL AND VOCATIONAL ACADEMY INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,2,550,452,0,0,0
