Qualification,SECTOR
Bread and Pastry Production NC II,TOURISM SECTOR
Contact Center Services NC II,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT) SECTOR
Tile Setting NC II,CONSTRUCTION SECTOR
Domestic Work NC II,"HEALTH, SOCIAL, AND OTHER COMMUNITY DEVELOPMENT SERVICES SECTOR"
Shielded Metal Arc Welding (SMAW) NC II,METALS AND ENGINEERING SECTOR
Barista NC II,TOURISM SECTOR
Electrical Installation and Maintenance NC II,ELECTRICAL & ELECTRONICS SECTOR
Driving NC II,AUTOMOTIVE AND LAND TRANSPORT SECTOR
Mechatronics Servicing NC II,ELECTRICAL & ELECTRONICS SECTOR
Ship's Catering Services NC I,MARITIME SECTOR
Carpentry NC II,CONSTRUCTION SECTOR
Hilot (Wellness Massage) NC II,"HEALTH, SOCIAL, AND OTHER COMMUNITY DEVELOPMENT SERVICES SECTOR"
Organic Agriculture Production NC II,"AGRICULTURE, FORESTRY AND FISHERY SECTOR"
Bookkeeping NC III,"HEALTH, SOCIAL, AND OTHER COMMUNITY DEVELOPMENT SERVICES SECTOR"
Shielded Metal Arc Welding (SMAW) NC I,METALS AND ENGINEERING SECTOR
Computer Systems Servicing NC II,ELECTRICAL & ELECTRONICS SECTOR
Electronic Products Assembly and Servicing NC II,ELECTRICAL & ELECTRONICS SECTOR
Cookery NC II,TOURISM SECTOR
PV Systems Installation NC II,CONSTRUCTION SECTOR
Events Management Services NC III,TOURISM SECTOR
Programming (Java) NC III,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT) SECTOR
Heavy Equipment Operation (Forklift) NC II,CONSTRUCTION SECTOR
Food and Beverage Services NC II,TOURISM SECTOR
Caregiving (Elderly) NC II,"HEALTH, SOCIAL, AND OTHER COMMUNITY DEVELOPMENT SERVICES SECTOR"
Heavy Equipment Operation (Hydraulic Excavator) NC II,CONSTRUCTION SECTOR
Shielded Metal Arc Welding (SMAW) NC III,METALS AND ENGINEERING SECTOR
Mechatronics Servicing NC III,ELECTRICAL & ELECTRONICS SECTOR
Dressmaking NC II,GARMENTS SECTOR
Gas Metal Arc Welding (GMAW) NC II,METALS AND ENGINEERING SECTOR
Housekeeping NC II,TOURISM SECTOR
Bartending NC II,TOURISM SECTOR
Visual Graphic Design NC III,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT) SECTOR
Trainers Methodology Level I,TVET SECTOR
Ships' Catering (Ships' Cooks) NC III,MARITIME SECTOR
Scaffolding Works (Supported Type Scaffold) NC II,CONSTRUCTION SECTOR
Front Office Services NC II,TOURISM SECTOR
Housekeeping NC III,TOURISM SECTOR
Heavy Equipment Operation (Wheel Loader) NC II,CONSTRUCTION SECTOR
Plumbing NC I,CONSTRUCTION SECTOR
Mechatronics Servicing NC IV,ELECTRICAL & ELECTRONICS SECTOR
Food and Beverage Services NC III,TOURISM SECTOR
Caregiving NC II,"HEALTH, SOCIAL, AND OTHER COMMUNITY DEVELOPMENT SERVICES SECTOR"
Automotive Servicing NC I,AUTOMOTIVE AND LAND TRANSPORT SECTOR
Electrical Installation and Maintenance NC III,ELECTRICAL & ELECTRONICS SECTOR
Tourism Promotion Services NC II,TOURISM SECTOR
Construction Painting NC II,CONSTRUCTION SECTOR
Pipefitting (Metallic) NC II,CONSTRUCTION SECTOR
Gas Metal Arc Welding (GMAW) NC I,METALS AND ENGINEERING SECTOR
RAC Servicing (DomRAC) NC II,"HEATING, VENTILATION, AIR CONDITIONING AND REFRIGERATION"
Gas Tungsten Arc Welding (GTAW) NC II,METALS AND ENGINEERING SECTOR
Health Care Services NC II,"HEALTH, SOCIAL, AND OTHER COMMUNITY DEVELOPMENT SERVICES SECTOR"
Agricultural Crops Production NC II,"AGRICULTURE, FORESTRY AND FISHERY SECTOR"
Automotive Servicing (Engine Repair) NC II,AUTOMOTIVE AND LAND TRANSPORT SECTOR
Commercial Cooking NC IV,TOURISM SECTOR
Commercial Cooking NC III,TOURISM SECTOR
Massage Therapy NC II,"HEALTH, SOCIAL, AND OTHER COMMUNITY DEVELOPMENT SERVICES SECTOR"
Commercial Air-conditioning Installation and Servicing NC III,"HEATING, VENTILATION, AIR CONDITIONING AND REFRIGERATION"
Pharmacy Services NC III,"HEALTH, SOCIAL, AND OTHER COMMUNITY DEVELOPMENT SERVICES SECTOR"
Travel Services NC II,TOURISM SECTOR
Flux-Cored Arc Welding (FCAW) NC II,METALS AND ENGINEERING SECTOR
Plumbing NC II,CONSTRUCTION SECTOR
Electrical Installation and Maintenance NC IV,ELECTRICAL & ELECTRONICS SECTOR
Trainers Methodology Level II,TVET SECTOR
Driving (Passenger Bus/Straight Truck) NC III,AUTOMOTIVE AND LAND TRANSPORT SECTOR
Motorcycle/Small Engine Servicing NC II,AUTOMOTIVE AND LAND TRANSPORT SECTOR
Web Development NC III,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT) SECTOR
Instrumentation and Control Servicing NC II,ELECTRICAL & ELECTRONICS SECTOR
