,Job Title,Educational Qualification,Job Sector,Educational Pathway,HEI with PRC Exam,Some HEI,Job Subsector,PSOC Code,ISCO Code,SOC Code,SOC Title,SOC Codes,SOC Titles,AIOE,Complementarity,AI Risk Classification
0,Operations Assistant,Bachelor in Business Engineering,Administrative and Support Service Activities,Higher Education,No,Yes,Office administrative and support activities,3343,3343,43-6011.00,Executive Secretaries and Executive Administrative Assistants,"['27-3092.00', '43-6011.00']","['Court Reporters and Simultaneous Captioners', 'Executive Secretaries and Executive Administrative Assistants']",0.567630060812383,0.5261111111111111,Automated
1,Junior Business News Writer,Bachelor in Business Journalism,Information and Communication,Higher Education,No,No,"Publishing of books, periodicals and other publishing activities",2642,2642,27-3023.00,"News Analysts, Reporters, and Journalists","['27-3023.00', '27-3041.00']","['News Analysts, Reporters, and Journalists', 'Editors']",0.8767206131646967,0.6397222222222223,Augmented
2,Logistics Assistant,Bachelor in Port Administration,Transportation and Storage,Higher Education,No,Yes,Support activities for transportation,4321,4321,43-5071.00,"Shipping, Receiving, and Inventory Clerks","['43-5071.00', '53-7065.00', '43-5111.00']","['Shipping, Receiving, and Inventory Clerks', 'Stockers and Order Fillers', 'Weighers, Measurers, Checkers, and Samplers, Recordkeeping']",-0.852355785236329,0.5663888888888888,Not Affected
3,Financial Auditor,Bachelor of Accountancy,Financial and Insurance Activities,Higher Education,Yes,No,"Accounting, bookkeeping and auditing activities; tax consultancy",2411,2411,13-2011.00,Accountants and Auditors,"['13-2011.00', '13-2031.00', '13-2082.00']","['Accountants and Auditors', 'Budget Analysts', 'Tax Preparers']",1.3450020562734766,0.5719444444444445,Automated
4,Tax Accountant,Bachelor of Accounting Technology,Financial and Insurance Activities,Higher Education,Yes,No,"Accounting, bookkeeping and auditing activities; tax consultancy",2411,2411,13-2082.00,Tax Preparers,"['13-2011.00', '13-2031.00', '13-2082.00']","['Accountants and Auditors', 'Budget Analysts', 'Tax Preparers']",1.3450020562734766,0.5719444444444445,Automated
5,Agribusiness Assistant,Bachelor of Agricultural Entrepreneurship,"Agriculture, Forestry, and Fishing",Higher Education,No,Yes,Support activities to agriculture and post-harvest crop activities,5246,5246,35-3023.00,Fast Food and Counter Workers,"['35-3023.00', '35-3023.01', '35-3023.00', '35-3023.01', '35-9011.00']","['Fast Food and Counter Workers', 'Baristas', 'Fast Food and Counter Workers', 'Baristas', 'Dining Room and Cafeteria Attendants and Bartender Helpers']",-0.5890302485072464,0.5561111111111111,Not Affected
6,Agricultural Laboratory Assistant,Bachelor of Agricultural Technology,"Agriculture, Forestry, and Fishing",Higher Education,No,Yes,Support activities to agriculture and post-harvest crop activities,3359,3359,45-2011.00,Agricultural Inspectors,['45-2011.00'],['Agricultural Inspectors'],0.0711303766439146,0.5997222222222222,Not Affected
7,Agricultural Extension Officer,Bachelor of Agriculture,"Agriculture, Forestry, and Fishing",Higher Education,Yes,No,Support activities to agriculture and post-harvest crop activities,3143,3143,19-4071.00,Forest and Conservation Technicians,['19-4071.00'],['Forest and Conservation Technicians'],-0.7727476275783224,0.7088888888888888,Not Affected
8,Urban Forestry Aide,Bachelor of Agriforestry Technology,"Agriculture, Forestry, and Fishing",Higher Education,Yes,No,Silviculture and other forestry activities,2132,2132,19-1032.00,Foresters,"['19-1013.00', '19-1032.00', '25-9021.00']","['Soil and Plant Scientists', 'Foresters', 'Farm and Home Management Educators']",0.4926832402408863,0.7025,Augmented
9,Store Display Assistant,Bachelor of Applied Arts,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Higher Education,No,Yes,Retail sale of cultural and recreation goods in specialized stores,5242,5242,41-9011.00,Demonstrators and Product Promoters,['41-9011.00'],['Demonstrators and Product Promoters'],0.0238673583303499,0.5322222222222223,Not Affected
10,Sign Language Teaching Aide,Bachelor of Applied Deaf Studies,Education,Higher Education,No,Yes,Other Education,2643,2643,27-3091.00,Interpreters and Translators,"['19-3099.00', '19-3099.01', '27-3091.00']","['Social Scientists and Related Workers, All Other', 'Transportation Planners', 'Interpreters and Translators']",1.2714488780375863,0.5886111111111111,Automated
11,Junior Project Coordinator,Bachelor of Applied Science,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,"Other professional, scientific and technical activities, n.e.c.",3412,3412,21-1093.00,Social and Human Service Assistants,['21-1093.00'],['Social and Human Service Assistants'],0.7040484605627692,0.6691666666666666,Augmented
12,Architectural Drafter,Bachelor of Architectural Drafting,"Professional, Scientific and Technical Activities",Higher Education,Yes,No,Architectural and engineering activities and related technical consultancy,3118,3118,17-3011.00,Architectural and Civil Drafters,"['17-3011.00', '17-3012.00', '17-3013.00', '17-3019.00', '27-1013.00']","['Architectural and Civil Drafters', 'Electrical and Electronics Drafters', 'Mechanical Drafters', 'Drafters, All Other', 'Fine Artists, Including Painters, Sculptors, and Illustrators']",0.5463691615858944,0.5516666666666666,Automated
13,Junior Architectural Technologist,Bachelor of Architectural Engineering Technology,"Professional, Scientific and Technical Activities",Higher Education,Yes,No,Architectural and engineering activities and related technical consultancy,2161,2161,17-1011.00,"Architects, Except Landscape and Naval",['17-1011.00'],"['Architects, Except Landscape and Naval']",0.9883662038987108,0.6747222222222223,Augmented
14,Research Associate – Public Affairs,Bachelor of Arts and Sciences in Political Science,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,"Other professional, scientific and technical activities, n.e.c.",2432,2432,27-3031.00,Public Relations Specialists,['27-3031.00'],['Public Relations Specialists'],1.1520491300591629,0.6141666666666666,Automated
