Sector,Course,Link,Hours,Core,Common,Basic,Elective,Codes
"Agriculture, Fishery and Forestry",Agricultural Crops Production NC I,https://tesdatrainingcourses.com/agricultural-crops-production-nc-i.html,302,"[{'AGR611306': 'Support horticultural crop work'}, {'AGR611307': 'Support nursery work'}, {'AGR611308': 'Support agronomic crop work'}, {'AGR611309': 'Support irrigation work'}]","[{'AGR321201': 'Apply safety measures in farm operations'}, {'AGR321202': 'Use farm tools and equipment'}, {'AGR321203': 'Perform estimation and calculations'}, {'AGR321204': 'Apply basic first aid'}]","[{'500311101': 'Receive and respond to workplace communication'}, {'500311102': 'Work with others'}, {'500311103': 'Demonstrate work values'}, {'500311104': 'Practice basic housekeeping procedures'}]",[],"['AGR611306', 'AGR611307', 'AGR611308', 'AGR611309', 'AGR321201', 'AGR321202', 'AGR321203', 'AGR321204', '500311101', '500311102', '500311103', '500311104']"
"Agriculture, Fishery and Forestry",Agricultural Crops Production NC II,https://tesdatrainingcourses.com/agricultural-crops-production-nc-ii.html,336,"[{'AFF610301': 'Perform nursery operations'}, {'AFF610302': 'Plant crops'}, {'AFF610303': 'Care and maintain crops'}, {'AFF610304': 'Carry-out harvest and postharvest operations'}]","[{'AFF321201': 'Apply safety measures in farm operations'}, {'AFF321202': 'Use farm tools and equipment'}, {'AFF321203': 'Perform estimation and calculations'}, {'AFF321206': 'Process farm wastes'}, {'SOC413206': 'Perform record keeping'}]","[{'500311105': 'Participate in workplace communication'}, {'500311106': 'Work in a team environment'}, {'500311107': 'Practice career professionalism'}, {'500311108': 'Practice occupational health and safety procedures'}]",[],"['AFF610301', 'AFF610302', 'AFF610303', 'AFF610304', 'AFF321201', 'AFF321202', 'AFF321203', 'AFF321206', 'SOC413206', '500311105', '500311106', '500311107', '500311108']"
"Agriculture, Fishery and Forestry",Agricultural Crops Production NC III,https://tesdatrainingcourses.com/agricultural-crops-production-nc-iii.html,445,"[{'AGR611310': 'Prepare land for agricultural crop production'}, {'AGR611311': 'Implement post-harvest program'}, {'AGR611312': 'Implement plant nutrition program'}, {'AGR611313': 'Control weeds'}, {'AGR611320': 'Establish agronomic crops'}, {'AGR611321': 'Undertake agronomic crop maintenance activities'}, {'AGR611322': 'Undertake agronomic crop harvesting activities'}, {'AGR611323': 'Save, prepare and store agricultural seed'}, {'AGR611324': 'Implement vertebrate pest control program'}]","[{'AGR321201': 'Apply safety measures in farm operations'}, {'AGR321202': 'Use farm tools and equipment'}, {'AGR321203': 'Perform estimation and calculations'}]","[{'500311109': 'Lead workplace communication'}, {'500311110': 'Lead small teams'}, {'500311111': 'Develop and practice negotiation skills'}, {'500311112': 'Solve problems related to work activities'}, {'500311113': 'Use mathematical concepts and techniques'}, {'500311114': 'Use relevant technologies'}]","[{'AGR611325': 'Follow site quarantine procedures'}, {'AGR611326': 'Collect samples for a rural production or horticultural monitoring program'}, {'AGR611327': 'Handle bulk materials in storage area'}, {'AGR611328': 'Prepare grain storage'}, {'AGR611329': 'Comply with industry quality assurance requirements'}, {'AGR611330': 'Maintain and monitor environmental work practices'}, {'AGR611331': 'Keep records for farm business'}, {'AGR611332': 'Perform specialized machinery maintenance'}, {'AGR611333': 'Install irrigation systems'}]","['AGR611310', 'AGR611311', 'AGR611312', 'AGR611313', 'AGR611320', 'AGR611321', 'AGR611322', 'AGR611323', 'AGR611324', 'AGR321201', 'AGR321202', 'AGR321203', '500311109', '500311110', '500311111', '500311112', '500311113', '500311114', 'AGR611325', 'AGR611326', 'AGR611327', 'AGR611328', 'AGR611329', 'AGR611330', 'AGR611331', 'AGR611332', 'AGR611333']"
"Agriculture, Fishery and Forestry",Agricultural Machinery Operations NC II,https://tesdatrainingcourses.com/agricultural-machinery-operation-nc-ii.html,284,"[{'AFF834367': 'Operate agricultural small production machinery and equipment'}, {'AFF834368': 'Operate agricultural large production machinery and equipment'}, {'AFF834369': 'Operate agricultural post-production machinery and equipment'}]","[{'AGR321201': 'Apply Safety Measures in Farm Operations'}, {'AGR321202': 'Use Farm Tools and Equipment'}, {'AGR321203': 'Perform Estimation and Basic Calculation'}]","[{'500311105': 'Participate in workplace communication'}, {'500311106': 'Work in team environment'}, {'500311107': 'Practice career professionalism'}, {'500311108': 'Practice occupational health and safety procedures'}]",[],"['AFF834367', 'AFF834368', 'AFF834369', 'AGR321201', 'AGR321202', 'AGR321203', '500311105', '500311106', '500311107', '500311108']"
"Agriculture, Fishery and Forestry",Agricultural Machinery Servicing (4-Wheel Tractor) NC III,https://tesdatrainingcourses.com/agricultural-machinery-servicing-nc-iii.html,847*,"[{'AFF723303': 'Diagnose and Repair Electrical Systems of 4-Wheel Tractor'}, {'AFF723304': 'Diagnose and Repair Engine System of 4-Wheel Tractor'}, {'AFF723305': 'Diagnose and Repair Axle System of 4-Wheel Tractor'}, {'AFF723306': 'Diagnose and Repair Hydraulic System of 4-Wheel Tractor'}, {'AFF723307': 'Diagnose and Repair Transmission System of 4-Wheel Tractor'}]","[{'AFF321201': 'Apply safety measures in farm operations'}, {'AFF321202': 'Use farm servicing tools and equipment'}, {'AFF321203': 'Perform estimation and calculations'}, {'AFF321205': 'Process farm wastes'}, {'SOC413206': 'Maintain service records'}, {'AFF723201': 'Conduct Diagnosis'}, {'AFF723202': 'Perform Shop Maintenance'}]","[{'400311319': 'Lead workplace communication'}, {'400311320': 'Lead small teams'}, {'400311321': 'Apply critical thinking and problem-solving techniques in the workplace'}, {'400311322': 'Work in a diverse environment'}, {'400311323': 'Propose methods of applying learning and innovation in the organization'}, {'400311324': 'Use information systematically'}, {'400311325': 'Evaluate occupational safety and health work practices'}, {'400311326': 'Evaluate environmental work practices'}, {'400311327': 'Facilitate entrepreneurial skills for micro-small-medium enterprises (MSMEs)'}]",[],"['AFF723303', 'AFF723304', 'AFF723305', 'AFF723306', 'AFF723307', 'AFF321201', 'AFF321202', 'AFF321203', 'AFF321205', 'SOC413206', 'AFF723201', 'AFF723202', '400311319', '400311320', '400311321', '400311322', '400311323', '400311324', '400311325', '400311326', '400311327']"
"Agriculture, Fishery and Forestry",Agroentrepreneurship NC II,https://tesdatrainingcourses.com/agroentrepreneurship-nc-ii.html,239,"[{'AFF243301': 'Assess Market Opportunities'}, {'AFF243302': 'Establish Farm Production Plan'}, {'AFF243303': 'Handle Finances'}, {'AFF243304': 'Market Produce'}]","[{'AFF321201': 'Apply safety measures in farm operations'}, {'AFF321203': 'Perform Estimation and Basic Calculation'}, {'HCS421201': 'Provide Quality Customer Service'}, {'HCS315202': 'Comply with Quality and Ethical Standards'}]","[{'500311105': 'Participate in workplace communication'}, {'500311106': 'Work in a team environment'}, {'500311107': 'Practice career professionalism'}, {'500311108': 'Practice occupational health and safety procedures'}]",[],"['AFF243301', 'AFF243302', 'AFF243303', 'AFF243304', 'AFF321201', 'AFF321203', 'HCS421201', 'HCS315202', '500311105', '500311106', '500311107', '500311108']"
"Agriculture, Fishery and Forestry",Agroentrepreneurship NC III,https://tesdatrainingcourses.com/agroentrepreneurship-nc-iii.html,445,"[{'AFF243305': 'Engage Agroenterprise (AE) Industry Stakeholders'}, {'AFF243306': 'Ensure Product Supply'}, {'AFF243307': 'Implement Financial Management'}, {'AFF243308': 'Mobilize Farmers Participation in Capacity Building Activities'}, {'AFF243309': 'Conduct Collective Marketing'}]","[{'AFF321201': 'Apply Safety Measures in Farm Operations'}, {'AFF321203': 'Perform Estimation and Basic Calculation'}, {'HCS421201': 'Provide Quality Customer Service'}, {'HCS315202': 'Comply with Quality and Ethical Standards'}]","[{'500311109': 'Lead workplace communication'}, {'500311110': 'Lead small teams'}, {'500311111': 'Develop and practice negotiation skills'}, {'500311112': 'Solve problems related to work activities'}, {'500311113': 'Use mathematical concepts and techniques'}, {'500311114': 'Use relevant technologies'}]",[],"['AFF243305', 'AFF243306', 'AFF243307', 'AFF243308', 'AFF243309', 'AFF321201', 'AFF321203', 'HCS421201', 'HCS315202', '500311109', '500311110', '500311111', '500311112', '500311113', '500311114']"
"Agriculture, Fishery and Forestry",Agroentrepreneurship NC IV,https://tesdatrainingcourses.com/agroentrepreneurship-nc-iv.html,715,"[{'AFF242301': 'Capacitate Farmers'}, {'AFF242302': 'Facilitate Engagement of the Agroenterprise Stakeholders'}, {'AFF242303': 'Mobilize Agroenterprise Community'}, {'AFF242304': 'Monitor and Evaluate Agroenterprise Activities'}]","[{'AFF321201': 'Apply Safety Measures in Farm Operations'}, {'AFF321203': 'Perform Estimation and Basic Calculation'}, {'HCS421201': 'Provide Quality Customer Service'}, {'HCS315202': 'Comply with Quality and Ethical Standards'}]","[{'500311115': 'Utilize specialized communication skills'}, {'500311116': 'Develop teams and individuals'}, {'500311117': 'Apply problem solving techniques in the workplace'}, {'500311118': 'Collect, analyze and organize information'}, {'500311119': 'Plan and organize work'}, {'500311120': 'Promote environmental protection'}]",[],"['AFF242301', 'AFF242302', 'AFF242303', 'AFF242304', 'AFF321201', 'AFF321203', 'HCS421201', 'HCS315202', '500311115', '500311116', '500311117', '500311118', '500311119', '500311120']"
"Agriculture, Fishery and Forestry",Animal Health Care and Management NC III,https://tesdatrainingcourses.com/animal-health-care-and-management-nc-iii.html,208,"[{'AGR321301': 'Restrain and handle animal'}, {'AGR321302': 'Apply bio-security measures'}, {'AGR321303': 'Administer drugs and biologics'}, {'AGR321304': 'Handle and store drugs and biologics'}, {'AGR321305': 'Collect and handle specimen'}]","[{'AGR321201': 'Apply safety measures in farm operations'}, {'AGR321202': 'Use farm tools and equipment'}, {'AGR321203': 'Perform estimation and calculations'}]","[{'500311109': 'Lead workplace communication'}, {'500311110': 'Lead small teams'}, {'500311111': 'Develop and practice negotiation skills'}, {'500311112': 'Solve problems related to work activities'}, {'500311113': 'Use mathematical concepts and techniques'}, {'500311114': 'Use relevant technologies'}]",[],"['AGR321301', 'AGR321302', 'AGR321303', 'AGR321304', 'AGR321305', 'AGR321201', 'AGR321202', 'AGR321203', '500311109', '500311110', '500311111', '500311112', '500311113', '500311114']"
"Agriculture, Fishery and Forestry",Animal Production (Poultry-Chicken) NC II,https://tesdatrainingcourses.com/animal-production-poultry-chicken-nc-ii.html,266*,"[{'AFF622101': 'Maintain poultry house'}, {'AFF622102': 'Brood and grow chicks'}, {'AFF622103': 'Perform pre-lay and lay activities'}, {'AFF622104': 'Trim beak'}, {'UNIT': 'CODE ELECTIVE COMPETENCY'}, {'AFF622105': 'Breed chicken'}]","[{'AFF321201': 'Apply safety measures in farm operations'}, {'AFF321202': 'Use farm tools and equipment'}, {'AFF321203': 'Perform estimation and calculations'}, {'AFF321205': 'Process farm wastes'}]","[{'500311105': 'Participate in workplace communication'}, {'500311106': 'Work in a team environment'}, {'500311107': 'Practice career professionalism'}, {'500311108': 'Practice occupational health and safety procedures'}]",[],"['AFF622101', 'AFF622102', 'AFF622103', 'AFF622104', 'UNIT', 'AFF622105', 'AFF321201', 'AFF321202', 'AFF321203', 'AFF321205', '500311105', '500311106', '500311107', '500311108']"
