,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC
0,2D Echocardiography Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3211.0,3211,29-2035 
1,2D Game Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024
2,3D Game Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024
3,3D Modeller,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2166.0,2166,27-1024
4,3D Printing Designer,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,2166.0,2166,27-1024
5,4-Wheel Tractor Mechanic,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,7233.0,7233,49-9081
6,Abaca Fiber Stripper And Classifier,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,7318.0,7318,51-6041
7,Abaca Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6116.0,6111 p,45-2092
8,Academic Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2131.0,2131,19-1099
9,Accounting Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,4311.0,4311,43-3031
10,Accounting Professional (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,Yes,No,2411.0,2411,13-2082
11,Accounting Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4311.0,4311,43-3031
12,Actuarial Assistant,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Higher Education,No,No,3314.0,3314,43-9111
13,Actuarial Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,2123.0,2120,19-3022
14,Admin Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,4110.0,4110,43-9061 
15,Admin Staff (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,3343.0,3343,43-6011
16,Administrative Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011
17,Advertising Clerk (Tourism),"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,4419.0,4419,43-9199 
18,Aesthetician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5142.0,5142,39-5094
19,Agribusiness Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,5246.0,5246,35-9011 
20,Agricultural Data Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3512.0,3512,15-1151 
21,Agricultural Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2144.0,2144,17-2141 
22,Agricultural Extension Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,3143.0,3143,19-4093
23,Agricultural Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,3142.0,3142,19-4011
24,Agricultural Laboratory Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3359.0,3359,45-2011 
25,Agricultural Machinery Operator,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,8341.0,8341,45-4022
26,Agricultural RPA Pilot,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,3153.0,3153,53-2012
27,Agricultural Specialist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2132.0,2132,25-9021
28,Agriculture Clerk,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,4110.0,4110,43-9061 
29,Agriculture Program Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,3343.0,3343,43-6011
30,Agronomy Technicians,"Agriculture, Forestry, and Fishing","Growing of non-perennial crops, Growing of perennial crops, Plant propagation",Higher Education,Yes,No,3142.0,3142,19-4011
31,AI Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
32,AI Prompter,Information and Communication,Other information service activities,Not Higher Education,No,No,2529.0,2529,15-1199
33,Air Traffic Radio Communications Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,3154.0,3154,53-2021
34,Aircraft Cleaning Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3153.0,3153,53-2012
35,Airline Ground Staff,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,5111.0,5111,53-6061
36,Airport Equipment Operator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3521.0,3521,27-4099 
37,Alimak Operators,Construction,Other specialized construction activities,Not Higher Education,No,No,8344.0,8344,53-7051 
38,Ambulance Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3258.0,3258,29-2041 
39,Ambulance Driver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,8322.0,8322 p,53-3011
40,Analog / Digital Chip Analyst,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,No,2152.0,2152,17-2072 
41,Anatomy and Physiology Instructor,Education,Higher education,Higher Education,No,No,2310.0,2310,25-1199
42,Animal Caretaker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,5164.0,5164,39-2021 
43,Animal Health Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,3240.0,3240,31-9096
44,Animal Production Assistant,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,3240.0,3240,31-9096
45,Apparel Display Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3432.0,3432,27-1027
46,Apparel Pattern Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,No,7532.0,7532,51-9031
47,Apparel Quality Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,3119.0,3119,53-6041
48,Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2512.0,2512,15-1133
49,Aquaculture Business Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,6221.0,6221 p,11-9013
50,Aquaculture Teacher,Education,Other education services,Higher Education,Yes,No,3142.0,3142,19-4011
51,Aquaculture Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,3142.0,3142,19-4011
52,Aquaculture Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,3142.0,3142,19-4011
53,Aquatic Ecology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2131.0,2131,19-1099
54,Architectural Drafter,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,3118.0,3118,27-1013 
55,Archivist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,2621.0,2621,25-4012
56,Art Gallery Associate,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,3433.0,3433,27-1012 
57,Art Gallery Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,3432.0,3432,27-1027
58,Articulated Truck Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,8332.0,8332,53-3032
